problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→fitness;best→quality→increase;best→quality→consistency
train;me-hebbian-network;5;1;100;100;2.82400e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.33113e+00;1.16121e+00;9.41392e-01
train;me-hebbian-network;8;1;100;100;3.74800e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.76441e+00;1.96438e+00;0.00000e+00
train;me-hebbian-network;3;1;100;100;4.71500e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.73285e+00;3.81479e+00;4.44089e-16
train;me-hebbian-network;7;1;100;100;5.59800e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72737e+00;8.21822e-01;7.97459e-03
train;me-hebbian-network;10;1;100;100;6.34000e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.76361e+00;8.28359e-02;6.11878e-03
train;me-hebbian-network;6;1;100;100;7.08400e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.78893e+00;4.38931e+00;0.00000e+00
train;me-hebbian-network;9;1;100;100;7.21600e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72962e+00;2.32341e-01;1.28512e-02
train;me-hebbian-network;4;1;100;100;8.06000e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;1;100;100;8.69300e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.81492e+00;4.69815e+00;4.91397e-03
train;me-hebbian-network;1;1;100;100;9.38700e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.73311e+00;1.67491e+00;4.44089e-16
train;me-hebbian-network;5;2;200;200;1.02070e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.18434e+00;1.79627e+00;4.56510e+00
train;me-hebbian-network;8;2;200;200;1.09680e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72017e+00;3.76789e+00;4.44089e-16
train;me-hebbian-network;3;2;200;200;1.18640e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;2;200;200;1.27070e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72374e+00;5.73918e-02;2.00487e-03
train;me-hebbian-network;10;2;200;200;1.34350e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;2;200;200;1.41750e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.73647e+00;7.75388e-01;0.00000e+00
train;me-hebbian-network;9;2;200;200;1.48610e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72016e+00;2.74870e-01;9.10137e-08
train;me-hebbian-network;4;2;200;200;1.56350e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;2;200;200;1.63970e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.60736e+00;4.97886e+00;4.75404e-02
train;me-hebbian-network;1;2;200;200;1.71530e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72006e+00;1.44953e+00;4.44089e-16
train;me-hebbian-network;5;3;300;300;1.78920e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.18434e+00;1.79627e+00;4.56510e+00
train;me-hebbian-network;8;3;300;300;1.86440e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72001e+00;4.51442e+00;4.44089e-16
train;me-hebbian-network;3;3;300;300;1.94250e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;3;300;300;2.01890e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;3;300;300;2.11000e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;3;300;300;2.18820e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72149e+00;3.59557e-02;0.00000e+00
train;me-hebbian-network;9;3;300;300;2.25200e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72015e+00;2.90414e-01;3.85635e-05
train;me-hebbian-network;4;3;300;300;2.32660e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;3;300;300;2.40060e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.60736e+00;4.97886e+00;4.75404e-02
train;me-hebbian-network;1;3;300;300;2.47230e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72006e+00;1.44953e+00;4.44089e-16
train;me-hebbian-network;5;4;400;400;2.54630e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.18434e+00;1.79627e+00;4.56510e+00
train;me-hebbian-network;8;4;400;400;2.62540e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72001e+00;4.51442e+00;4.44089e-16
train;me-hebbian-network;3;4;400;400;2.70050e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;4;400;400;2.77700e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;4;400;400;2.85520e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;4;400;400;2.92850e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-1.88640e-02;0.00000e+00
train;me-hebbian-network;9;4;400;400;3.01000e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72015e+00;2.90414e-01;3.85635e-05
train;me-hebbian-network;4;4;400;400;3.08410e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;4;400;400;3.16100e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.60736e+00;4.97886e+00;4.75404e-02
train;me-hebbian-network;1;4;400;400;3.23480e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72006e+00;1.44953e+00;4.44089e-16
train;me-hebbian-network;5;5;500;500;3.30500e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.18434e+00;1.79627e+00;4.56510e+00
train;me-hebbian-network;8;5;500;500;3.38110e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72001e+00;4.51442e+00;4.44089e-16
train;me-hebbian-network;3;5;500;500;3.45430e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;5;500;500;3.52690e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;5;500;500;3.60370e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;5;500;500;3.67920e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-1.88640e-02;0.00000e+00
train;me-hebbian-network;9;5;500;500;3.75540e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71939e+00;4.52806e+00;1.05148e-03
train;me-hebbian-network;4;5;500;500;3.82920e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;5;500;500;3.90540e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.60736e+00;4.97886e+00;4.75404e-02
train;me-hebbian-network;1;5;500;500;3.98440e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72006e+00;1.44953e+00;4.44089e-16
train;me-hebbian-network;5;6;600;600;4.05990e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;2.66228e+01;3.28863e+01;7.07519e+01
train;me-hebbian-network;8;6;600;600;4.14280e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72001e+00;4.51442e+00;4.44089e-16
train;me-hebbian-network;3;6;600;600;4.20830e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;6;600;600;4.28200e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;6;600;600;4.36320e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;6;600;600;4.43310e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.67376e+00;2.23455e-01;7.29221e-02
train;me-hebbian-network;9;6;600;600;4.51000e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71939e+00;4.52806e+00;1.05148e-03
train;me-hebbian-network;4;6;600;600;4.58060e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;6;600;600;4.66120e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.60736e+00;4.97886e+00;4.75404e-02
train;me-hebbian-network;1;6;600;600;4.74110e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72006e+00;1.44953e+00;4.44089e-16
train;me-hebbian-network;5;7;700;700;4.81280e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;2.66228e+01;3.28863e+01;7.07519e+01
train;me-hebbian-network;8;7;700;700;4.88440e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72001e+00;4.51442e+00;4.44089e-16
train;me-hebbian-network;3;7;700;700;4.96130e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;7;700;700;5.03450e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;7;700;700;5.10990e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;7;700;700;5.18260e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.67376e+00;2.23455e-01;7.29221e-02
train;me-hebbian-network;9;7;700;700;5.25460e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71939e+00;4.52806e+00;1.05148e-03
train;me-hebbian-network;4;7;700;700;5.33460e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;7;700;700;5.41290e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.60736e+00;4.97886e+00;4.75404e-02
train;me-hebbian-network;1;7;700;700;5.48410e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72006e+00;1.44953e+00;4.44089e-16
train;me-hebbian-network;5;8;800;800;5.55710e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.83362e+01;5.59415e+01;1.16034e+02
train;me-hebbian-network;8;8;800;800;5.63170e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72001e+00;4.51442e+00;4.44089e-16
train;me-hebbian-network;3;8;800;800;5.70650e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;8;800;800;5.78490e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;8;800;800;5.86210e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;8;800;800;5.93150e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.82457e+00;1.68792e+00;4.46867e-01
train;me-hebbian-network;9;8;800;800;6.00890e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;8;800;800;6.08670e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;8;800;800;6.15880e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.75777e+01;2.33039e+01;3.42399e+01
train;me-hebbian-network;1;8;800;800;6.23850e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72002e+00;1.79300e+00;1.75998e-08
train;me-hebbian-network;5;9;900;900;6.32220e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.83362e+01;5.59415e+01;1.16034e+02
train;me-hebbian-network;8;9;900;900;6.38430e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;8.12697e-01;0.00000e+00
train;me-hebbian-network;3;9;900;900;6.46040e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;9;900;900;6.53190e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;9;900;900;6.60890e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;9;900;900;6.68250e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.82457e+00;1.68792e+00;4.46867e-01
train;me-hebbian-network;9;9;900;900;6.76130e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;9;900;900;6.83200e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;9;900;900;6.90610e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.75777e+01;2.33039e+01;3.42399e+01
train;me-hebbian-network;1;9;900;900;6.98300e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72002e+00;1.79300e+00;1.75998e-08
train;me-hebbian-network;5;10;1000;1000;7.05500e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.83362e+01;5.59415e+01;1.16034e+02
train;me-hebbian-network;8;10;1000;1000;7.12960e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;8.12697e-01;0.00000e+00
train;me-hebbian-network;3;10;1000;1000;7.20600e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;10;1000;1000;7.27950e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;10;1000;1000;7.35550e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72139e+00;2.93082e+00;1.32427e-03
train;me-hebbian-network;6;10;1000;1000;7.42640e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.82457e+00;1.68792e+00;4.46867e-01
train;me-hebbian-network;9;10;1000;1000;7.50540e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;10;1000;1000;7.57470e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;10;1000;1000;7.65550e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.75777e+01;2.33039e+01;3.42399e+01
train;me-hebbian-network;1;10;1000;1000;7.73150e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72002e+00;1.79300e+00;1.75998e-08
train;me-hebbian-network;5;11;1100;1100;7.80830e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.83362e+01;5.59415e+01;1.16034e+02
train;me-hebbian-network;8;11;1100;1100;7.87810e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;8.12697e-01;0.00000e+00
train;me-hebbian-network;3;11;1100;1100;7.95450e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;11;1100;1100;8.02400e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;11;1100;1100;8.10060e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72018e+00;2.83242e-01;9.11518e-05
train;me-hebbian-network;6;11;1100;1100;8.17130e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.76569e+01;2.12149e+01;4.57190e+01
train;me-hebbian-network;9;11;1100;1100;8.25160e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;11;1100;1100;8.32550e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
