problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→final;best→quality→increase;best→quality→consistency
train;mlp;1;[8, 8, 8];1;100;100;1.55000e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;6.42667e+01;6.43176e+01;2.29909e+00
train;mlp;1;[8, 8, 8];2;200;200;3.01000e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;6.42667e+01;6.43176e+01;2.29909e+00
train;mlp;1;[8, 8, 8];3;300;300;4.29800e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;6.42667e+01;6.43176e+01;2.29909e+00
train;mlp;1;[8, 8, 8];4;400;400;5.57800e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;9.06232e+01;-6.22398e-01;9.12073e+01
train;mlp;1;[8, 8, 8];5;500;500;6.95900e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;9.06232e+01;-6.22398e-01;9.12073e+01
train;hebbian+synapse+random;1;[8, 8, 8];1;100;100;1.31300e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;9.05195e+01;9.24916e+01;-5.05415e-01
train;hebbian+synapse+random;1;[8, 8, 8];2;200;200;2.49600e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;9.05195e+01;9.24916e+01;-5.05415e-01
train;hebbian+synapse+random;1;[8, 8, 8];3;300;300;3.63700e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;9.05195e+01;9.24916e+01;-5.05415e-01
train;hebbian+synapse+random;1;[8, 8, 8];4;400;400;4.80600e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;9.05195e+01;9.24916e+01;-5.05415e-01
train;hebbian+synapse+random;1;[8, 8, 8];5;500;500;6.07500e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;1.19160e+02;-5.61450e-01;1.20993e+02
train;hebbian+network+random;1;[8, 8, 8];1;100;100;1.22800e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.09437e+02;4.64727e-01;1.10705e+02
train;hebbian+network+random;1;[8, 8, 8];2;200;200;2.51300e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.09437e+02;4.64727e-01;1.10705e+02
train;hebbian+network+random;1;[8, 8, 8];3;300;300;3.86200e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.09437e+02;4.64727e-01;1.10705e+02
train;hebbian+network+random;1;[8, 8, 8];4;400;400;5.13500e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.09437e+02;4.64727e-01;1.10705e+02
train;hebbian+network+random;1;[8, 8, 8];5;500;500;6.42800e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.09437e+02;4.64727e-01;1.10705e+02
train;freeForm+random;1;[8, 8, 8];1;100;100;2.62900e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;19;3.34268e+00;3.85519e-01;4.97418e+00
train;freeForm+random;1;[8, 8, 8];2;200;200;6.30350e+01;100;1;68;1.00000e+00;1.00000e+00;1.00000e+00;25;1.00281e+01;-1.84820e+01;1.12721e+01
train;freeForm+random;1;[8, 8, 8];3;300;300;9.64380e+01;100;1;47;1.00000e+00;1.00000e+00;1.00000e+00;32;1.38011e+02;2.38255e+00;1.32567e+02
train;freeForm+random;1;[8, 8, 8];4;400;400;1.22116e+02;100;1;21;1.00000e+00;1.00000e+00;1.00000e+00;32;1.38011e+02;2.38255e+00;1.32567e+02
train;freeForm+random;1;[8, 8, 8];5;500;500;1.48867e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;32;1.38011e+02;2.38255e+00;1.32567e+02
