.8.8.8._.mlp	.8.8.8._.hebbian.synapse.random	.8.8.8._.hebbian.network.random	.8.8.8._.freeForm.random
-6.850e+01	-3.139e+00	5.268e-01	2.369e+01
-2.198e+00	4.671e+01	-1.762e+00	7.431e+01
-1.255e+02	-4.584e+01	-3.369e+00	-1.342e+00
9.952e+01	1.263e+02	-2.269e+01	2.862e+01
9.253e+00	4.722e-03	-3.790e-02	-1.000e+00
7.754e+00	1.060e+02	1.742e+01	-1.393e+02
1.275e+02	1.374e+00	4.017e-01	-1.556e+00
-2.392e+01	1.173e+02	-2.215e+01	-1.393e+02
1.114e+02	-9.750e+01	1.708e+01	1.726e+00
-1.031e+02	-1.172e+02	2.775e+00	-2.477e-01
