n.evals.q.1.0.	train.8.8.8.mlp.best.quality.increase	train.8.8.8.mlp.best.quality.increase.min	train.8.8.8.mlp.best.quality.increase.max	train.8.8.8.hebbian.synapse.random.best.quality.increase	train.8.8.8.hebbian.synapse.random.best.quality.increase.min	train.8.8.8.hebbian.synapse.random.best.quality.increase.max	train.8.8.8.hebbian.network.random.best.quality.increase	train.8.8.8.hebbian.network.random.best.quality.increase.min	train.8.8.8.hebbian.network.random.best.quality.increase.max	train.8.8.8.freeForm.random.best.quality.increase	train.8.8.8.freeForm.random.best.quality.increase.min	train.8.8.8.freeForm.random.best.quality.increase.max
1.000e+02	6.284e-02	-5.702e+00	9.898e+00	-9.449e-02	-6.380e-01	1.879e+00	-5.437e-01	-6.928e-01	-6.365e-02	1.846e-01	-3.247e-01	7.312e-01
3.000e+02	2.309e+00	-4.952e+01	3.988e+00	1.339e+00	-2.354e+00	1.782e+00	-3.910e-01	-1.330e+00	2.139e-01	8.219e-04	-1.192e+00	6.207e-01
5.000e+02	2.839e-02	-5.344e+00	1.188e+01	-7.092e-01	-2.615e+00	2.188e-01	-2.054e+00	-9.673e+00	7.371e-02	-2.891e-01	-3.453e+00	3.068e+00
7.000e+02	-7.314e-04	-3.694e+00	2.620e+00	1.051e+00	-1.255e-02	1.108e+01	-8.424e-01	-5.629e+00	2.496e-01	-6.133e-01	-1.215e+00	-4.231e-01
9.000e+02	6.815e-01	-4.332e+00	4.146e+00	9.727e-02	-1.413e+00	1.243e+00	3.062e-01	-1.874e+00	1.888e+01	-2.825e-01	-1.303e+00	-4.550e-02
1.100e+03	-9.985e-01	-3.034e+01	8.909e+00	-3.731e-03	-2.617e+00	7.743e-01	3.010e-02	-1.860e+00	9.294e-01	-5.889e-01	-2.530e+00	7.442e-01
1.300e+03	6.397e+00	4.926e-01	9.214e+00	-2.484e-01	-1.489e+00	-1.198e-04	-1.508e+00	-2.046e+01	-5.580e-01	-2.104e-02	-1.200e+00	2.301e-05
1.500e+03	-1.781e+01	-7.173e+01	-1.506e+00	1.570e-01	-1.771e+00	2.752e+00	-1.319e+00	-2.806e+01	-8.485e-01	1.560e+00	8.148e-01	3.089e+00
1.700e+03	-1.033e+01	-6.158e+01	-1.228e+00	1.539e+00	1.625e-01	5.559e+00	-1.893e-02	-1.280e+01	1.919e+01	5.752e-04	-5.781e-01	6.444e-03
1.900e+03	3.392e+00	-1.829e+01	4.027e+01	1.446e-01	-1.992e+00	3.899e-01	9.697e+00	1.238e-01	2.480e+01	-2.666e-01	-1.470e+00	2.553e-03
