.8.8.8._.mlp	.8.8.8._.hebbian.synapse.random	.8.8.8._.hebbian.network.random	.8.8.8._.freeForm.random
9.549e+01	1.214e+02	1.217e+02	4.408e+01
1.184e+02	8.803e+01	1.051e+02	2.178e+01
1.304e+02	1.814e+02	8.399e+01	1.330e+02
1.133e+02	1.149e+02	6.555e+01	3.372e+01
9.820e+00	1.255e+02	1.375e+02	4.998e-01
7.751e+00	2.199e+01	4.937e+01	1.396e+02
1.244e+00	1.205e+02	1.006e+02	6.764e+01
1.475e+02	7.509e-01	7.349e+01	1.405e+02
1.055e+02	2.335e+02	1.078e+02	5.292e-01
1.248e+02	2.357e+02	7.141e+01	1.060e+02
