.8.8.8._.mlp	.8.8.8._.hebbian.synapse.random	.8.8.8._.hebbian.network.random	.8.8.8._.freeForm.random
3.647e+02	2.530e+02	1.196e+02	6.486e+01
3.392e+02	3.421e+02	1.222e+02	1.041e+02
3.852e+02	2.598e+02	1.084e+02	1.287e+02
3.585e+02	3.702e+02	6.305e+01	6.739e+01
4.327e+02	3.851e+02	1.360e+02	1.375e+02
3.871e+02	3.718e+02	7.522e+01	1.342e+02
3.608e+02	3.533e+02	1.003e+02	6.582e+01
3.628e+02	3.728e+02	8.976e+01	1.378e+02
3.585e+02	3.636e+02	1.208e+02	1.383e+02
3.639e+02	3.809e+02	9.197e+01	2.215e+02
