n.evals.q.1.0.	train.8.8.8.mlp.best.quality.consistency	train.8.8.8.mlp.best.quality.consistency.min	train.8.8.8.mlp.best.quality.consistency.max	train.8.8.8.hebbian.synapse.random.best.quality.consistency	train.8.8.8.hebbian.synapse.random.best.quality.consistency.min	train.8.8.8.hebbian.synapse.random.best.quality.consistency.max	train.8.8.8.hebbian.network.random.best.quality.consistency	train.8.8.8.hebbian.network.random.best.quality.consistency.min	train.8.8.8.hebbian.network.random.best.quality.consistency.max	train.8.8.8.freeForm.random.best.quality.consistency	train.8.8.8.freeForm.random.best.quality.consistency.min	train.8.8.8.freeForm.random.best.quality.consistency.max
1.000e+02	5.018e+01	2.328e+01	1.102e+02	1.191e+02	1.183e+01	1.337e+02	9.402e+00	3.247e+00	1.725e+01	2.741e+00	1.283e+00	4.569e+00
3.000e+02	3.272e+01	2.492e-01	5.279e+01	1.310e+02	2.625e+01	1.326e+02	3.644e+01	1.049e+01	4.157e+01	3.385e+00	2.518e+00	5.114e+00
5.000e+02	6.689e+01	7.980e+00	9.271e+01	1.303e+02	9.817e+01	1.385e+02	1.384e+01	8.418e+00	3.378e+01	1.077e+01	3.161e+00	2.215e+01
7.000e+02	3.607e+01	6.037e+00	6.101e+01	1.192e+02	6.876e+01	1.335e+02	2.274e+01	1.221e+01	3.793e+01	1.019e+01	7.250e+00	2.266e+01
9.000e+02	6.043e+01	-1.006e+00	1.163e+02	1.116e+02	6.836e+01	1.172e+02	1.732e+01	9.341e+00	6.795e+01	1.078e+01	6.331e+00	1.302e+01
1.100e+03	6.550e+01	1.426e+01	1.131e+02	1.274e+02	1.193e+02	1.347e+02	3.177e+01	2.464e+01	4.387e+01	1.667e+01	6.601e+00	4.920e+01
1.300e+03	2.724e+01	1.253e+00	1.021e+02	1.183e+02	1.050e+02	1.288e+02	4.666e+01	3.255e+01	1.034e+02	1.506e+01	1.606e+00	2.722e+01
1.500e+03	9.291e+01	3.006e+00	9.988e+01	1.213e+02	4.452e+01	1.374e+02	3.383e+01	2.276e+01	4.025e+01	1.049e+01	3.996e+00	2.582e+01
1.700e+03	9.224e+01	1.423e+01	1.098e+02	1.262e+02	7.096e+01	1.351e+02	4.633e+01	2.510e+01	6.221e+01	2.949e+01	7.500e+00	3.626e+01
1.900e+03	1.059e+02	2.454e+01	1.158e+02	1.234e+02	7.825e+01	1.313e+02	3.687e+01	1.470e+01	6.140e+01	1.770e+01	4.749e+00	3.723e+01
2.100e+03	7.106e+01	1.895e+00	8.579e+01	1.241e+02	1.475e+01	1.267e+02	5.012e+01	2.015e+01	6.750e+01	2.688e+01	1.088e+01	1.355e+02
2.300e+03	7.804e+01	1.510e+00	9.405e+01	1.083e+02	4.064e+01	1.211e+02	7.683e+01	4.432e+01	1.208e+02	1.086e+01	1.693e+00	3.355e+01
2.500e+03	6.961e+01	-1.241e+01	9.933e+01	1.200e+02	7.126e+01	1.318e+02	6.545e+01	4.368e+01	7.185e+01	2.733e+01	1.216e+01	6.835e+01
2.700e+03	5.234e+01	4.752e+00	9.502e+01	1.325e+02	9.073e+01	1.356e+02	8.656e+01	6.065e+01	1.001e+02	2.433e+01	2.752e+00	4.687e+01
2.900e+03	5.312e+01	3.849e+01	1.002e+02	1.289e+02	1.128e+02	1.328e+02	8.857e+01	3.736e+01	1.154e+02	7.313e+01	1.469e+01	1.375e+02
3.100e+03	5.846e+01	1.450e+01	9.221e+01	1.200e+02	1.525e+01	1.240e+02	9.177e+01	7.483e+01	1.164e+02	5.733e+01	1.283e+00	1.345e+02
3.300e+03	7.171e+01	2.841e+01	1.137e+02	1.128e+02	1.032e+02	1.245e+02	7.207e+01	6.006e+01	7.759e+01	5.639e+01	1.007e+01	1.299e+02
3.500e+03	1.152e+01	3.608e+00	7.953e+01	1.184e+02	1.090e+02	1.335e+02	8.688e+01	5.842e+01	9.453e+01	3.410e+01	9.985e+00	8.480e+01
3.700e+03	-9.587e-01	-4.590e+01	1.648e+01	1.131e+02	4.825e+01	1.234e+02	6.909e+01	4.530e+01	8.772e+01	5.788e+01	5.018e-01	1.160e+02
