problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→final;best→quality→increase;best→quality→consistency
train;mlp;10;[8, 8, 8];1;100;100;3.00600e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.19493e+02;-5.70154e+00;1.19994e+02
train;mlp;1;[8, 8, 8];1;100;100;3.72200e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;4.08133e+01;7.30501e+00;2.36284e+01
train;mlp;7;[8, 8, 8];1;100;100;4.60800e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;5.75842e+01;-4.10485e-01;4.85149e+01
train;mlp;3;[8, 8, 8];1;100;100;4.76500e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;5.78717e+01;1.35518e+01;-4.99826e+00
train;mlp;9;[8, 8, 8];1;100;100;4.85000e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.22277e+02;1.00976e+01;1.10186e+02
train;mlp;5;[8, 8, 8];1;100;100;6.29000e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;7.04304e+01;-7.32727e+01;2.32807e+01
train;mlp;4;[8, 8, 8];1;100;100;6.75600e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.15784e+02;6.28402e-02;1.18338e+02
train;mlp;6;[8, 8, 8];1;100;100;8.18100e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;5.35760e+01;-3.07524e+00;5.01820e+01
train;mlp;2;[8, 8, 8];1;100;100;8.25900e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.01568e+02;-7.99448e+00;8.68251e+01
train;mlp;8;[8, 8, 8];1;100;100;8.37800e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;4.03831e+01;9.89800e+00;-9.48548e+00
train;mlp;10;[8, 8, 8];2;300;200;1.03840e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.01918e+02;-5.33974e+01;1.31015e+00
train;mlp;1;[8, 8, 8];2;300;200;1.10680e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;8.72360e+01;-6.82819e+01;5.27871e+01
train;mlp;7;[8, 8, 8];2;300;200;1.31550e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.64190e+02;3.98805e+00;2.49173e-01
train;mlp;3;[8, 8, 8];2;300;200;1.40090e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.02153e+02;2.93488e+00;-9.14766e+00
train;mlp;5;[8, 8, 8];2;300;200;1.53010e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;7.69485e+01;-4.95182e+01;3.27208e+01
train;mlp;9;[8, 8, 8];2;300;200;1.53470e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.08135e+02;2.47536e-01;1.10498e+02
train;mlp;4;[8, 8, 8];2;300;200;1.78620e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;5.22325e+01;2.98930e+01;2.03455e+00
train;mlp;6;[8, 8, 8];2;300;200;1.92540e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;5.64834e+01;-3.07746e+01;3.50049e+01
train;mlp;2;[8, 8, 8];2;300;200;2.04430e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.27116e+02;1.21623e+02;-8.29705e+00
train;mlp;8;[8, 8, 8];2;300;200;2.31650e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.24064e+02;2.30921e+00;1.20881e+02
train;mlp;10;[8, 8, 8];3;500;300;2.34120e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.65472e+02;-1.31606e+00;6.68872e+01
