problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;me-hebbian-synapse;1;[2];200;20000;20000;1.27700e+00;98;57;10;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.28067e-01;1.47796e-02
xor;me-hebbian-synapse;2;[2];200;20000;20000;8.39000e-01;97;74;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.83281e-01;1.04775e-02
xor;me-hebbian-synapse;3;[2];200;20000;20000;7.61000e-01;100;54;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.89547e-01;1.31274e-02
bi-xor;me-hebbian-synapse;1;[2];200;20000;20000;7.90000e-01;100;50;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.68082e-01;7.39298e-03
bi-xor;me-hebbian-synapse;2;[2];200;20000;20000;7.52000e-01;100;54;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.89935e-01;2.10031e-02
bi-xor;me-hebbian-synapse;3;[2];200;20000;20000;8.03000e-01;100;61;3;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.62174e-01;1.81601e-02
xor;me-hebbian-network;1;[2];200;20000;20000;7.38000e-01;56;36;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;-1.84559e-02;1.37383e-02
xor;me-hebbian-network;2;[2];200;20000;20000;6.75000e-01;58;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;2.26255e-01;7.56689e-03
xor;me-hebbian-network;3;[2];200;20000;20000;6.74000e-01;55;36;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;-3.95106e-02;9.45633e-03
bi-xor;me-hebbian-network;1;[2];200;20000;20000;6.55000e-01;55;37;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;6.31568e-02;1.51948e-02
bi-xor;me-hebbian-network;2;[2];200;20000;20000;6.70000e-01;56;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;2.83659e-01;8.09929e-03
bi-xor;me-hebbian-network;3;[2];200;20000;20000;7.04000e-01;56;31;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;7.84730e-02;1.15766e-02
xor;me-freeForm;1;[2];200;20000;20000;3.99570e+01;100;20;26;9.90000e-01;1.00000e+00;1.00000e+00;39;1.00000e+00;3.51609e-01;5.55112e-17
xor;me-freeForm;2;[2];200;20000;20000;5.13490e+01;100;11;43;1.00000e+00;1.00000e+00;1.00000e+00;63;1.00000e+00;6.78897e-01;5.55112e-17
xor;me-freeForm;3;[2];200;20000;20000;8.50450e+01;100;71;1;1.00000e+00;1.00000e+00;1.00000e+00;283;1.00000e+00;1.73015e-01;2.21136e-07
bi-xor;me-freeForm;1;[2];200;20000;20000;4.70990e+01;100;46;31;9.80000e-01;1.00000e+00;1.00000e+00;112;1.00000e+00;1.88519e-01;3.58450e-10
bi-xor;me-freeForm;2;[2];200;20000;20000;4.72030e+01;100;11;65;1.00000e+00;1.00000e+00;1.00000e+00;32;8.00000e-01;1.94124e-01;2.16507e-01
bi-xor;me-freeForm;3;[2];200;20000;20000;4.90080e+01;100;80;6;1.00000e+00;1.00000e+00;1.00000e+00;56;1.00000e+00;1.72928e-01;6.24500e-17
