problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
seqXorProblem;mlp;1;[2];50;5000;5000;4.69000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;7.00000e-01;0.00000e+00;1.11022e-16
seqXorProblem;mlp;2;[2];50;5000;5000;3.04000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
seqXorProblem;mlp;3;[2];50;5000;5000;2.19000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
bi-xor;mlp;1;[2];50;5000;5000;2.35000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;12;7.00000e-01;-2.77556e-17;1.11022e-16
bi-xor;mlp;2;[2];50;5000;5000;1.91000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;12;8.50000e-01;-5.55112e-17;1.38778e-16
bi-xor;mlp;3;[2];50;5000;5000;2.05000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;12;1.00000e+00;0.00000e+00;1.11022e-16
seqXorProblem;hebbian-synapse;1;[2];26;5100;2600;2.99000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e-01;0.00000e+00;0.00000e+00
seqXorProblem;hebbian-synapse;2;[2];26;5100;2600;2.60000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e-01;0.00000e+00;0.00000e+00
seqXorProblem;hebbian-synapse;3;[2];26;5100;2600;1.95000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e-01;0.00000e+00;1.11022e-16
bi-xor;hebbian-synapse;1;[2];26;5100;2600;2.23000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;48;1.00000e-01;0.00000e+00;1.11022e-16
bi-xor;hebbian-synapse;2;[2];26;5100;2600;2.10000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;48;1.00000e-01;0.00000e+00;1.11022e-16
bi-xor;hebbian-synapse;3;[2];26;5100;2600;2.07000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;48;1.00000e-01;0.00000e+00;1.11022e-16
seqXorProblem;hebbian-network;1;[2];26;5100;2600;1.79000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e-01;0.00000e+00;0.00000e+00
seqXorProblem;hebbian-network;2;[2];26;5100;2600;1.81000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e-01;0.00000e+00;2.22045e-16
seqXorProblem;hebbian-network;3;[2];26;5100;2600;1.78000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e-01;0.00000e+00;0.00000e+00
bi-xor;hebbian-network;1;[2];26;5100;2600;1.85000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;4;0.00000e+00;0.00000e+00;0.00000e+00
bi-xor;hebbian-network;2;[2];26;5100;2600;1.82000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;4;0.00000e+00;0.00000e+00;0.00000e+00
bi-xor;hebbian-network;3;[2];26;5100;2600;1.81000e-01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;4;0.00000e+00;0.00000e+00;0.00000e+00
seqXorProblem;freeForm;1;[2];26;5100;2600;1.09740e+01;100;1;99;1.00000e+00;1.00000e+00;1.00000e+00;14;1.00000e+00;6.52221e-02;3.46945e-18
seqXorProblem;freeForm;2;[2];26;5100;2600;1.09980e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;270;7.00000e-01;1.26196e-01;2.77556e-17
seqXorProblem;freeForm;3;[2];26;5100;2600;1.98380e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;7;7.00000e-01;1.23964e-01;0.00000e+00
bi-xor;freeForm;1;[2];26;5100;2600;2.32980e+01;100;19;81;1.00000e+00;1.00000e+00;1.00000e+00;268;7.00000e-01;1.39357e-01;1.19592e-08
bi-xor;freeForm;2;[2];26;5100;2600;2.64250e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;79;4.50000e-01;6.64158e-01;6.00154e-02
bi-xor;freeForm;3;[2];26;5100;2600;8.89070e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;1166;8.50000e-01;4.25457e-01;1.98721e-05
