problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
avgLastBoolScore-fitness;me-hebbian-synapse;1;[2];300;30000;30000;4.98100e+00;98;71;5;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.92084e-02;3.92357e-02
avgLastBoolScore-fitness;me-hebbian-synapse;2;[2];300;30000;30000;5.00100e+00;100;53;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.15671e-01;9.12799e-03
avgLastBoolScore-fitness;me-hebbian-synapse;9;[2];300;30000;30000;5.00900e+00;97;62;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.75583e-01;1.99370e-02
avgLastBoolScore-fitness;me-hebbian-synapse;6;[2];300;30000;30000;5.02500e+00;100;68;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.32045e-01;1.04947e-02
avgLastBoolScore-fitness;me-hebbian-synapse;8;[2];300;30000;30000;5.08700e+00;100;72;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.17385e-01;1.97643e-02
avgLastBoolScore-fitness;me-hebbian-synapse;3;[2];300;30000;30000;5.09100e+00;100;62;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.99689e-02;1.92878e-02
avgLastBoolScore-fitness;me-hebbian-synapse;10;[2];300;30000;30000;5.11000e+00;98;70;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;7.43012e-02;1.65682e-02
avgLastBoolScore-fitness;me-hebbian-synapse;4;[2];300;30000;30000;5.11500e+00;95;61;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.05257e-02;7.88281e-03
avgLastBoolScore-fitness;me-hebbian-synapse;5;[2];300;30000;30000;5.11800e+00;97;68;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;7.53162e-02;1.90884e-02
avgLastBoolScore-fitness;me-hebbian-synapse;7;[2];300;30000;30000;5.12500e+00;99;67;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.10803e-01;5.43142e-03
avgLastBoolScore-fitness;me-hebbian-network;1;[2];300;30000;30000;4.41900e+00;48;30;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.35382e-03;1.57998e-02
avgLastBoolScore-fitness;me-hebbian-network;6;[2];300;30000;30000;4.48100e+00;44;32;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.84531e-01;1.89091e-08
avgLastBoolScore-fitness;me-hebbian-network;4;[2];300;30000;30000;4.50100e+00;46;31;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.23837e-01;1.89842e-06
avgLastBoolScore-fitness;me-hebbian-network;2;[2];300;30000;30000;4.52300e+00;61;33;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.31008e-01;1.32041e-06
avgLastBoolScore-fitness;me-hebbian-network;3;[2];300;30000;30000;4.53300e+00;48;29;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.25649e-02;1.95376e-02
avgLastBoolScore-fitness;me-hebbian-network;9;[2];300;30000;30000;5.36200e+00;42;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;2.04566e-01;6.93608e-03
avgLastBoolScore-fitness;me-hebbian-network;7;[2];300;30000;30000;5.38000e+00;49;28;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.26107e-01;9.75372e-05
avgLastBoolScore-fitness;me-hebbian-network;5;[2];300;30000;30000;6.36100e+00;41;1;4;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.86693e-01;4.89963e-03
avgLastBoolScore-fitness;me-hebbian-network;8;[2];300;30000;30000;8.44900e+00;48;32;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;3.02350e-01;1.42990e-02
avgLastBoolScore-fitness;me-hebbian-network;10;[2];300;30000;30000;8.43100e+00;41;2;4;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.93745e-01;6.61118e-03
avgLastBoolScore-fitness;me-freeForm;1;[2];300;30000;30000;4.74124e+02;100;56;24;1.00000e+00;1.00000e+00;1.00000e+00;80;1.00000e+00;1.65473e-01;5.55112e-17
avgLastBoolScore-fitness;me-freeForm;2;[2];300;30000;30000;4.75064e+02;100;71;6;1.00000e+00;1.00000e+00;1.00000e+00;52;1.00000e+00;1.24136e-01;5.55112e-17
avgLastBoolScore-fitness;me-freeForm;3;[2];300;30000;30000;4.75232e+02;100;68;9;1.00000e+00;1.00000e+00;1.00000e+00;62;1.00000e+00;1.94143e-01;5.55112e-17
avgLastBoolScore-fitness;me-freeForm;6;[2];300;30000;30000;4.75691e+02;100;77;2;1.00000e+00;1.00000e+00;1.00000e+00;74;1.00000e+00;1.94827e-01;3.54956e-10
avgLastBoolScore-fitness;me-freeForm;4;[2];300;30000;30000;4.77058e+02;100;89;6;1.00000e+00;1.00000e+00;1.00000e+00;132;1.00000e+00;1.83686e-01;6.67814e-09
avgLastBoolScore-fitness;me-freeForm;5;[2];300;30000;30000;4.77517e+02;98;69;1;1.00000e+00;1.00000e+00;1.00000e+00;1020;1.00000e+00;1.55553e-01;8.49125e-06
avgLastBoolScore-fitness;me-freeForm;7;[2];300;30000;30000;4.76771e+02;98;59;1;1.00000e+00;1.00000e+00;1.00000e+00;704;1.00000e+00;3.17065e-01;4.80152e-04
avgLastBoolScore-fitness;me-freeForm;8;[2];300;30000;30000;4.76118e+02;100;33;34;1.00000e+00;1.00000e+00;1.00000e+00;248;1.00000e+00;6.34172e-01;5.30991e-13
avgLastBoolScore-fitness;me-freeForm;10;[2];300;30000;30000;4.74580e+02;100;88;7;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;2.95853e-01;5.29775e-08
avgLastBoolScore-fitness;me-freeForm;9;[2];300;30000;30000;4.74741e+02;100;95;5;1.00000e+00;1.00000e+00;1.00000e+00;236;1.00000e+00;1.84013e-01;5.97610e-04
