n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	6.000e-01	1.391e-01	6.000e-01	6.807e-01	5.420e-01	9.315e-01	6.000e-01	6.000e-01	6.000e-01
2.000e+02	6.000e-01	4.386e-02	6.000e-01	8.787e-01	5.911e-01	9.892e-01	6.000e-01	6.000e-01	6.000e-01
3.000e+02	2.779e-01	9.224e-02	6.000e-01	8.787e-01	5.994e-01	9.805e-01	6.000e-01	6.000e-01	6.000e-01
4.000e+02	2.779e-01	1.268e-01	6.000e-01	8.323e-01	5.911e-01	9.790e-01	6.000e-01	5.000e-01	6.000e-01
5.000e+02	1.850e-01	1.128e-01	6.000e-01	8.323e-01	5.994e-01	9.790e-01	6.000e-01	4.500e-01	6.000e-01
6.000e+02	1.611e-01	8.800e-02	6.000e-01	7.981e-01	5.911e-01	9.482e-01	6.000e-01	5.000e-01	6.000e-01
7.000e+02	1.706e-01	8.800e-02	6.000e-01	8.323e-01	5.911e-01	9.482e-01	6.000e-01	4.500e-01	6.000e-01
8.000e+02	1.482e-01	9.224e-02	3.864e-01	8.323e-01	5.911e-01	9.482e-01	6.000e-01	4.500e-01	6.000e-01
9.000e+02	1.482e-01	9.224e-02	3.864e-01	8.323e-01	5.911e-01	9.482e-01	6.000e-01	4.500e-01	6.000e-01
1.000e+03	1.416e-01	8.800e-02	2.068e-01	8.323e-01	6.042e-01	9.482e-01	6.000e-01	4.605e-01	6.000e-01
1.100e+03	1.482e-01	9.224e-02	2.135e-01	8.641e-01	6.645e-01	9.482e-01	6.000e-01	4.759e-01	6.000e-01
1.200e+03	1.552e-01	1.083e-01	2.135e-01	8.323e-01	6.645e-01	9.482e-01	6.000e-01	4.500e-01	6.000e-01
