n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.000e+02	5.337e-04	1.670e-05	1.283e-02	9.368e-03	5.126e-03	1.293e-02	0.000e+00	0.000e+00	2.315e-10
2.000e+02	1.199e-02	5.224e-04	1.451e-02	1.107e-02	4.801e-03	1.956e-02	0.000e+00	0.000e+00	8.779e-10
3.000e+02	1.336e-02	7.231e-03	1.694e-02	1.830e-02	9.368e-03	2.576e-02	0.000e+00	0.000e+00	2.023e-10
4.000e+02	1.336e-02	7.432e-03	1.694e-02	1.507e-02	9.368e-03	2.576e-02	0.000e+00	0.000e+00	6.666e-09
5.000e+02	1.336e-02	9.638e-03	1.694e-02	1.507e-02	5.448e-03	2.359e-02	5.551e-17	0.000e+00	1.658e-07
6.000e+02	1.292e-02	9.638e-03	1.657e-02	1.830e-02	9.368e-03	2.873e-02	5.551e-17	0.000e+00	1.131e-06
7.000e+02	1.336e-02	9.638e-03	1.694e-02	1.830e-02	9.368e-03	2.873e-02	7.793e-13	0.000e+00	1.131e-06
8.000e+02	1.336e-02	9.638e-03	1.694e-02	1.564e-02	8.624e-03	2.254e-02	2.023e-10	0.000e+00	1.636e-01
9.000e+02	1.366e-02	1.015e-02	1.786e-02	1.534e-02	8.624e-03	1.973e-02	6.666e-09	0.000e+00	1.654e-01
1.000e+03	1.366e-02	1.015e-02	1.786e-02	1.401e-02	8.536e-03	1.897e-02	2.716e-06	1.022e-13	2.006e-01
1.100e+03	1.366e-02	1.015e-02	1.786e-02	1.401e-02	8.536e-03	1.882e-02	1.080e-05	7.793e-13	2.500e-01
1.200e+03	1.366e-02	1.015e-02	1.786e-02	1.401e-02	8.536e-03	1.882e-02	5.587e-05	8.779e-10	2.018e-01
1.300e+03	1.366e-02	1.015e-02	1.786e-02	1.534e-02	8.624e-03	1.897e-02	1.636e-01	8.779e-10	2.339e-01
1.400e+03	1.366e-02	1.015e-02	1.786e-02	1.401e-02	8.536e-03	1.897e-02	1.654e-01	8.779e-10	2.500e-01
1.500e+03	1.366e-02	1.015e-02	1.786e-02	1.564e-02	9.368e-03	2.308e-02	1.669e-01	8.779e-10	2.500e-01
1.600e+03	1.366e-02	1.015e-02	1.786e-02	1.564e-02	9.368e-03	2.308e-02	1.669e-01	8.779e-10	2.500e-01
1.700e+03	1.366e-02	1.015e-02	1.786e-02	1.722e-02	1.020e-02	2.390e-02	1.669e-01	8.779e-10	2.500e-01
1.800e+03	1.366e-02	1.015e-02	1.786e-02	1.733e-02	9.265e-03	3.158e-02	1.669e-01	8.779e-10	2.500e-01
1.900e+03	1.366e-02	1.015e-02	1.786e-02	1.733e-02	9.265e-03	3.158e-02	1.669e-01	8.779e-10	2.500e-01
2.000e+03	1.366e-02	1.015e-02	1.786e-02	1.809e-02	9.265e-03	3.178e-02	1.669e-01	8.779e-10	2.500e-01
2.100e+03	1.366e-02	1.015e-02	1.786e-02	1.826e-02	1.269e-02	3.254e-02	1.669e-01	1.131e-06	2.500e-01
2.200e+03	1.366e-02	1.015e-02	1.786e-02	1.826e-02	1.269e-02	3.547e-02	1.669e-01	1.131e-06	2.500e-01
2.300e+03	1.366e-02	1.015e-02	1.786e-02	1.826e-02	1.269e-02	3.547e-02	1.669e-01	1.131e-06	2.500e-01
2.400e+03	1.366e-02	1.015e-02	1.786e-02	1.826e-02	1.269e-02	3.663e-02	1.654e-01	3.948e-09	2.349e-01
2.500e+03	1.366e-02	1.015e-02	1.786e-02	1.826e-02	1.299e-02	3.663e-02	1.669e-01	3.948e-09	2.500e-01
2.600e+03	1.366e-02	1.015e-02	1.786e-02	1.826e-02	1.299e-02	3.663e-02	1.669e-01	3.948e-09	2.500e-01
2.700e+03	1.366e-02	1.015e-02	1.786e-02	1.826e-02	1.299e-02	3.663e-02	1.669e-01	3.948e-09	2.500e-01
2.800e+03	1.366e-02	1.015e-02	1.786e-02	1.826e-02	1.299e-02	3.254e-02	1.654e-01	3.090e-09	2.500e-01
2.900e+03	1.366e-02	1.015e-02	1.786e-02	1.816e-02	1.269e-02	3.158e-02	1.654e-01	8.779e-10	2.500e-01
3.000e+03	1.405e-02	1.015e-02	1.853e-02	1.816e-02	1.269e-02	3.158e-02	1.654e-01	8.779e-10	2.500e-01
3.100e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	1.209e-02	2.736e-02	1.654e-01	3.090e-09	2.500e-01
3.200e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	1.209e-02	2.736e-02	1.654e-01	3.090e-09	2.500e-01
3.300e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.209e-02	2.736e-02	1.669e-01	1.131e-06	2.500e-01
3.400e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.209e-02	2.736e-02	1.654e-01	1.131e-06	2.500e-01
3.500e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.209e-02	2.250e-02	1.654e-01	1.131e-06	2.500e-01
3.600e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.209e-02	2.250e-02	1.669e-01	1.131e-06	2.500e-01
3.700e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.209e-02	2.250e-02	1.669e-01	1.850e-08	2.500e-01
3.800e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	1.209e-02	2.110e-02	1.669e-01	1.850e-08	2.500e-01
3.900e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	1.209e-02	2.110e-02	1.669e-01	1.850e-08	2.500e-01
4.000e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	1.209e-02	2.110e-02	1.669e-01	1.850e-08	2.500e-01
4.100e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.269e-02	2.250e-02	1.669e-01	1.850e-08	2.500e-01
4.200e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.269e-02	2.250e-02	1.669e-01	1.850e-08	2.500e-01
4.300e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.299e-02	2.250e-02	4.835e-02	8.362e-09	2.500e-01
4.400e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.269e-02	2.110e-02	4.835e-02	8.362e-09	2.500e-01
4.500e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.269e-02	2.110e-02	4.835e-02	8.362e-09	2.500e-01
4.600e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.209e-02	2.110e-02	1.669e-01	8.362e-09	2.500e-01
4.700e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.209e-02	2.110e-02	1.669e-01	8.362e-09	2.421e-01
4.800e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.421e-01
4.900e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.421e-01
5.000e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.420e-01
5.100e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.420e-01
5.200e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.420e-01
5.300e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	4.835e-02	8.362e-09	2.420e-01
5.400e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	4.835e-02	8.362e-09	2.420e-01
5.500e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	4.835e-02	8.362e-09	2.420e-01
5.600e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	7.121e-02	8.362e-09	2.338e-01
5.700e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	7.121e-02	8.362e-09	2.338e-01
