problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
homo-same;mlp;7;[8];300;30000;30000;2.89000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;2;[8];300;30000;30000;2.88600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;1;[8];300;30000;30000;2.88200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;0.00000e+00
homo-same;mlp;3;[8];300;30000;30000;2.91200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;6;[8];300;30000;30000;2.91700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;8;[8];300;30000;30000;2.92200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
homo-same;mlp;5;[8];300;30000;30000;2.92700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;10;[8];300;30000;30000;2.94100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;9;[8];300;30000;30000;2.94500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;4;[8];300;30000;30000;2.95500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-same;mlp;18;[8];300;30000;30000;2.34500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-same;mlp;17;[8];300;30000;30000;2.35300e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;14;[8];300;30000;30000;2.35700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
homo-same;mlp;19;[8];300;30000;30000;2.39200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;0.00000e+00
homo-same;mlp;11;[8];300;30000;30000;2.40600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-same;mlp;13;[8];300;30000;30000;2.41100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;16;[8];300;30000;30000;2.40500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;15;[8];300;30000;30000;2.42500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;12;[8];300;30000;30000;2.43000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
homo-same;mlp;20;[8];300;30000;30000;2.44000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;28;[8];300;30000;30000;2.18500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;23;[8];300;30000;30000;2.26700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
homo-same;mlp;25;[8];300;30000;30000;2.25500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;0.00000e+00
homo-same;mlp;21;[8];300;30000;30000;2.30400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-same;mlp;22;[8];300;30000;30000;2.33200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;24;[8];300;30000;30000;2.33500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;9.71445e-17
homo-same;mlp;27;[8];300;30000;30000;2.32100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
homo-same;mlp;29;[8];300;30000;30000;2.32700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;26;[8];300;30000;30000;2.41100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;30;[8];300;30000;30000;2.42200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-diff;mlp;3;[8];300;30000;30000;2.29900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;4;[8];300;30000;30000;2.33200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;1;[8];300;30000;30000;2.39000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
homo-diff;mlp;6;[8];300;30000;30000;2.29400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
homo-diff;mlp;2;[8];300;30000;30000;2.41000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;8;[8];300;30000;30000;2.28900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;5;[8];300;30000;30000;2.42500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-diff;mlp;7;[8];300;30000;30000;2.37700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;9;[8];300;30000;30000;2.27800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
homo-diff;mlp;10;[8];300;30000;30000;2.32700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;13;[8];300;30000;30000;2.22400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;15;[8];300;30000;30000;2.27600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.66533e-16
homo-diff;mlp;14;[8];300;30000;30000;2.34100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;11;[8];300;30000;30000;2.42600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;16;[8];300;30000;30000;2.32200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;18;[8];300;30000;30000;2.29300e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-diff;mlp;12;[8];300;30000;30000;2.47800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
homo-diff;mlp;20;[8];300;30000;30000;2.28200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;6.93889e-17
homo-diff;mlp;19;[8];300;30000;30000;2.36700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
homo-diff;mlp;17;[8];300;30000;30000;2.43100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.66533e-16
homo-diff;mlp;21;[8];300;30000;30000;2.41300e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
homo-diff;mlp;24;[8];300;30000;30000;2.34000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;23;[8];300;30000;30000;2.37600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;26;[8];300;30000;30000;2.34600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.66533e-16
homo-diff;mlp;22;[8];300;30000;30000;2.44200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;29;[8];300;30000;30000;2.30800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;28;[8];300;30000;30000;2.32400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.66533e-16
homo-diff;mlp;25;[8];300;30000;30000;2.43900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;27;[8];300;30000;30000;2.37500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.66533e-16
homo-diff;mlp;30;[8];300;30000;30000;2.30900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
hetero;mlp;2;[8];300;30000;30000;2.27600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
hetero;mlp;1;[8];300;30000;30000;2.35500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
hetero;mlp;8;[8];300;30000;30000;2.28000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
hetero;mlp;3;[8];300;30000;30000;2.38700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
hetero;mlp;10;[8];300;30000;30000;2.27100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;4;[8];300;30000;30000;2.34800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;5;[8];300;30000;30000;2.34700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;5.00000e-01;0.00000e+00;1.66533e-16
hetero;mlp;7;[8];300;30000;30000;2.35600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.66533e-16
hetero;mlp;6;[8];300;30000;30000;2.36100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
hetero;mlp;9;[8];300;30000;30000;2.31600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;11;[8];300;30000;30000;2.28500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;5.00000e-01;0.00000e+00;1.11022e-16
hetero;mlp;16;[8];300;30000;30000;2.21400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;15;[8];300;30000;30000;2.22400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;14;[8];300;30000;30000;2.24200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;17;[8];300;30000;30000;2.23800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
hetero;mlp;12;[8];300;30000;30000;2.37000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;13;[8];300;30000;30000;2.29800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;19;[8];300;30000;30000;2.27200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
hetero;mlp;18;[8];300;30000;30000;2.30400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.38778e-16
hetero;mlp;20;[8];300;30000;30000;2.30200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
hetero;mlp;21;[8];300;30000;30000;2.25800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;25;[8];300;30000;30000;2.30500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;22;[8];300;30000;30000;2.34800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;24;[8];300;30000;30000;2.34700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
hetero;mlp;23;[8];300;30000;30000;2.39400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;27;[8];300;30000;30000;2.43700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.94289e-16
hetero;mlp;30;[8];300;30000;30000;2.39300e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;26;[8];300;30000;30000;2.49800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;2.77556e-17
hetero;mlp;29;[8];300;30000;30000;2.44000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;28;[8];300;30000;30000;2.48700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;33;1.00000e+00;0.00000e+00;1.11022e-16
