problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
homo-same;mlp;28;[2];300;30000;30000;5.05100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.66533e-16
homo-same;mlp;15;[2];300;30000;30000;5.07400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
homo-same;mlp;22;[2];300;30000;30000;5.07500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;0.00000e+00
homo-same;mlp;3;[2];300;30000;30000;5.07600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;1.11022e-16
homo-same;mlp;4;[2];300;30000;30000;5.07800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;2.77556e-17
homo-same;mlp;8;[2];300;30000;30000;5.07900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;18;[2];300;30000;30000;5.08000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;0.00000e+00
homo-same;mlp;5;[2];300;30000;30000;5.08200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;25;[2];300;30000;30000;5.08400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;30;[2];300;30000;30000;5.08400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;10;[2];300;30000;30000;5.09200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
homo-same;mlp;27;[2];300;30000;30000;5.09400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
homo-same;mlp;16;[2];300;30000;30000;5.09500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;14;[2];300;30000;30000;5.10300e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.38778e-16
homo-same;mlp;20;[2];300;30000;30000;5.10600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;2;[2];300;30000;30000;5.10700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;5.55112e-17
homo-same;mlp;13;[2];300;30000;30000;5.10900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
homo-same;mlp;29;[2];300;30000;30000;5.10900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-same;mlp;6;[2];300;30000;30000;5.11000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.38778e-16
homo-same;mlp;23;[2];300;30000;30000;5.11000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;9.02056e-17
homo-same;mlp;12;[2];300;30000;30000;5.11100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
homo-same;mlp;7;[2];300;30000;30000;5.11400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.38778e-16
homo-same;mlp;26;[2];300;30000;30000;5.11400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;1.11022e-16
homo-same;mlp;11;[2];300;30000;30000;5.11600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
homo-same;mlp;17;[2];300;30000;30000;5.11600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.38778e-16
homo-same;mlp;9;[2];300;30000;30000;5.11700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;5.55112e-17
homo-same;mlp;1;[2];300;30000;30000;5.11700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
homo-same;mlp;19;[2];300;30000;30000;5.11800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;0.00000e+00
homo-same;mlp;21;[2];300;30000;30000;5.12200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
homo-same;mlp;24;[2];300;30000;30000;5.12300e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;6.93889e-17
homo-diff;mlp;2;[2];300;30000;30000;4.49000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;1;[2];300;30000;30000;4.49600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;1.38778e-16
homo-diff;mlp;6;[2];300;30000;30000;4.51600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
homo-diff;mlp;9;[2];300;30000;30000;4.51200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.38778e-16
homo-diff;mlp;3;[2];300;30000;30000;4.52400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
homo-diff;mlp;7;[2];300;30000;30000;4.52600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;12;[2];300;30000;30000;4.50500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;5;[2];300;30000;30000;4.53700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;10;[2];300;30000;30000;4.52400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
homo-diff;mlp;11;[2];300;30000;30000;4.51900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;4;[2];300;30000;30000;4.54400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;2.77556e-17
homo-diff;mlp;13;[2];300;30000;30000;4.51400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.38778e-16
homo-diff;mlp;14;[2];300;30000;30000;4.50800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
homo-diff;mlp;17;[2];300;30000;30000;4.51200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;16;[2];300;30000;30000;4.51800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;15;[2];300;30000;30000;4.52600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
homo-diff;mlp;18;[2];300;30000;30000;4.51700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
homo-diff;mlp;8;[2];300;30000;30000;4.57200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
homo-diff;mlp;19;[2];300;30000;30000;4.52300e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.38778e-16
homo-diff;mlp;21;[2];300;30000;30000;4.51700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;1.11022e-16
homo-diff;mlp;27;[2];300;30000;30000;4.49900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;22;[2];300;30000;30000;4.51400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;0.00000e+00
homo-diff;mlp;25;[2];300;30000;30000;4.50400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
homo-diff;mlp;23;[2];300;30000;30000;4.51400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
homo-diff;mlp;20;[2];300;30000;30000;4.53500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;8.32667e-17
homo-diff;mlp;24;[2];300;30000;30000;4.51200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;5.55112e-17
homo-diff;mlp;30;[2];300;30000;30000;4.51800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;1.11022e-16
homo-diff;mlp;26;[2];300;30000;30000;4.52000e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;5.00000e-01;0.00000e+00;8.32667e-17
homo-diff;mlp;29;[2];300;30000;30000;4.52800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
homo-diff;mlp;28;[2];300;30000;30000;4.54800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;2;[2];300;30000;30000;4.31100e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
hetero;mlp;1;[2];300;30000;30000;4.32400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;3;[2];300;30000;30000;4.30400e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
hetero;mlp;4;[2];300;30000;30000;4.34300e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.11022e-16
hetero;mlp;5;[2];300;30000;30000;4.46800e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;7;[2];300;30000;30000;4.47500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;8;[2];300;30000;30000;4.46700e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;5.55112e-17
hetero;mlp;9;[2];300;30000;30000;4.48500e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;8.32667e-17
hetero;mlp;10;[2];300;30000;30000;4.47900e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
hetero;mlp;6;[2];300;30000;30000;4.52200e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;1.38778e-16
hetero;mlp;11;[2];300;30000;30000;4.55600e+00;100;100;100;1.00000e+00;1.00000e+00;1.00000e+00;9;1.00000e+00;0.00000e+00;2.77556e-17
