n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.000e+02	1.492e-02	1.735e-03	1.685e-02	8.345e-03	2.156e-03	1.311e-02	2.776e-17	2.776e-17	8.162e-10
2.000e+02	1.557e-02	1.735e-03	1.716e-02	6.939e-03	2.663e-03	1.235e-02	5.310e-13	2.776e-17	1.126e-01
3.000e+02	1.557e-02	1.735e-03	1.795e-02	9.696e-03	4.403e-03	1.950e-02	1.827e-08	2.776e-17	1.698e-01
4.000e+02	1.557e-02	1.735e-03	1.795e-02	9.696e-03	4.403e-03	1.883e-02	1.072e-05	2.776e-17	1.698e-01
5.000e+02	1.557e-02	1.735e-03	1.795e-02	1.098e-02	5.799e-03	1.918e-02	1.072e-05	2.776e-17	2.124e-01
6.000e+02	1.557e-02	1.735e-03	1.795e-02	1.330e-02	7.321e-03	1.950e-02	1.072e-05	2.776e-17	2.216e-01
7.000e+02	1.557e-02	1.735e-03	1.863e-02	1.330e-02	8.583e-03	1.950e-02	1.295e-03	2.776e-17	2.216e-01
8.000e+02	1.557e-02	1.735e-03	1.863e-02	1.553e-02	9.167e-03	1.950e-02	7.918e-02	2.776e-17	2.313e-01
9.000e+02	1.557e-02	1.735e-03	1.908e-02	1.645e-02	9.167e-03	1.965e-02	7.918e-02	2.776e-17	2.398e-01
1.000e+03	1.557e-02	1.735e-03	1.908e-02	1.801e-02	9.436e-03	2.114e-02	7.918e-02	2.776e-17	2.216e-01
1.100e+03	1.557e-02	1.735e-03	1.908e-02	1.744e-02	1.080e-02	1.965e-02	9.532e-02	5.551e-17	2.255e-01
1.200e+03	1.557e-02	1.735e-03	1.908e-02	1.801e-02	1.088e-02	2.114e-02	1.654e-01	4.581e-12	2.255e-01
1.300e+03	1.557e-02	1.735e-03	1.908e-02	1.801e-02	1.088e-02	2.704e-02	1.655e-01	1.788e-09	2.255e-01
1.400e+03	1.557e-02	1.735e-03	1.908e-02	1.707e-02	1.024e-02	2.114e-02	1.655e-01	1.788e-09	2.255e-01
1.500e+03	1.557e-02	1.735e-03	1.908e-02	1.744e-02	1.088e-02	2.704e-02	1.655e-01	1.788e-09	2.255e-01
1.600e+03	1.557e-02	1.735e-03	1.908e-02	1.707e-02	1.088e-02	2.114e-02	1.655e-01	4.581e-12	2.255e-01
1.700e+03	1.557e-02	1.735e-03	1.908e-02	1.707e-02	1.088e-02	2.114e-02	1.675e-01	1.788e-09	2.374e-01
1.800e+03	1.557e-02	1.735e-03	1.908e-02	1.707e-02	9.436e-03	2.114e-02	1.655e-01	1.788e-09	2.216e-01
1.900e+03	1.557e-02	1.735e-03	1.908e-02	1.579e-02	9.436e-03	1.986e-02	1.655e-01	1.788e-09	2.216e-01
2.000e+03	1.557e-02	1.735e-03	1.908e-02	1.553e-02	9.195e-03	1.986e-02	1.675e-01	2.413e-08	2.255e-01
2.100e+03	1.520e-02	1.735e-03	1.795e-02	1.553e-02	9.195e-03	1.965e-02	9.532e-02	2.413e-08	2.165e-01
2.200e+03	1.520e-02	1.735e-03	1.795e-02	1.553e-02	9.195e-03	1.965e-02	6.756e-02	2.413e-08	2.151e-01
