problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;hebbian-network;4;[2];250;25000;25000;9.48900e+00;57;36;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.86151e-01;3.38071e-07
xor;hebbian-network;17;[2];250;25000;25000;9.51100e+00;56;36;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.05525e-01;1.55660e-02
xor;hebbian-network;9;[2];250;25000;25000;9.51700e+00;59;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;7.45170e-01;2.74663e-02
xor;hebbian-network;7;[2];250;25000;25000;9.52300e+00;56;39;17;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.63031e-01;2.92810e-04
xor;hebbian-network;27;[2];250;25000;25000;9.63400e+00;58;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;6.41290e-01;3.46189e-02
xor;hebbian-network;15;[2];250;25000;25000;9.63600e+00;56;34;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;-3.50627e-02;1.56413e-02
xor;hebbian-network;20;[2];250;25000;25000;9.64000e+00;56;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;4.61141e-01;2.41576e-02
xor;hebbian-network;22;[2];250;25000;25000;9.63700e+00;72;13;3;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;7.53145e-01;1.17613e-01
xor;hebbian-network;10;[2];250;25000;25000;9.64500e+00;57;39;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;3.69769e-02;2.12390e-02
xor;hebbian-network;24;[2];250;25000;25000;9.64700e+00;53;36;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;-7.07876e-03;9.06510e-03
xor;hebbian-network;6;[2];250;25000;25000;9.68100e+00;54;32;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;3.30109e-01;7.47961e-03
xor;hebbian-network;1;[2];250;25000;25000;9.68500e+00;59;46;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.19109e-02;1.55855e-02
xor;hebbian-network;3;[2];250;25000;25000;9.68500e+00;55;33;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;-5.86845e-03;1.93400e-02
xor;hebbian-network;26;[2];250;25000;25000;9.68000e+00;54;36;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.99273e-01;4.70863e-06
xor;hebbian-network;8;[2];250;25000;25000;9.69600e+00;58;45;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;3.37628e-01;1.52021e-02
xor;hebbian-network;19;[2];250;25000;25000;9.69900e+00;55;8;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.73370e-01;1.42838e-02
xor;hebbian-network;29;[2];250;25000;25000;9.70000e+00;60;45;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.01859e-01;2.01035e-05
xor;hebbian-network;5;[2];250;25000;25000;9.70700e+00;57;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;2.13035e-01;6.34971e-03
xor;hebbian-network;21;[2];250;25000;25000;9.71500e+00;54;38;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.26685e-01;1.73503e-03
xor;hebbian-network;11;[2];250;25000;25000;9.71500e+00;57;44;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.93918e-01;1.53308e-05
xor;hebbian-network;23;[2];250;25000;25000;9.71700e+00;57;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;8.14609e-01;1.90823e-02
xor;hebbian-network;25;[2];250;25000;25000;9.72500e+00;56;5;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.99608e-01;1.11842e-02
xor;hebbian-network;16;[2];250;25000;25000;9.72000e+00;54;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;2.68017e-01;9.67532e-03
xor;hebbian-network;12;[2];250;25000;25000;9.72300e+00;67;10;2;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;6.58427e-01;5.24697e-02
xor;hebbian-network;14;[2];250;25000;25000;9.72600e+00;57;33;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.19887e-02;1.71625e-02
xor;hebbian-network;30;[2];250;25000;25000;9.73700e+00;56;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;4.78553e-01;2.51461e-02
xor;hebbian-network;2;[2];250;25000;25000;9.73800e+00;57;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.95018e-01;8.00773e-03
xor;hebbian-network;13;[2];250;25000;25000;9.74400e+00;57;37;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.92238e-01;1.49239e-02
xor;hebbian-network;18;[2];250;25000;25000;9.74900e+00;64;9;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;5.00081e-01;2.03795e-02
xor;hebbian-network;28;[2];250;25000;25000;9.75400e+00;54;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;3.82029e-01;2.63248e-02
xor;hebbian-synapse;3;[2];250;25000;25000;8.70500e+00;99;62;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.87841e-01;1.41728e-02
xor;hebbian-synapse;2;[2];250;25000;25000;8.73900e+00;100;60;3;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.09179e-01;1.57154e-02
xor;hebbian-synapse;1;[2];250;25000;25000;8.79600e+00;100;64;3;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;7.65266e-02;1.03347e-02
xor;hebbian-synapse;4;[2];250;25000;25000;9.12900e+00;99;67;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;6.51395e-02;5.99143e-03
xor;hebbian-synapse;7;[2];250;25000;25000;9.66300e+00;100;86;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;6.45187e-02;1.62950e-02
xor;hebbian-synapse;8;[2];250;25000;25000;9.93100e+00;100;56;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.28017e-01;1.46881e-02
xor;hebbian-synapse;9;[2];250;25000;25000;9.91700e+00;100;50;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.16337e-01;1.87878e-02
xor;hebbian-synapse;6;[2];250;25000;25000;9.95300e+00;100;63;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;6.24393e-02;1.22326e-02
xor;hebbian-synapse;10;[2];250;25000;25000;1.01550e+01;100;65;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.85825e-01;8.44425e-03
xor;hebbian-synapse;5;[2];250;25000;25000;1.02100e+01;100;60;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.89423e-01;1.36164e-02
xor;hebbian-synapse;14;[2];250;25000;25000;1.06440e+01;100;71;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.15668e-01;1.78318e-02
xor;hebbian-synapse;11;[2];250;25000;25000;1.12290e+01;100;63;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.12320e-01;1.01593e-02
xor;hebbian-synapse;16;[2];250;25000;25000;1.12700e+01;97;74;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;6.03703e-02;8.40608e-03
xor;hebbian-synapse;15;[2];250;25000;25000;1.12870e+01;100;65;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.92715e-01;8.58603e-03
xor;hebbian-synapse;18;[2];250;25000;25000;1.17340e+01;99;85;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.59913e-02;1.81052e-02
xor;hebbian-synapse;12;[2];250;25000;25000;1.20720e+01;99;82;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.69718e-02;1.32549e-02
xor;hebbian-synapse;19;[2];250;25000;25000;1.20600e+01;100;76;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.55881e-02;1.96860e-02
