n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	5.000e-01	2.602e-01	5.000e-01	5.762e-01	4.949e-01	8.932e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.923e-01	4.953e-02	5.000e-01	8.126e-01	5.000e-01	9.705e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	2.664e-01	2.167e-01	5.000e-01	5.994e-01	3.297e-01	6.727e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	2.613e-01	2.167e-01	5.000e-01	5.477e-01	4.932e-01	8.983e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	2.613e-01	1.772e-01	3.014e-01	5.240e-01	3.678e-01	7.726e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	2.683e-01	2.273e-01	4.417e-01	5.090e-01	2.457e-01	7.751e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	2.397e-01	2.052e-01	3.081e-01	5.119e-01	4.291e-01	6.920e-01	5.000e-01	4.791e-01	5.000e-01
8.000e+02	2.543e-01	2.039e-01	4.596e-01	5.000e-01	2.943e-01	8.470e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	2.658e-01	2.119e-01	4.294e-01	5.000e-01	4.546e-01	7.835e-01	5.000e-01	5.000e-01	5.000e-01
1.000e+03	2.619e-01	2.084e-01	3.218e-01	5.000e-01	2.479e-01	8.354e-01	5.000e-01	4.986e-01	5.000e-01
1.100e+03	2.293e-01	1.806e-01	3.026e-01	5.000e-01	3.441e-01	9.166e-01	5.000e-01	5.000e-01	5.000e-01
1.200e+03	2.432e-01	1.766e-01	2.773e-01	5.000e-01	4.467e-01	8.032e-01	5.000e-01	1.641e-01	5.000e-01
1.300e+03	2.333e-01	1.806e-01	2.773e-01	5.000e-01	3.469e-01	7.332e-01	5.000e-01	4.999e-01	5.000e-01
1.400e+03	2.512e-01	1.806e-01	3.162e-01	4.734e-01	1.812e-01	5.853e-01	5.000e-01	4.979e-01	5.000e-01
1.500e+03	2.537e-01	2.202e-01	3.026e-01	5.000e-01	3.250e-01	7.939e-01	5.000e-01	4.935e-01	5.000e-01
1.600e+03	2.333e-01	1.752e-01	2.616e-01	5.000e-01	1.254e-01	6.890e-01	5.000e-01	4.986e-01	5.000e-01
1.700e+03	2.354e-01	2.167e-01	2.616e-01	5.000e-01	3.045e-01	7.404e-01	5.000e-01	1.723e-01	5.000e-01
1.800e+03	2.432e-01	1.806e-01	3.249e-01	5.000e-01	3.521e-01	6.248e-01	5.000e-01	3.573e-02	5.000e-01
1.900e+03	2.470e-01	2.233e-01	3.026e-01	4.991e-01	1.283e-01	6.182e-01	5.000e-01	7.749e-02	5.000e-01
2.000e+03	2.471e-01	1.829e-01	3.026e-01	6.003e-01	3.417e-01	9.012e-01	5.000e-01	4.986e-01	5.000e-01
2.100e+03	2.432e-01	1.996e-01	3.026e-01	5.000e-01	2.474e-01	7.342e-01	5.000e-01	2.009e-01	5.000e-01
2.200e+03	2.333e-01	1.806e-01	2.620e-01	4.770e-01	2.005e-01	6.727e-01	5.000e-01	3.892e-01	5.000e-01
2.300e+03	2.457e-01	1.806e-01	3.026e-01	5.616e-01	1.860e-01	8.406e-01	5.000e-01	3.910e-01	5.000e-01
2.400e+03	2.333e-01	1.753e-01	2.675e-01	5.000e-01	3.237e-01	8.294e-01	5.000e-01	4.988e-01	5.000e-01
