n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
1.000e+02	4.674e-01	2.479e-01	4.917e-01	6.147e-01	4.583e-01	8.404e-01	1.394e-01	9.590e-02	2.044e-01
2.000e+02	4.121e-01	1.753e-01	4.917e-01	8.390e-01	5.972e-01	9.114e-01	1.530e-01	1.103e-01	2.478e-01
3.000e+02	2.541e-01	2.004e-01	4.917e-01	8.100e-01	6.073e-01	9.364e-01	1.860e-01	1.103e-01	2.778e-01
4.000e+02	3.002e-01	2.119e-01	4.917e-01	8.662e-01	6.147e-01	9.645e-01	2.651e-01	1.316e-01	6.009e-01
5.000e+02	2.541e-01	1.795e-01	4.917e-01	8.404e-01	6.197e-01	9.364e-01	3.352e-01	1.116e-01	6.009e-01
6.000e+02	2.829e-01	2.004e-01	5.280e-01	8.404e-01	6.147e-01	9.364e-01	3.352e-01	1.192e-01	6.009e-01
7.000e+02	2.831e-01	2.122e-01	5.280e-01	8.404e-01	6.197e-01	9.364e-01	3.352e-01	1.316e-01	6.009e-01
8.000e+02	2.846e-01	2.384e-01	5.335e-01	8.404e-01	6.197e-01	9.364e-01	3.804e-01	1.316e-01	6.032e-01
9.000e+02	2.846e-01	2.384e-01	5.335e-01	8.100e-01	6.197e-01	8.999e-01	4.132e-01	1.872e-01	6.605e-01
1.000e+03	2.855e-01	2.384e-01	5.355e-01	8.100e-01	6.197e-01	8.999e-01	4.772e-01	2.651e-01	6.658e-01
1.100e+03	2.855e-01	2.384e-01	5.355e-01	7.978e-01	6.197e-01	8.999e-01	4.762e-01	2.651e-01	7.024e-01
1.200e+03	2.855e-01	2.384e-01	5.355e-01	7.978e-01	6.197e-01	8.999e-01	4.872e-01	2.651e-01	7.582e-01
1.300e+03	2.855e-01	2.384e-01	5.355e-01	7.978e-01	6.197e-01	8.999e-01	4.750e-01	2.295e-01	7.472e-01
