n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	6.000e-01	1.128e-01	6.000e-01	5.325e-01	1.053e-01	8.631e-01	6.000e-01	6.000e-01	6.000e-01
2.000e+02	2.106e-01	4.334e-02	6.000e-01	6.604e-01	7.217e-02	7.922e-01	6.000e-01	6.000e-01	6.000e-01
3.000e+02	2.106e-01	1.052e-01	6.000e-01	6.028e-01	1.048e-01	7.993e-01	6.000e-01	6.000e-01	6.000e-01
4.000e+02	1.785e-01	4.613e-02	6.000e-01	5.379e-01	3.004e-01	8.676e-01	6.000e-01	6.000e-01	6.000e-01
5.000e+02	1.693e-01	4.487e-02	2.903e-01	6.621e-01	2.402e-01	7.961e-01	6.000e-01	4.668e-01	6.000e-01
6.000e+02	1.740e-01	6.587e-02	2.903e-01	5.851e-01	3.000e-01	8.362e-01	6.000e-01	4.668e-01	6.000e-01
7.000e+02	1.887e-01	8.341e-02	4.322e-01	6.000e-01	3.324e-01	8.424e-01	6.000e-01	4.668e-01	6.000e-01
8.000e+02	1.849e-01	8.282e-02	3.730e-01	4.964e-01	2.763e-01	7.311e-01	6.000e-01	4.772e-01	6.000e-01
9.000e+02	1.740e-01	9.363e-02	2.392e-01	5.109e-01	2.092e-01	9.072e-01	6.000e-01	3.434e-01	6.000e-01
1.000e+03	1.492e-01	8.235e-02	2.317e-01	6.740e-01	3.758e-01	9.674e-01	5.997e-01	4.500e-01	6.000e-01
1.100e+03	1.693e-01	7.311e-02	2.317e-01	6.999e-01	3.406e-01	8.138e-01	5.500e-01	1.505e-01	6.000e-01
1.200e+03	1.323e-01	6.657e-02	2.317e-01	6.320e-01	3.293e-01	7.640e-01	5.939e-01	2.962e-01	6.000e-01
1.300e+03	1.843e-01	8.282e-02	3.103e-01	4.000e-01	1.611e-01	7.000e-01	5.997e-01	4.500e-01	6.000e-01
1.400e+03	1.525e-01	8.885e-02	2.113e-01	6.322e-01	3.434e-01	7.960e-01	5.939e-01	3.444e-01	6.000e-01
1.500e+03	1.693e-01	6.218e-02	2.206e-01	5.821e-01	2.998e-01	7.921e-01	6.000e-01	3.810e-01	6.000e-01
1.600e+03	1.740e-01	8.282e-02	2.206e-01	5.823e-01	2.822e-01	7.151e-01	5.997e-01	3.999e-01	6.000e-01
1.700e+03	1.740e-01	8.762e-02	2.873e-01	5.305e-01	2.986e-01	7.245e-01	5.939e-01	3.996e-01	6.000e-01
1.800e+03	1.693e-01	8.282e-02	2.206e-01	4.036e-01	2.277e-01	7.684e-01	5.656e-01	4.500e-01	6.000e-01
1.900e+03	1.699e-01	8.282e-02	2.206e-01	6.356e-01	3.000e-01	9.034e-01	5.997e-01	4.190e-01	6.000e-01
2.000e+03	1.522e-01	4.824e-02	1.821e-01	6.462e-01	1.950e-01	8.014e-01	5.500e-01	1.648e-01	6.000e-01
2.100e+03	1.699e-01	6.618e-02	1.924e-01	3.485e-01	1.896e-01	7.021e-01	5.508e-01	2.545e-01	6.000e-01
2.200e+03	1.731e-01	8.282e-02	2.259e-01	6.877e-01	3.012e-01	8.488e-01	4.750e-01	2.577e-01	6.000e-01
