n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
1.000e+02	1.008e-02	1.316e-06	1.964e-02	7.900e-03	2.898e-03	1.306e-02	3.678e-10	2.776e-17	7.375e-05
2.000e+02	1.295e-02	7.574e-03	1.774e-02	1.182e-02	3.564e-03	2.435e-02	1.444e-09	5.551e-17	9.122e-03
3.000e+02	1.254e-02	7.574e-03	1.515e-02	1.296e-02	7.215e-03	2.453e-02	1.875e-08	8.327e-17	1.683e-01
4.000e+02	1.317e-02	7.999e-03	1.774e-02	1.482e-02	9.351e-03	3.952e-02	7.375e-05	7.374e-15	3.819e-01
5.000e+02	1.366e-02	8.103e-03	1.964e-02	1.724e-02	1.102e-02	3.952e-02	9.946e-08	7.374e-15	3.819e-01
6.000e+02	1.366e-02	8.103e-03	1.964e-02	1.724e-02	7.750e-03	3.148e-02	1.654e-01	1.444e-09	4.272e-01
7.000e+02	1.366e-02	8.103e-03	1.964e-02	1.757e-02	1.296e-02	3.148e-02	1.654e-01	2.027e-10	4.154e-01
8.000e+02	1.366e-02	8.103e-03	1.964e-02	1.757e-02	1.296e-02	3.129e-02	1.654e-01	1.444e-09	4.154e-01
9.000e+02	1.366e-02	8.103e-03	1.964e-02	1.757e-02	1.296e-02	3.129e-02	1.654e-01	1.444e-09	4.074e-01
1.000e+03	1.366e-02	8.103e-03	1.964e-02	1.757e-02	1.292e-02	3.059e-02	1.683e-01	2.239e-09	4.074e-01
1.100e+03	1.366e-02	8.103e-03	1.964e-02	1.584e-02	1.292e-02	2.579e-02	2.031e-01	1.803e-08	4.154e-01
1.200e+03	1.366e-02	8.103e-03	1.964e-02	1.625e-02	1.296e-02	2.493e-02	1.683e-01	2.239e-09	4.154e-01
1.300e+03	1.366e-02	8.103e-03	1.964e-02	1.629e-02	1.164e-02	3.016e-02	1.465e-01	1.444e-09	4.154e-01
1.400e+03	1.366e-02	8.103e-03	1.964e-02	1.629e-02	1.301e-02	2.579e-02	1.683e-01	2.239e-09	4.154e-01
1.500e+03	1.366e-02	8.103e-03	1.964e-02	1.629e-02	1.301e-02	2.579e-02	1.683e-01	2.239e-09	4.154e-01
1.600e+03	1.366e-02	8.103e-03	1.964e-02	1.584e-02	1.092e-02	1.912e-02	8.822e-03	2.239e-09	2.165e-01
1.700e+03	1.366e-02	8.103e-03	1.964e-02	1.554e-02	1.164e-02	1.757e-02	8.822e-03	2.239e-09	2.217e-01
