n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	2.737e-01	6.220e-02	4.879e-01	4.333e-01	3.567e-01	4.909e-01	2.250e-01	-2.467e-02	3.996e-01
2.000e+02	7.058e-02	2.477e-02	4.666e-01	4.574e-01	2.770e-01	5.429e-01	1.251e-01	-5.639e-02	3.890e-01
3.000e+02	6.060e-02	1.608e-02	1.386e-01	5.074e-01	4.170e-01	6.262e-01	2.917e-01	2.980e-02	6.161e-01
4.000e+02	6.077e-02	1.608e-02	1.386e-01	5.074e-01	3.316e-01	6.937e-01	3.890e-01	5.336e-02	6.251e-01
5.000e+02	5.356e-02	1.281e-02	9.889e-02	5.853e-01	4.034e-01	7.334e-01	3.407e-01	5.336e-02	6.161e-01
6.000e+02	5.356e-02	1.281e-02	9.889e-02	6.106e-01	4.034e-01	7.734e-01	3.657e-01	1.874e-01	6.161e-01
7.000e+02	5.356e-02	1.281e-02	9.889e-02	5.080e-01	3.316e-01	6.583e-01	3.737e-01	1.874e-01	6.548e-01
8.000e+02	5.356e-02	1.281e-02	9.889e-02	5.097e-01	3.316e-01	6.583e-01	3.750e-01	1.935e-01	6.161e-01
9.000e+02	5.356e-02	1.281e-02	9.889e-02	5.430e-01	3.316e-01	6.583e-01	3.737e-01	1.896e-01	6.161e-01
1.000e+03	5.356e-02	1.281e-02	9.889e-02	5.430e-01	3.316e-01	7.329e-01	4.250e-01	1.896e-01	6.548e-01
1.100e+03	5.356e-02	1.281e-02	9.889e-02	5.097e-01	3.316e-01	6.262e-01	4.250e-01	2.250e-01	6.548e-01
1.200e+03	5.356e-02	1.281e-02	9.889e-02	5.121e-01	3.805e-01	6.262e-01	4.250e-01	2.250e-01	6.548e-01
1.300e+03	5.356e-02	1.281e-02	9.889e-02	5.121e-01	4.217e-01	6.236e-01	3.737e-01	1.387e-01	6.548e-01
1.400e+03	5.356e-02	1.281e-02	9.889e-02	4.961e-01	3.805e-01	6.106e-01	3.737e-01	2.163e-01	6.548e-01
1.500e+03	5.356e-02	1.281e-02	9.889e-02	4.838e-01	4.034e-01	5.900e-01	3.750e-01	2.163e-01	6.548e-01
1.600e+03	5.356e-02	1.281e-02	9.889e-02	4.961e-01	4.252e-01	5.826e-01	3.750e-01	1.750e-01	7.750e-01
1.700e+03	5.356e-02	1.281e-02	9.889e-02	4.732e-01	4.217e-01	5.369e-01	3.750e-01	1.750e-01	7.750e-01
1.800e+03	5.356e-02	1.281e-02	9.889e-02	4.732e-01	4.217e-01	5.369e-01	3.750e-01	1.750e-01	7.750e-01
