n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	3.249e-01	1.301e-01	5.000e-01	6.362e-01	1.008e-01	6.483e-01	3.999e-01	1.370e-01	5.000e-01
2.000e+02	1.456e-01	6.268e-02	4.991e-01	6.011e-01	2.422e-01	6.500e-01	4.000e-01	5.000e-02	5.000e-01
3.000e+02	1.235e-01	5.588e-02	2.694e-01	6.454e-01	3.033e-01	7.469e-01	2.998e-01	-4.972e-02	5.000e-01
4.000e+02	1.235e-01	5.588e-02	2.694e-01	6.460e-01	2.422e-01	9.198e-01	3.000e-01	2.502e-02	5.000e-01
5.000e+02	1.067e-01	4.834e-02	2.122e-01	6.460e-01	2.739e-01	9.292e-01	3.000e-01	6.143e-10	5.000e-01
6.000e+02	1.067e-01	4.834e-02	2.122e-01	4.411e-01	2.739e-01	9.292e-01	3.975e-01	6.143e-10	5.182e-01
7.000e+02	1.067e-01	4.834e-02	2.122e-01	3.949e-01	2.739e-01	8.129e-01	4.500e-01	1.124e-09	6.500e-01
8.000e+02	1.067e-01	4.834e-02	2.122e-01	3.949e-01	1.817e-01	8.129e-01	4.500e-01	1.124e-09	6.500e-01
9.000e+02	1.067e-01	4.834e-02	2.122e-01	3.949e-01	1.817e-01	8.583e-01	4.000e-01	1.124e-09	6.500e-01
1.000e+03	1.067e-01	4.834e-02	2.122e-01	4.411e-01	2.739e-01	8.745e-01	4.000e-01	-3.051e-02	6.500e-01
1.100e+03	1.067e-01	4.834e-02	2.122e-01	4.411e-01	2.993e-01	8.399e-01	2.500e-01	-3.051e-02	6.500e-01
1.200e+03	1.067e-01	4.834e-02	2.122e-01	6.901e-01	3.252e-01	8.587e-01	4.500e-01	-6.527e-03	8.443e-01
1.300e+03	1.067e-01	4.834e-02	2.122e-01	7.094e-01	2.993e-01	9.057e-01	4.991e-01	5.699e-03	8.443e-01
1.400e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.907e-01	8.587e-01	4.500e-01	5.699e-03	8.443e-01
1.500e+03	1.067e-01	4.834e-02	2.122e-01	6.468e-01	2.739e-01	8.587e-01	3.882e-01	8.893e-08	8.443e-01
1.600e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.993e-01	8.399e-01	3.000e-01	-6.527e-03	8.443e-01
1.700e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.993e-01	8.399e-01	3.000e-01	-6.527e-03	8.443e-01
1.800e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.993e-01	8.399e-01	3.000e-01	-6.527e-03	8.443e-01
1.900e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.993e-01	8.399e-01	4.000e-01	5.699e-03	8.770e-01
2.000e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.993e-01	8.399e-01	4.000e-01	8.893e-08	9.022e-01
2.100e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.993e-01	8.399e-01	4.000e-01	8.893e-08	8.770e-01
2.200e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.993e-01	8.399e-01	4.000e-01	8.893e-08	8.770e-01
2.300e+03	1.067e-01	4.834e-02	2.122e-01	6.130e-01	2.993e-01	8.399e-01	4.488e-01	5.699e-03	9.258e-01
2.400e+03	1.067e-01	4.834e-02	2.122e-01	5.601e-01	2.739e-01	7.665e-01	4.000e-01	-2.255e-07	8.770e-01
2.500e+03	1.067e-01	4.834e-02	2.122e-01	4.903e-01	2.547e-01	7.660e-01	3.750e-01	-8.127e-04	8.770e-01
2.600e+03	1.067e-01	4.834e-02	2.122e-01	4.903e-01	2.547e-01	7.660e-01	3.750e-01	-8.127e-04	9.258e-01
2.700e+03	1.067e-01	4.834e-02	2.122e-01	4.903e-01	2.547e-01	7.660e-01	4.000e-01	-2.255e-07	9.258e-01
2.800e+03	1.067e-01	4.834e-02	2.122e-01	4.903e-01	2.547e-01	7.660e-01	4.000e-01	-2.255e-07	9.258e-01
2.900e+03	1.067e-01	4.834e-02	2.122e-01	4.903e-01	2.166e-01	7.660e-01	4.000e-01	-2.255e-07	8.493e-01
3.000e+03	1.067e-01	4.834e-02	2.122e-01	4.903e-01	2.166e-01	7.660e-01	4.488e-01	3.044e-07	9.500e-01
3.100e+03	1.067e-01	4.834e-02	2.122e-01	4.903e-01	2.166e-01	7.660e-01	3.750e-01	-2.255e-07	9.500e-01
3.200e+03	1.067e-01	4.834e-02	2.122e-01	4.642e-01	2.166e-01	7.660e-01	4.000e-01	6.661e-20	9.500e-01
3.300e+03	1.067e-01	4.834e-02	2.122e-01	6.007e-01	2.739e-01	7.660e-01	4.000e-01	3.044e-07	9.982e-01
3.400e+03	1.067e-01	4.834e-02	2.122e-01	6.007e-01	2.166e-01	7.660e-01	4.000e-01	3.044e-07	9.982e-01
3.500e+03	1.067e-01	4.834e-02	2.122e-01	4.642e-01	2.166e-01	7.660e-01	4.000e-01	3.044e-07	9.982e-01
