x	y	progress.rate.q.0.05.0.00.quality.avgLastBoolScore	progress.rate.q.0.05.0.10.quality.avgLastBoolScore	progress.rate.q.0.05.0.25.quality.avgLastBoolScore	progress.rate.q.0.05.0.50.quality.avgLastBoolScore	progress.rate.q.0.05.1.00.quality.avgLastBoolScore
0	0	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
0	1	-4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
0	2	2.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
0	3	-1.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
0	4	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
0	5	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
0	6	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
0	7	0.000e+00	4.500e-01	5.000e-01	5.000e-01	5.000e-01
0	8	nan	3.000e-01	5.000e-01	5.000e-01	5.000e-01
0	9	-2.000e-01	2.500e-01	4.000e-01	4.000e-01	4.000e-01
1	0	4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
1	1	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
1	2	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
1	3	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
1	4	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
1	5	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
1	6	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
1	7	nan	4.500e-01	5.000e-01	5.000e-01	5.000e-01
1	8	nan	4.000e-01	5.000e-01	5.000e-01	5.000e-01
1	9	1.000e-01	3.000e-01	4.500e-01	4.500e-01	4.500e-01
2	0	4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
2	1	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
2	2	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
2	3	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
2	4	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
2	5	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
2	6	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
2	7	nan	4.500e-01	5.000e-01	5.000e-01	5.000e-01
2	8	3.500e-01	4.000e-01	4.500e-01	4.500e-01	4.500e-01
2	9	nan	4.500e-01	4.500e-01	4.500e-01	4.500e-01
3	0	4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
3	1	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
3	2	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
3	3	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
3	4	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
3	5	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
3	6	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
3	7	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
3	8	nan	4.500e-01	4.500e-01	4.500e-01	4.500e-01
3	9	nan	nan	4.500e-01	4.500e-01	4.500e-01
4	0	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
4	1	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
4	2	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
4	3	nan	5.000e-01	5.000e-01	5.000e-01	5.000e-01
4	4	nan	nan	nan	4.500e-01	5.000e-01
4	5	nan	nan	4.500e-01	4.500e-01	4.500e-01
4	6	nan	nan	nan	4.500e-01	4.500e-01
4	7	nan	nan	nan	nan	4.500e-01
4	8	nan	nan	nan	nan	nan
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan
5	9	nan	nan	nan	nan	nan
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan
6	9	nan	nan	nan	nan	nan
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	nan	nan	nan	nan
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	nan	nan	nan	nan	nan
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan
