problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;me-hebbian-network;21;[2, 2];250;25000;25000;2.51300e+01;56;37;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.09398e-01;1.36590e-02
xor;me-hebbian-network;12;[2, 2];250;25000;25000;2.52700e+01;50;31;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;6.08348e-02;1.78564e-02
xor;me-hebbian-network;14;[2, 2];250;25000;25000;2.51510e+01;51;32;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.13681e-02;7.43209e-03
xor;me-hebbian-network;1;[2, 2];250;25000;25000;2.52050e+01;50;30;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;8.15518e-02;2.36866e-02
xor;me-hebbian-network;19;[2, 2];250;25000;25000;2.52040e+01;50;30;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.12315e-02;1.01495e-02
xor;me-hebbian-network;28;[2, 2];250;25000;25000;2.53010e+01;49;31;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;6.07680e-02;1.19920e-02
xor;me-hebbian-network;18;[2, 2];250;25000;25000;2.53100e+01;50;32;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.21462e-02;1.19167e-02
xor;me-hebbian-network;30;[2, 2];250;25000;25000;2.54030e+01;54;34;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;2.66679e-02;1.27274e-02
xor;me-hebbian-network;7;[2, 2];250;25000;25000;2.54600e+01;59;34;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.43975e-01;2.69354e-05
xor;me-hebbian-network;24;[2, 2];250;25000;25000;2.53340e+01;53;35;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.23850e-01;1.85262e-02
xor;me-hebbian-network;13;[2, 2];250;25000;25000;2.54470e+01;52;32;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.56930e-02;1.21021e-02
xor;me-hebbian-network;10;[2, 2];250;25000;25000;2.54800e+01;52;33;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;9.86897e-02;5.64791e-02
xor;me-hebbian-network;3;[2, 2];250;25000;25000;2.54820e+01;57;37;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.55738e-02;1.41419e-02
xor;me-hebbian-network;20;[2, 2];250;25000;25000;2.54780e+01;55;34;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;7.76342e-02;1.96064e-02
xor;me-hebbian-network;15;[2, 2];250;25000;25000;2.54900e+01;53;35;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.66127e-02;1.40507e-02
xor;me-hebbian-network;26;[2, 2];250;25000;25000;2.54920e+01;56;34;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;7.36183e-02;1.65652e-02
xor;me-hebbian-network;29;[2, 2];250;25000;25000;2.55200e+01;51;32;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.72439e-02;1.69437e-02
xor;me-hebbian-network;22;[2, 2];250;25000;25000;2.55520e+01;51;35;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.41402e-02;1.45100e-02
xor;me-hebbian-network;9;[2, 2];250;25000;25000;2.54940e+01;50;34;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.79000e-02;9.63803e-03
xor;me-hebbian-network;2;[2, 2];250;25000;25000;2.55710e+01;54;34;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.55165e-01;5.79175e-07
xor;me-hebbian-network;8;[2, 2];250;25000;25000;2.55420e+01;54;35;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.97354e-02;1.29221e-02
xor;me-hebbian-network;4;[2, 2];250;25000;25000;2.55070e+01;60;36;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.30783e-01;4.49837e-08
xor;me-hebbian-network;25;[2, 2];250;25000;25000;2.55480e+01;56;37;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;3.01949e-02;1.94942e-02
xor;me-hebbian-network;16;[2, 2];250;25000;25000;2.55840e+01;56;34;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;6.82858e-03;5.40386e-03
xor;me-hebbian-network;5;[2, 2];250;25000;25000;2.55550e+01;51;31;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.41014e-01;2.45569e-02
xor;me-hebbian-network;11;[2, 2];250;25000;25000;2.55860e+01;60;39;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.55643e-02;1.11575e-02
xor;me-hebbian-network;6;[2, 2];250;25000;25000;2.55920e+01;51;31;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.26946e-02;7.23071e-03
xor;me-hebbian-network;27;[2, 2];250;25000;25000;2.55630e+01;51;32;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.15813e-02;1.47336e-02
xor;me-hebbian-network;23;[2, 2];250;25000;25000;2.55600e+01;51;32;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;6.54472e-02;2.36607e-02
xor;me-hebbian-network;17;[2, 2];250;25000;25000;2.55670e+01;58;36;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;9.72628e-02;2.80618e-02
xor;me-hebbian-synapse;2;[2, 2];250;25000;25000;2.43470e+01;99;65;1;1.00000e+00;1.00000e+00;1.00000e+00;60;1.00000e+00;7.97384e-02;1.48418e-02
xor;me-hebbian-synapse;1;[2, 2];250;25000;25000;2.44190e+01;100;70;2;1.00000e+00;1.00000e+00;1.00000e+00;60;1.00000e+00;8.60970e-02;9.17329e-03
xor;me-hebbian-synapse;15;[2, 2];250;25000;25000;2.43310e+01;99;82;1;1.00000e+00;1.00000e+00;1.00000e+00;60;1.00000e+00;5.77963e-02;9.07852e-03
xor;me-hebbian-synapse;7;[2, 2];250;25000;25000;2.43880e+01;99;64;1;1.00000e+00;1.00000e+00;1.00000e+00;60;1.00000e+00;4.06012e-01;9.08351e-03
xor;me-hebbian-synapse;20;[2, 2];250;25000;25000;2.43020e+01;100;70;1;1.00000e+00;1.00000e+00;1.00000e+00;60;1.00000e+00;5.52531e-02;1.57601e-02
xor;me-hebbian-synapse;16;[2, 2];250;25000;25000;2.43470e+01;95;66;2;1.00000e+00;1.00000e+00;1.00000e+00;60;1.00000e+00;4.46544e-01;6.76816e-03
xor;me-hebbian-synapse;13;[2, 2];250;25000;25000;2.43700e+01;100;70;1;1.00000e+00;1.00000e+00;1.00000e+00;60;1.00000e+00;3.94086e-01;3.80453e-02
xor;me-hebbian-synapse;12;[2, 2];250;25000;25000;2.43920e+01;100;71;2;1.00000e+00;1.00000e+00;1.00000e+00;60;1.00000e+00;8.58436e-02;1.22247e-02
