n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	4.888e-01	3.470e-01	5.000e-01	4.431e-01	2.692e-01	4.745e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	1.209e-01	5.199e-02	4.999e-01	4.647e-01	1.073e-01	5.290e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	9.138e-02	2.181e-02	4.861e-01	4.740e-01	1.966e-01	6.633e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	8.448e-02	1.633e-02	4.775e-01	4.551e-01	2.584e-01	7.255e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	7.912e-02	1.633e-02	3.692e-01	5.021e-01	3.026e-01	7.255e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	5.675e-02	1.556e-02	3.692e-01	5.033e-01	3.739e-01	8.120e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	5.675e-02	1.556e-02	3.612e-01	5.116e-01	3.316e-01	8.871e-01	5.000e-01	5.000e-01	5.000e-01
8.000e+02	4.343e-02	7.090e-03	1.195e-01	6.048e-01	4.313e-01	9.310e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	5.675e-02	7.090e-03	9.749e-02	5.300e-01	3.316e-01	8.953e-01	5.000e-01	5.000e-01	5.000e-01
1.000e+03	5.675e-02	7.090e-03	9.749e-02	5.300e-01	3.316e-01	9.177e-01	5.000e-01	2.061e-09	5.000e-01
1.100e+03	5.675e-02	7.090e-03	9.749e-02	5.400e-01	3.316e-01	9.177e-01	5.000e-01	0.000e+00	5.000e-01
1.200e+03	5.675e-02	7.090e-03	9.749e-02	6.048e-01	3.316e-01	9.177e-01	5.000e-01	0.000e+00	5.000e-01
1.300e+03	5.675e-02	7.090e-03	9.749e-02	6.048e-01	3.739e-01	9.177e-01	5.000e-01	2.061e-09	5.000e-01
1.400e+03	5.675e-02	7.090e-03	9.749e-02	6.048e-01	3.739e-01	9.177e-01	5.000e-01	7.377e-06	5.000e-01
1.500e+03	5.675e-02	7.090e-03	9.749e-02	5.300e-01	3.739e-01	8.363e-01	5.000e-01	8.993e-03	5.000e-01
1.600e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.330e-01	8.363e-01	5.000e-01	8.993e-03	5.000e-01
1.700e+03	5.675e-02	7.090e-03	9.749e-02	5.415e-01	3.739e-01	8.363e-01	5.000e-01	8.993e-03	5.000e-01
1.800e+03	5.675e-02	7.090e-03	9.749e-02	5.569e-01	3.739e-01	8.363e-01	5.000e-01	2.061e-09	5.000e-01
1.900e+03	5.675e-02	7.090e-03	9.749e-02	5.000e-01	3.664e-01	6.698e-01	5.000e-01	2.061e-09	5.000e-01
2.000e+03	5.675e-02	7.090e-03	9.749e-02	5.000e-01	3.664e-01	6.845e-01	5.000e-01	0.000e+00	5.000e-01
2.100e+03	5.675e-02	7.090e-03	9.749e-02	5.270e-01	3.739e-01	8.169e-01	5.000e-01	7.377e-06	5.000e-01
2.200e+03	5.675e-02	7.090e-03	9.749e-02	5.000e-01	3.378e-01	6.845e-01	5.000e-01	2.532e-03	5.000e-01
2.300e+03	5.675e-02	7.090e-03	9.749e-02	5.000e-01	3.664e-01	6.845e-01	5.000e-01	2.532e-03	5.000e-01
2.400e+03	5.675e-02	7.090e-03	9.749e-02	5.000e-01	3.664e-01	6.845e-01	5.000e-01	8.993e-03	5.000e-01
2.500e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.664e-01	6.698e-01	5.000e-01	2.532e-03	5.000e-01
2.600e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.664e-01	6.698e-01	5.000e-01	2.532e-03	5.000e-01
2.700e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.664e-01	6.616e-01	5.000e-01	2.061e-09	5.000e-01
2.800e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	4.091e-01	6.616e-01	5.000e-01	2.061e-09	5.000e-01
2.900e+03	5.675e-02	7.090e-03	9.749e-02	5.270e-01	4.091e-01	6.698e-01	5.000e-01	2.061e-09	5.000e-01
3.000e+03	6.030e-02	7.090e-03	1.195e-01	5.021e-01	3.664e-01	6.698e-01	5.000e-01	2.061e-09	5.000e-01
3.100e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.664e-01	6.616e-01	5.000e-01	2.061e-09	5.000e-01
3.200e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	4.091e-01	6.698e-01	5.000e-01	1.043e-13	5.000e-01
3.300e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	4.091e-01	6.698e-01	5.000e-01	2.061e-09	5.000e-01
3.400e+03	5.675e-02	7.090e-03	9.749e-02	5.016e-01	3.664e-01	6.698e-01	5.000e-01	2.061e-09	9.054e-01
3.500e+03	5.675e-02	7.090e-03	9.749e-02	5.086e-01	4.486e-01	6.667e-01	5.000e-01	2.061e-09	5.000e-01
3.600e+03	5.675e-02	7.090e-03	9.749e-02	5.270e-01	4.486e-01	6.616e-01	5.000e-01	2.061e-09	5.000e-01
3.700e+03	5.675e-02	7.090e-03	9.749e-02	5.270e-01	4.486e-01	6.616e-01	5.000e-01	2.532e-03	9.054e-01
3.800e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	4.371e-01	6.616e-01	5.000e-01	2.532e-03	9.054e-01
3.900e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	4.091e-01	6.616e-01	5.000e-01	2.532e-03	9.054e-01
4.000e+03	5.675e-02	7.090e-03	9.749e-02	5.016e-01	3.664e-01	6.616e-01	5.000e-01	2.532e-03	9.054e-01
4.100e+03	5.675e-02	7.090e-03	9.749e-02	5.016e-01	3.664e-01	6.564e-01	5.000e-01	2.532e-03	9.054e-01
4.200e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.664e-01	6.616e-01	5.000e-01	2.532e-03	9.054e-01
4.300e+03	5.675e-02	7.090e-03	9.749e-02	5.725e-01	3.664e-01	6.698e-01	5.000e-01	2.532e-03	5.543e-01
4.400e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.664e-01	6.616e-01	5.000e-01	2.532e-03	1.000e+00
4.500e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.664e-01	6.616e-01	5.000e-01	1.043e-13	9.992e-01
4.600e+03	5.675e-02	7.090e-03	9.749e-02	4.916e-01	2.034e-01	6.616e-01	5.000e-01	1.043e-13	1.000e+00
4.700e+03	5.675e-02	7.090e-03	9.749e-02	5.021e-01	3.664e-01	6.698e-01	5.000e-01	0.000e+00	1.000e+00
4.800e+03	5.675e-02	7.090e-03	9.749e-02	4.845e-01	2.034e-01	6.564e-01	5.000e-01	0.000e+00	1.000e+00
4.900e+03	5.675e-02	7.090e-03	9.749e-02	4.916e-01	3.664e-01	6.616e-01	5.000e-01	0.000e+00	1.000e+00
5.000e+03	5.675e-02	7.090e-03	9.749e-02	4.916e-01	3.664e-01	6.616e-01	5.000e-01	0.000e+00	1.000e+00
5.100e+03	5.675e-02	7.090e-03	9.749e-02	4.916e-01	3.664e-01	6.698e-01	5.000e-01	0.000e+00	1.000e+00
5.200e+03	5.675e-02	7.090e-03	9.749e-02	4.916e-01	3.664e-01	6.698e-01	5.000e-01	0.000e+00	1.000e+00
5.300e+03	5.675e-02	7.090e-03	9.749e-02	4.669e-01	6.655e-02	6.616e-01	5.000e-01	1.043e-13	1.000e+00
5.400e+03	5.675e-02	7.090e-03	9.749e-02	4.684e-01	2.034e-01	6.616e-01	5.000e-01	1.043e-13	1.000e+00
5.500e+03	5.675e-02	7.090e-03	9.749e-02	4.669e-01	2.034e-01	6.616e-01	5.000e-01	1.043e-13	1.000e+00
5.600e+03	5.675e-02	7.090e-03	9.749e-02	4.669e-01	6.655e-02	6.616e-01	5.000e-01	5.625e-08	1.000e+00
