n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	6.000e-01	3.011e-01	6.000e-01	4.000e-01	1.838e-01	5.986e-01	6.000e-01	6.000e-01	6.000e-01
2.000e+02	4.132e-01	2.030e-03	6.000e-01	5.328e-01	2.898e-01	6.000e-01	6.000e-01	6.000e-01	6.000e-01
3.000e+02	1.148e-01	1.677e-03	5.866e-01	5.260e-01	2.898e-01	5.990e-01	6.000e-01	6.000e-01	6.000e-01
4.000e+02	8.907e-02	-1.517e-02	5.859e-01	5.260e-01	2.898e-01	6.519e-01	6.000e-01	6.000e-01	6.000e-01
5.000e+02	5.597e-02	-1.562e-02	4.616e-01	5.260e-01	3.000e-01	8.420e-01	6.000e-01	5.750e-01	6.000e-01
6.000e+02	5.585e-02	-1.562e-02	4.616e-01	5.712e-01	3.203e-01	8.420e-01	6.000e-01	5.210e-01	6.000e-01
7.000e+02	2.719e-02	-2.983e-02	4.132e-01	6.358e-01	3.203e-01	8.726e-01	6.000e-01	4.434e-01	6.000e-01
8.000e+02	2.719e-02	-2.983e-02	1.269e-01	6.359e-01	3.501e-01	9.352e-01	6.000e-01	3.371e-01	6.000e-01
9.000e+02	2.719e-02	-2.983e-02	1.205e-01	6.358e-01	3.000e-01	9.190e-01	6.000e-01	3.371e-01	6.000e-01
1.000e+03	2.719e-02	-2.983e-02	1.205e-01	6.358e-01	3.000e-01	9.352e-01	5.750e-01	3.000e-01	6.000e-01
1.100e+03	2.719e-02	-2.983e-02	1.205e-01	6.358e-01	3.000e-01	9.352e-01	5.000e-01	3.000e-01	6.000e-01
1.200e+03	2.719e-02	-2.983e-02	1.205e-01	6.358e-01	3.000e-01	9.352e-01	4.888e-01	3.000e-01	6.000e-01
1.300e+03	2.719e-02	-2.983e-02	1.205e-01	6.358e-01	3.000e-01	9.352e-01	5.000e-01	3.000e-01	6.000e-01
1.400e+03	2.719e-02	-2.983e-02	1.205e-01	7.103e-01	3.000e-01	9.973e-01	5.000e-01	3.000e-01	6.000e-01
1.500e+03	2.719e-02	-2.983e-02	1.205e-01	6.049e-01	2.616e-01	8.224e-01	5.000e-01	3.000e-01	6.000e-01
1.600e+03	2.719e-02	-2.983e-02	1.205e-01	4.816e-01	2.616e-01	8.224e-01	5.000e-01	3.000e-01	6.000e-01
1.700e+03	2.719e-02	-2.983e-02	1.205e-01	6.049e-01	3.000e-01	8.224e-01	4.888e-01	1.526e-01	6.000e-01
1.800e+03	2.719e-02	-2.983e-02	1.205e-01	4.152e-01	3.000e-01	7.966e-01	4.888e-01	1.526e-01	6.000e-01
1.900e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	3.144e-01	7.966e-01	4.500e-01	1.526e-01	6.000e-01
2.000e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	3.144e-01	7.966e-01	4.500e-01	1.526e-01	6.000e-01
2.100e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	3.203e-01	7.966e-01	4.888e-01	3.000e-01	6.000e-01
2.200e+03	2.719e-02	-2.983e-02	1.205e-01	4.829e-01	3.102e-01	7.267e-01	4.888e-01	3.000e-01	6.000e-01
2.300e+03	2.719e-02	-2.983e-02	1.205e-01	4.829e-01	3.000e-01	7.267e-01	4.888e-01	3.000e-01	6.000e-01
2.400e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	3.000e-01	7.267e-01	5.000e-01	1.526e-01	6.000e-01
2.500e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	3.000e-01	6.895e-01	4.888e-01	1.526e-01	6.000e-01
2.600e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	3.000e-01	6.895e-01	4.888e-01	1.526e-01	6.000e-01
2.700e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	3.000e-01	6.853e-01	4.888e-01	1.526e-01	6.000e-01
2.800e+03	2.719e-02	-2.983e-02	1.205e-01	5.257e-01	3.203e-01	7.267e-01	4.888e-01	1.526e-01	6.500e-01
2.900e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.102e-01	6.895e-01	4.888e-01	1.526e-01	6.500e-01
3.000e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.102e-01	6.895e-01	4.888e-01	1.526e-01	6.500e-01
3.100e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.102e-01	7.267e-01	4.812e-01	1.526e-01	6.500e-01
3.200e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.102e-01	7.267e-01	4.812e-01	1.526e-01	6.500e-01
3.300e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.102e-01	7.267e-01	4.500e-01	1.803e-01	6.000e-01
3.400e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.102e-01	7.267e-01	4.812e-01	1.803e-01	6.500e-01
3.500e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.203e-01	6.853e-01	4.500e-01	1.526e-01	6.000e-01
3.600e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.203e-01	6.853e-01	4.500e-01	1.803e-01	6.000e-01
3.700e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.203e-01	6.853e-01	4.812e-01	1.803e-01	6.500e-01
3.800e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	3.102e-01	6.853e-01	4.812e-01	1.803e-01	6.500e-01
