n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
1.000e+02	9.647e-03	4.297e-05	1.427e-02	8.104e-03	3.843e-03	1.344e-02	1.496e-01	1.222e-09	1.662e-01
2.000e+02	1.148e-02	4.297e-05	1.465e-02	9.525e-03	5.197e-03	1.424e-02	1.654e-01	7.237e-05	3.819e-01
3.000e+02	1.148e-02	4.297e-05	1.465e-02	9.691e-03	5.384e-03	1.424e-02	1.662e-01	7.378e-05	3.297e-01
4.000e+02	1.148e-02	4.297e-05	1.465e-02	1.144e-02	7.733e-03	1.783e-02	2.165e-01	6.537e-05	3.819e-01
5.000e+02	1.148e-02	4.297e-05	1.465e-02	1.308e-02	7.866e-03	1.834e-02	2.165e-01	1.091e-06	4.074e-01
6.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	8.203e-03	1.947e-02	1.662e-01	1.163e-06	4.074e-01
7.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	9.525e-03	2.203e-02	1.588e-01	3.010e-09	4.544e-01
8.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	9.525e-03	1.947e-02	1.588e-01	3.010e-09	4.795e-01
9.000e+02	1.148e-02	4.297e-05	1.465e-02	1.610e-02	9.525e-03	2.247e-02	1.654e-01	1.091e-06	4.281e-01
1.000e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.125e-02	2.203e-02	1.654e-01	3.010e-09	4.281e-01
1.100e+03	1.148e-02	4.297e-05	1.543e-02	1.438e-02	1.125e-02	1.947e-02	1.809e-01	9.414e-09	4.281e-01
1.200e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.125e-02	2.203e-02	1.809e-01	9.414e-09	4.795e-01
1.300e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.144e-02	2.203e-02	1.654e-01	6.031e-08	3.695e-01
1.400e+03	1.148e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	2.203e-02	1.654e-01	6.031e-08	3.695e-01
1.500e+03	1.148e-02	4.297e-05	1.543e-02	1.725e-02	1.125e-02	2.331e-02	1.809e-01	1.091e-06	4.330e-01
1.600e+03	1.148e-02	4.297e-05	1.543e-02	1.755e-02	1.250e-02	2.399e-02	1.810e-01	1.091e-06	3.826e-01
1.700e+03	1.148e-02	4.297e-05	1.543e-02	1.755e-02	1.250e-02	2.399e-02	1.809e-01	1.091e-06	3.826e-01
1.800e+03	1.148e-02	4.297e-05	1.543e-02	1.725e-02	1.250e-02	2.331e-02	1.809e-01	1.091e-06	4.330e-01
1.900e+03	1.148e-02	4.297e-05	1.543e-02	1.635e-02	1.228e-02	2.331e-02	1.966e-02	1.091e-06	2.500e-01
2.000e+03	1.148e-02	4.297e-05	1.543e-02	1.590e-02	1.125e-02	2.203e-02	1.863e-02	6.031e-08	2.500e-01
2.100e+03	1.162e-02	4.297e-05	1.571e-02	1.590e-02	1.125e-02	1.800e-02	3.051e-03	6.031e-08	2.471e-01
2.200e+03	1.162e-02	4.297e-05	1.571e-02	1.635e-02	1.167e-02	2.331e-02	3.051e-03	6.031e-08	2.471e-01
2.300e+03	1.162e-02	4.297e-05	1.571e-02	1.624e-02	1.167e-02	2.203e-02	3.051e-03	6.031e-08	2.471e-01
2.400e+03	1.162e-02	4.297e-05	1.543e-02	1.624e-02	1.167e-02	2.203e-02	3.051e-03	6.031e-08	2.471e-01
2.500e+03	1.162e-02	4.297e-05	1.543e-02	1.589e-02	1.125e-02	1.779e-02	2.194e-04	6.031e-08	2.471e-01
2.600e+03	1.162e-02	4.297e-05	1.571e-02	1.589e-02	1.125e-02	1.779e-02	2.194e-04	6.031e-08	2.421e-01
2.700e+03	1.162e-02	4.297e-05	1.571e-02	1.589e-02	1.125e-02	1.779e-02	2.194e-04	6.031e-08	2.421e-01
2.800e+03	1.148e-02	4.297e-05	1.543e-02	1.589e-02	1.125e-02	1.787e-02	2.194e-04	6.031e-08	2.421e-01
2.900e+03	1.148e-02	4.297e-05	1.543e-02	1.590e-02	1.125e-02	1.787e-02	2.194e-04	2.637e-08	2.421e-01
3.000e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	3.051e-03	2.637e-08	2.421e-01
3.100e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	1.888e-02	6.031e-08	2.165e-01
3.200e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	1.966e-02	4.786e-07	2.421e-01
3.300e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	1.888e-02	6.031e-08	2.421e-01
3.400e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	1.888e-02	2.500e-08	2.421e-01
3.500e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	3.051e-03	1.273e-08	2.421e-01
3.600e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	1.998e-03	2.500e-08	2.421e-01
3.700e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.688e-02	1.998e-03	2.500e-08	2.421e-01
3.800e+03	1.131e-02	4.297e-05	1.543e-02	1.446e-02	1.074e-02	1.688e-02	1.998e-03	2.500e-08	2.421e-01
3.900e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.074e-02	1.688e-02	1.998e-03	2.500e-08	2.471e-01
4.000e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.074e-02	1.688e-02	1.998e-03	2.500e-08	2.471e-01
4.100e+03	1.131e-02	4.297e-05	1.556e-02	1.464e-02	1.074e-02	1.725e-02	4.748e-04	1.273e-08	2.421e-01
4.200e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.725e-02	4.748e-04	1.273e-08	2.421e-01
4.300e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	4.748e-04	1.273e-08	2.421e-01
4.400e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	4.748e-04	1.273e-08	2.421e-01
4.500e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	4.748e-04	1.273e-08	2.421e-01
4.600e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.594e-02	4.748e-04	1.273e-08	2.421e-01
4.700e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	4.748e-04	1.273e-08	2.421e-01
4.800e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	4.748e-04	1.273e-08	1.669e-01
