n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	2.953e-01	-1.225e-02	4.535e-01	4.138e-01	2.964e-01	5.024e-01	2.263e-01	1.750e-01	5.765e-01
2.000e+02	9.852e-02	-2.551e-02	4.288e-01	4.307e-01	2.626e-01	5.558e-01	2.898e-01	1.750e-01	6.265e-01
3.000e+02	9.852e-02	-2.551e-02	4.288e-01	4.419e-01	2.521e-01	5.958e-01	4.250e-01	1.750e-01	8.028e-01
4.000e+02	9.852e-02	-2.551e-02	4.288e-01	5.219e-01	3.834e-01	6.723e-01	4.250e-01	1.750e-01	8.550e-01
5.000e+02	9.852e-02	-2.551e-02	4.288e-01	5.079e-01	3.861e-01	7.013e-01	4.944e-01	2.946e-01	8.770e-01
6.000e+02	9.852e-02	-2.551e-02	4.288e-01	5.079e-01	3.567e-01	7.395e-01	4.299e-01	2.250e-01	8.770e-01
7.000e+02	9.852e-02	-2.551e-02	4.288e-01	5.298e-01	3.834e-01	7.013e-01	4.731e-01	2.697e-01	8.550e-01
8.000e+02	9.852e-02	-2.551e-02	4.288e-01	5.200e-01	3.861e-01	6.733e-01	4.866e-01	2.697e-01	7.954e-01
9.000e+02	9.852e-02	-2.551e-02	4.288e-01	5.274e-01	4.121e-01	6.723e-01	4.866e-01	2.250e-01	8.550e-01
1.000e+03	2.909e-01	-2.551e-02	4.288e-01	5.298e-01	3.772e-01	5.958e-01	4.851e-01	2.250e-01	8.550e-01
1.100e+03	2.909e-01	-2.551e-02	4.288e-01	5.298e-01	3.030e-01	5.958e-01	4.851e-01	2.250e-01	8.780e-01
1.200e+03	2.909e-01	-2.551e-02	4.288e-01	5.298e-01	3.169e-01	5.958e-01	4.851e-01	2.250e-01	8.780e-01
1.300e+03	2.909e-01	-2.551e-02	4.288e-01	5.200e-01	3.030e-01	5.958e-01	4.731e-01	2.250e-01	8.780e-01
1.400e+03	2.909e-01	-2.551e-02	4.288e-01	5.200e-01	3.038e-01	5.931e-01	4.731e-01	2.100e-01	8.550e-01
1.500e+03	2.909e-01	-2.551e-02	4.288e-01	5.404e-01	3.861e-01	6.460e-01	4.250e-01	1.695e-01	6.250e-01
1.600e+03	2.909e-01	-2.551e-02	4.288e-01	5.298e-01	3.861e-01	6.460e-01	4.731e-01	2.100e-01	8.550e-01
1.700e+03	2.909e-01	-2.551e-02	4.288e-01	5.298e-01	3.861e-01	6.154e-01	4.866e-01	2.100e-01	8.550e-01
1.800e+03	2.909e-01	-2.551e-02	4.288e-01	5.200e-01	4.121e-01	5.958e-01	4.987e-01	2.250e-01	8.385e-01
1.900e+03	2.909e-01	-2.551e-02	4.288e-01	5.404e-01	4.538e-01	6.723e-01	4.987e-01	2.250e-01	8.385e-01
2.000e+03	2.909e-01	-2.551e-02	4.288e-01	5.404e-01	4.334e-01	6.841e-01	4.866e-01	2.250e-01	8.385e-01
2.100e+03	2.953e-01	-2.551e-02	4.288e-01	5.404e-01	4.538e-01	6.841e-01	4.866e-01	2.250e-01	8.385e-01
2.200e+03	2.953e-01	-2.551e-02	4.288e-01	5.015e-01	4.121e-01	6.154e-01	4.987e-01	2.250e-01	8.550e-01
2.300e+03	2.953e-01	-2.551e-02	4.288e-01	5.015e-01	4.121e-01	6.154e-01	4.987e-01	2.250e-01	8.550e-01
2.400e+03	2.953e-01	-2.188e-02	4.288e-01	5.015e-01	4.121e-01	6.154e-01	4.866e-01	2.100e-01	8.550e-01
2.500e+03	2.953e-01	-2.188e-02	4.288e-01	4.818e-01	3.861e-01	5.931e-01	4.866e-01	2.100e-01	8.385e-01
2.600e+03	3.012e-01	-2.188e-02	4.535e-01	4.818e-01	3.861e-01	5.931e-01	5.250e-01	2.100e-01	8.055e-01
2.700e+03	3.012e-01	-2.188e-02	4.535e-01	4.818e-01	3.861e-01	5.931e-01	5.250e-01	2.100e-01	8.055e-01
2.800e+03	3.170e-01	-2.188e-02	5.082e-01	4.740e-01	3.861e-01	5.931e-01	4.866e-01	2.100e-01	7.142e-01
2.900e+03	3.170e-01	-2.188e-02	5.082e-01	4.740e-01	3.861e-01	5.818e-01	3.739e-01	1.750e-01	6.951e-01
3.000e+03	3.170e-01	-2.188e-02	5.082e-01	4.601e-01	3.548e-01	5.706e-01	3.695e-01	1.695e-01	6.265e-01
3.100e+03	3.170e-01	-2.188e-02	5.082e-01	4.334e-01	3.323e-01	5.706e-01	3.546e-01	1.634e-01	5.946e-01
3.200e+03	3.170e-01	-2.188e-02	5.082e-01	4.601e-01	3.426e-01	5.741e-01	2.867e-01	1.563e-01	6.267e-01
3.300e+03	3.170e-01	-2.188e-02	5.082e-01	4.509e-01	3.426e-01	5.706e-01	2.867e-01	1.563e-01	5.946e-01
3.400e+03	3.170e-01	-2.188e-02	5.082e-01	4.509e-01	3.426e-01	5.706e-01	2.978e-01	1.634e-01	5.753e-01
3.500e+03	3.170e-01	-2.188e-02	5.082e-01	4.509e-01	3.426e-01	5.706e-01	2.867e-01	1.634e-01	5.750e-01
3.600e+03	3.170e-01	-1.225e-02	5.082e-01	4.509e-01	3.426e-01	5.706e-01	2.978e-01	1.634e-01	5.753e-01
3.700e+03	3.170e-01	-1.225e-02	5.082e-01	4.509e-01	3.426e-01	5.404e-01	2.978e-01	1.634e-01	5.753e-01
3.800e+03	3.170e-01	-1.225e-02	5.082e-01	4.334e-01	3.323e-01	4.874e-01	2.978e-01	1.634e-01	5.753e-01
3.900e+03	3.108e-01	-1.225e-02	5.082e-01	4.334e-01	3.323e-01	4.874e-01	3.664e-01	1.634e-01	5.753e-01
4.000e+03	3.108e-01	-1.225e-02	5.082e-01	4.334e-01	3.323e-01	4.874e-01	3.664e-01	1.634e-01	5.753e-01
4.100e+03	3.108e-01	-1.225e-02	5.082e-01	4.334e-01	3.323e-01	4.740e-01	3.546e-01	1.563e-01	5.750e-01
4.200e+03	3.108e-01	-1.225e-02	5.082e-01	4.334e-01	3.323e-01	4.740e-01	3.546e-01	1.563e-01	5.750e-01
4.300e+03	3.108e-01	-1.225e-02	5.082e-01	4.509e-01	3.038e-01	4.874e-01	3.546e-01	1.563e-01	5.750e-01
4.400e+03	3.108e-01	-1.225e-02	5.082e-01	4.509e-01	3.038e-01	4.874e-01	3.546e-01	1.563e-01	5.750e-01
4.500e+03	3.108e-01	-1.225e-02	5.082e-01	4.228e-01	3.038e-01	4.874e-01	3.664e-01	1.695e-01	5.745e-01
4.600e+03	3.099e-01	-1.225e-02	4.535e-01	4.228e-01	3.038e-01	4.970e-01	3.664e-01	1.695e-01	5.745e-01
4.700e+03	3.099e-01	-1.225e-02	4.535e-01	4.228e-01	3.038e-01	4.874e-01	3.664e-01	1.695e-01	5.745e-01
4.800e+03	3.099e-01	-1.225e-02	4.535e-01	4.228e-01	3.038e-01	4.874e-01	3.546e-01	1.563e-01	5.753e-01
4.900e+03	3.099e-01	-1.225e-02	4.535e-01	4.228e-01	3.038e-01	4.874e-01	3.546e-01	1.563e-01	5.946e-01
5.000e+03	3.099e-01	-1.225e-02	4.535e-01	4.228e-01	3.038e-01	4.874e-01	3.546e-01	1.563e-01	5.946e-01
5.100e+03	3.099e-01	-1.225e-02	4.535e-01	4.147e-01	3.038e-01	4.874e-01	3.546e-01	1.563e-01	5.946e-01
5.200e+03	3.099e-01	-1.225e-02	4.535e-01	4.147e-01	3.038e-01	4.874e-01	3.546e-01	1.563e-01	5.946e-01
5.300e+03	3.099e-01	-1.225e-02	4.535e-01	4.147e-01	3.038e-01	4.874e-01	3.695e-01	1.634e-01	6.250e-01
5.400e+03	3.099e-01	-1.225e-02	4.535e-01	4.147e-01	3.038e-01	4.874e-01	3.695e-01	1.634e-01	6.250e-01
5.500e+03	3.099e-01	-1.225e-02	4.535e-01	3.987e-01	2.951e-01	4.735e-01	3.695e-01	1.634e-01	6.250e-01
5.600e+03	3.099e-01	-1.225e-02	4.535e-01	3.987e-01	2.951e-01	4.735e-01	4.825e-01	1.695e-01	6.642e-01
5.700e+03	3.099e-01	-1.225e-02	4.535e-01	3.987e-01	2.951e-01	4.735e-01	3.695e-01	1.695e-01	6.642e-01
5.800e+03	3.099e-01	-1.225e-02	4.535e-01	3.960e-01	2.923e-01	4.735e-01	3.546e-01	1.695e-01	6.250e-01
