problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
mopm;me-hebbian-network;12;[2];250;25000;25000;4.29580e+01;7;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.46154e-01;2.49583e-01;0.00000e+00
mopm;me-hebbian-network;7;[2];250;25000;25000;4.29990e+01;8;3;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.46154e-01;3.00740e-01;0.00000e+00
mopm;me-hebbian-network;27;[2];250;25000;25000;4.29400e+01;8;1;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.43380e-01;0.00000e+00
mopm;me-hebbian-network;25;[2];250;25000;25000;4.29700e+01;8;1;5;1.00000e+00;1.00000e+00;1.00000e+00;4;4.46154e-01;2.83141e-01;0.00000e+00
mopm;me-hebbian-network;10;[2];250;25000;25000;4.29420e+01;7;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.93655e-01;0.00000e+00
mopm;me-hebbian-network;29;[2];250;25000;25000;4.30270e+01;7;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.48335e-01;0.00000e+00
mopm;me-hebbian-network;17;[2];250;25000;25000;4.30320e+01;5;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.76859e-01;0.00000e+00
mopm;me-hebbian-network;19;[2];250;25000;25000;4.30310e+01;7;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.72860e-01;0.00000e+00
mopm;me-hebbian-network;24;[2];250;25000;25000;4.30400e+01;8;3;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.46154e-01;1.99590e-01;0.00000e+00
mopm;me-hebbian-network;14;[2];250;25000;25000;4.30460e+01;8;1;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.96373e-01;0.00000e+00
mopm;me-hebbian-network;21;[2];250;25000;25000;4.30640e+01;7;4;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.25641e-01;3.19725e-01;0.00000e+00
mopm;me-hebbian-network;16;[2];250;25000;25000;4.31540e+01;8;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.63347e-01;0.00000e+00
mopm;me-hebbian-network;26;[2];250;25000;25000;4.30580e+01;7;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.70666e-01;0.00000e+00
mopm;me-hebbian-network;9;[2];250;25000;25000;4.30750e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.49464e-01;0.00000e+00
mopm;me-hebbian-network;6;[2];250;25000;25000;4.31600e+01;8;2;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.46154e-01;2.86828e-01;0.00000e+00
mopm;me-hebbian-network;11;[2];250;25000;25000;4.30750e+01;8;1;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.62718e-01;0.00000e+00
mopm;me-hebbian-network;15;[2];250;25000;25000;4.30780e+01;8;4;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.25641e-01;2.46836e-01;0.00000e+00
mopm;me-hebbian-network;13;[2];250;25000;25000;4.30880e+01;8;2;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.46154e-01;3.14339e-01;0.00000e+00
mopm;me-hebbian-network;3;[2];250;25000;25000;4.30920e+01;8;2;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;3.36586e-01;0.00000e+00
mopm;me-hebbian-network;23;[2];250;25000;25000;4.31660e+01;8;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.84959e-01;0.00000e+00
mopm;me-hebbian-network;28;[2];250;25000;25000;4.31020e+01;7;2;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.35897e-01;2.50211e-01;0.00000e+00
mopm;me-hebbian-network;22;[2];250;25000;25000;4.31030e+01;7;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.19126e-01;0.00000e+00
mopm;me-hebbian-network;2;[2];250;25000;25000;4.31260e+01;7;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.93320e-01;0.00000e+00
mopm;me-hebbian-network;5;[2];250;25000;25000;4.31380e+01;8;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.40134e-01;0.00000e+00
mopm;me-hebbian-network;8;[2];250;25000;25000;4.31390e+01;8;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.46154e-01;3.32892e-01;0.00000e+00
mopm;me-hebbian-network;30;[2];250;25000;25000;4.31430e+01;7;2;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.46154e-01;2.74820e-01;0.00000e+00
mopm;me-hebbian-network;1;[2];250;25000;25000;4.31410e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.89877e-01;0.00000e+00
mopm;me-hebbian-network;4;[2];250;25000;25000;4.31610e+01;7;1;4;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.87617e-01;0.00000e+00
mopm;me-hebbian-network;18;[2];250;25000;25000;4.31790e+01;7;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;3.04776e-01;0.00000e+00
mopm;me-hebbian-network;20;[2];250;25000;25000;4.31810e+01;7;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.56410e-01;2.88711e-01;0.00000e+00
mopm;me-hebbian-synapse;5;[2];250;25000;25000;4.18520e+01;3;1;2;1.00000e+00;1.00000e+00;1.00000e+00;128;4.51282e-01;1.69282e-01;0.00000e+00
mopm;me-hebbian-synapse;25;[2];250;25000;25000;4.19520e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;128;5.79487e-01;2.96753e-01;0.00000e+00
mopm;me-hebbian-synapse;3;[2];250;25000;25000;4.19890e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;128;6.00000e-01;2.86702e-01;0.00000e+00
mopm;me-hebbian-synapse;9;[2];250;25000;25000;4.19830e+01;3;2;1;1.00000e+00;1.00000e+00;1.00000e+00;128;5.48718e-01;1.86482e-01;0.00000e+00
mopm;me-hebbian-synapse;12;[2];250;25000;25000;4.19940e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;128;5.28205e-01;1.71332e-01;0.00000e+00
mopm;me-hebbian-synapse;13;[2];250;25000;25000;4.20100e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;128;5.74359e-01;3.21964e-01;0.00000e+00
mopm;me-hebbian-synapse;6;[2];250;25000;25000;4.20220e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;128;5.79487e-01;1.98012e-01;0.00000e+00
mopm;me-hebbian-synapse;10;[2];250;25000;25000;4.20160e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;128;5.79487e-01;1.27667e-01;0.00000e+00
mopm;me-hebbian-synapse;2;[2];250;25000;25000;4.20530e+01;4;3;1;1.00000e+00;1.00000e+00;1.00000e+00;128;5.17949e-01;6.41507e-02;0.00000e+00
mopm;me-hebbian-synapse;21;[2];250;25000;25000;4.20420e+01;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;128;5.74359e-01;1.51861e-01;0.00000e+00
