n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
1.000e+02	2.911e-01	1.946e-01	3.320e-01	1.661e-01	1.390e-01	2.071e-01	1.562e-02	5.312e-03	5.753e-02
2.000e+02	2.669e-01	1.997e-01	3.163e-01	1.952e-01	1.685e-01	2.239e-01	1.562e-02	7.812e-03	7.031e-02
3.000e+02	2.796e-01	2.336e-01	3.040e-01	1.893e-01	1.572e-01	2.144e-01	1.562e-02	7.812e-03	8.288e-02
4.000e+02	2.796e-01	2.434e-01	3.163e-01	1.902e-01	1.550e-01	2.256e-01	1.883e-02	7.831e-03	8.288e-02
5.000e+02	2.890e-01	2.468e-01	3.172e-01	1.992e-01	1.576e-01	2.439e-01	1.883e-02	7.851e-03	9.817e-02
6.000e+02	2.775e-01	2.377e-01	3.163e-01	2.004e-01	1.724e-01	2.547e-01	3.412e-02	7.851e-03	1.045e-01
7.000e+02	2.775e-01	2.377e-01	3.126e-01	1.955e-01	1.785e-01	2.417e-01	3.412e-02	7.851e-03	1.542e-01
8.000e+02	2.796e-01	2.377e-01	3.126e-01	2.109e-01	1.840e-01	2.415e-01	3.412e-02	7.851e-03	1.542e-01
9.000e+02	2.739e-01	2.377e-01	3.035e-01	2.064e-01	1.839e-01	2.305e-01	3.082e-02	7.851e-03	1.542e-01
1.000e+03	2.739e-01	2.377e-01	3.003e-01	2.131e-01	1.893e-01	2.282e-01	3.419e-02	7.851e-03	2.404e-01
1.100e+03	2.620e-01	2.377e-01	3.035e-01	2.081e-01	1.893e-01	2.555e-01	3.419e-02	7.851e-03	2.404e-01
1.200e+03	2.762e-01	2.385e-01	3.164e-01	2.109e-01	1.913e-01	2.334e-01	8.661e-02	8.229e-03	2.404e-01
1.300e+03	2.762e-01	2.385e-01	3.164e-01	2.035e-01	1.863e-01	2.280e-01	9.045e-02	9.033e-03	2.315e-01
1.400e+03	2.796e-01	2.385e-01	3.164e-01	2.064e-01	1.826e-01	2.333e-01	9.045e-02	8.757e-03	2.526e-01
1.500e+03	2.796e-01	2.385e-01	3.164e-01	2.064e-01	1.650e-01	2.365e-01	9.045e-02	9.281e-03	1.865e-01
1.600e+03	2.796e-01	2.468e-01	3.172e-01	2.216e-01	1.693e-01	2.444e-01	9.045e-02	9.281e-03	2.573e-01
1.700e+03	2.883e-01	2.468e-01	3.164e-01	2.174e-01	1.650e-01	2.444e-01	9.045e-02	9.681e-03	2.526e-01
