problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
mopm;me-hebbian-network;7;[2];250;25000;25000;2.08560e+01;4;4;4;1.00000e+00;1.00000e+00;1.00000e+00;4;3.75000e-01;2.72810e-01;0.00000e+00
mopm;me-hebbian-network;21;[2];250;25000;25000;2.09020e+01;3;3;3;1.00000e+00;1.00000e+00;1.00000e+00;4;2.50000e-01;2.47876e-01;0.00000e+00
mopm;me-hebbian-network;17;[2];250;25000;25000;2.08600e+01;4;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.37500e-01;2.61924e-02;0.00000e+00
mopm;me-hebbian-network;30;[2];250;25000;25000;2.08540e+01;3;3;3;1.00000e+00;1.00000e+00;1.00000e+00;4;2.50000e-01;1.61162e-01;0.00000e+00
mopm;me-hebbian-network;19;[2];250;25000;25000;2.08770e+01;4;3;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.37500e-01;6.02103e-02;0.00000e+00
mopm;me-hebbian-network;16;[2];250;25000;25000;2.08770e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.37500e-01;2.00808e-01;0.00000e+00
mopm;me-hebbian-network;11;[2];250;25000;25000;2.09010e+01;4;4;4;1.00000e+00;1.00000e+00;1.00000e+00;4;3.75000e-01;6.29437e-02;0.00000e+00
mopm;me-hebbian-network;4;[2];250;25000;25000;2.08670e+01;5;5;5;1.00000e+00;1.00000e+00;1.00000e+00;4;2.50000e-01;2.51095e-01;0.00000e+00
mopm;me-hebbian-network;3;[2];250;25000;25000;2.09110e+01;4;4;4;1.00000e+00;1.00000e+00;1.00000e+00;4;3.75000e-01;9.85290e-02;0.00000e+00
mopm;me-hebbian-network;9;[2];250;25000;25000;2.09190e+01;4;4;4;1.00000e+00;1.00000e+00;1.00000e+00;4;3.75000e-01;2.52105e-01;0.00000e+00
mopm;me-hebbian-network;8;[2];250;25000;25000;2.09070e+01;3;3;3;1.00000e+00;1.00000e+00;1.00000e+00;4;2.50000e-01;2.40287e-01;0.00000e+00
mopm;me-hebbian-network;15;[2];250;25000;25000;2.09170e+01;3;3;3;1.00000e+00;1.00000e+00;1.00000e+00;4;2.50000e-01;-1.80943e-02;0.00000e+00
mopm;me-hebbian-network;24;[2];250;25000;25000;2.09170e+01;5;5;5;1.00000e+00;1.00000e+00;1.00000e+00;4;3.75000e-01;-1.21895e-03;0.00000e+00
mopm;me-hebbian-network;26;[2];250;25000;25000;2.09240e+01;3;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;3.12500e-01;1.01835e-01;0.00000e+00
mopm;me-hebbian-network;6;[2];250;25000;25000;2.09270e+01;3;3;3;1.00000e+00;1.00000e+00;1.00000e+00;4;2.50000e-01;1.33178e-02;0.00000e+00
mopm;me-hebbian-network;22;[2];250;25000;25000;2.09440e+01;5;5;5;1.00000e+00;1.00000e+00;1.00000e+00;4;3.75000e-01;2.20886e-01;0.00000e+00
mopm;me-hebbian-network;12;[2];250;25000;25000;2.09460e+01;5;2;3;1.00000e+00;1.00000e+00;1.00000e+00;4;3.12500e-01;8.60386e-02;0.00000e+00
mopm;me-hebbian-network;10;[2];250;25000;25000;2.09570e+01;3;3;3;1.00000e+00;1.00000e+00;1.00000e+00;4;2.50000e-01;4.74426e-02;0.00000e+00
mopm;me-hebbian-network;14;[2];250;25000;25000;2.09550e+01;4;2;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.37500e-01;2.04168e-01;0.00000e+00
mopm;me-hebbian-network;2;[2];250;25000;25000;2.09560e+01;3;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;3.12500e-01;6.49142e-02;0.00000e+00
mopm;me-hebbian-network;29;[2];250;25000;25000;2.09650e+01;5;5;5;1.00000e+00;1.00000e+00;1.00000e+00;4;3.75000e-01;7.36129e-02;0.00000e+00
