n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
1.000e+02	6.840e-02	-8.097e-04	2.471e-01	2.401e-01	1.714e-01	3.067e-01	1.676e-02	-9.308e-03	2.041e-01
2.000e+02	6.840e-02	-8.097e-04	2.471e-01	3.055e-01	2.325e-01	3.463e-01	1.336e-01	4.696e-02	3.651e-01
3.000e+02	4.908e-02	-8.097e-04	2.471e-01	3.113e-01	2.809e-01	3.587e-01	1.719e-01	4.696e-02	3.335e-01
4.000e+02	4.908e-02	-8.097e-04	2.471e-01	3.477e-01	2.850e-01	3.647e-01	1.337e-01	5.770e-02	3.535e-01
5.000e+02	4.908e-02	-8.097e-04	2.441e-01	2.854e-01	2.618e-01	3.587e-01	1.234e-01	4.696e-02	3.330e-01
6.000e+02	6.840e-02	-8.097e-04	2.471e-01	2.760e-01	2.312e-01	3.521e-01	1.719e-01	6.264e-02	3.787e-01
7.000e+02	8.942e-02	-5.979e-04	2.471e-01	2.660e-01	2.125e-01	3.361e-01	1.299e-01	3.961e-02	3.953e-01
8.000e+02	8.942e-02	-5.979e-04	2.471e-01	2.660e-01	1.997e-01	3.361e-01	1.094e-01	3.961e-02	2.656e-01
9.000e+02	8.942e-02	-5.979e-04	2.471e-01	2.760e-01	1.997e-01	3.477e-01	1.299e-01	4.509e-02	2.968e-01
1.000e+03	8.942e-02	-5.979e-04	2.471e-01	2.760e-01	1.997e-01	3.477e-01	1.234e-01	4.509e-02	2.968e-01
1.100e+03	8.942e-02	-5.979e-04	2.471e-01	2.618e-01	1.971e-01	3.587e-01	1.234e-01	4.509e-02	3.281e-01
1.200e+03	8.942e-02	-5.979e-04	2.471e-01	2.618e-01	1.971e-01	2.995e-01	1.299e-01	4.509e-02	3.281e-01
1.300e+03	8.942e-02	-5.979e-04	2.441e-01	2.618e-01	1.941e-01	2.995e-01	1.619e-01	6.264e-02	3.281e-01
1.400e+03	1.290e-01	-5.979e-04	2.471e-01	2.660e-01	1.971e-01	3.179e-01	1.619e-01	4.509e-02	3.057e-01
1.500e+03	1.612e-01	1.332e-02	2.471e-01	2.660e-01	1.941e-01	3.179e-01	1.619e-01	4.509e-02	3.057e-01
1.600e+03	1.612e-01	1.332e-02	2.471e-01	2.660e-01	1.941e-01	3.179e-01	1.725e-01	7.505e-02	2.775e-01
1.700e+03	1.290e-01	1.332e-02	2.441e-01	2.479e-01	1.941e-01	2.995e-01	2.312e-01	7.585e-02	3.057e-01
1.800e+03	1.290e-01	1.332e-02	2.441e-01	2.479e-01	1.941e-01	3.179e-01	1.725e-01	7.505e-02	2.775e-01
1.900e+03	1.612e-01	1.332e-02	2.471e-01	2.479e-01	1.906e-01	3.216e-01	1.725e-01	7.505e-02	2.775e-01
2.000e+03	1.612e-01	1.332e-02	2.471e-01	2.660e-01	1.971e-01	3.428e-01	2.330e-01	7.505e-02	3.057e-01
2.100e+03	1.290e-01	3.515e-02	2.441e-01	2.760e-01	1.989e-01	3.789e-01	2.330e-01	7.505e-02	3.953e-01
2.200e+03	1.290e-01	3.515e-02	2.441e-01	3.179e-01	1.997e-01	3.789e-01	2.330e-01	7.585e-02	3.864e-01
