problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;me-hebbian-network;23;[2];250;25000;25000;9.50000e+00;42;29;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.03091e-02;2.07945e-02
xor;me-hebbian-network;17;[2];250;25000;25000;9.49400e+00;46;2;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.91020e-01;3.33503e-02
xor;me-hebbian-network;21;[2];250;25000;25000;9.50200e+00;39;25;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.39044e-01;2.62871e-03
xor;me-hebbian-network;13;[2];250;25000;25000;9.52300e+00;51;34;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.14725e-01;1.41077e-02
xor;me-hebbian-network;8;[2];250;25000;25000;9.49100e+00;47;33;4;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;3.03277e-01;1.43218e-02
xor;me-hebbian-network;29;[2];250;25000;25000;9.49300e+00;44;30;4;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.91905e-01;1.01100e-07
xor;me-hebbian-network;18;[2];250;25000;25000;9.49600e+00;41;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;2.26082e-01;1.08386e-02
xor;me-hebbian-network;28;[2];250;25000;25000;9.49900e+00;52;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;2.29433e-01;1.29803e-02
xor;me-hebbian-network;22;[2];250;25000;25000;9.49700e+00;44;30;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.28939e-01;1.33315e-02
xor;me-hebbian-network;4;[2];250;25000;25000;9.49600e+00;43;31;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.24519e-01;2.02843e-06
xor;me-hebbian-network;3;[2];250;25000;25000;9.49200e+00;49;30;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.13658e-02;1.94776e-02
xor;me-hebbian-network;26;[2];250;25000;25000;9.50500e+00;44;31;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;2.08886e-02;1.59809e-02
xor;me-hebbian-network;6;[2];250;25000;25000;9.50400e+00;44;30;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.84024e-01;1.96585e-08
xor;me-hebbian-network;14;[2];250;25000;25000;9.50300e+00;48;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;2.35265e-01;1.04211e-02
xor;me-hebbian-network;2;[2];250;25000;25000;9.50100e+00;48;29;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.30009e-01;1.32537e-06
xor;me-hebbian-network;19;[2];250;25000;25000;9.50700e+00;40;26;4;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.69973e-01;1.74179e-03
xor;me-hebbian-network;10;[2];250;25000;25000;9.50800e+00;41;27;2;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.93862e-02;2.22661e-02
xor;me-hebbian-network;24;[2];250;25000;25000;9.50900e+00;51;3;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.83558e-01;1.22536e-02
xor;me-hebbian-network;9;[2];250;25000;25000;9.51100e+00;51;3;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.91741e-01;9.04284e-03
xor;me-hebbian-network;16;[2];250;25000;25000;9.51200e+00;39;28;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.76995e-01;1.89528e-06
xor;me-hebbian-network;27;[2];250;25000;25000;9.51400e+00;42;30;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.42208e-02;9.93768e-03
xor;me-hebbian-network;1;[2];250;25000;25000;9.51400e+00;46;28;4;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;3.98396e-03;1.57971e-02
xor;me-hebbian-network;5;[2];250;25000;25000;9.51000e+00;51;5;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.50000e-01;1.80929e-01;2.95766e-02
xor;me-hebbian-network;12;[2];250;25000;25000;9.51500e+00;47;28;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;1.24071e-01;1.62537e-02
xor;me-hebbian-network;15;[2];250;25000;25000;9.51700e+00;44;31;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.88362e-01;3.13999e-07
xor;me-hebbian-network;11;[2];250;25000;25000;9.51800e+00;49;29;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.76158e-01;6.35375e-08
xor;me-hebbian-network;25;[2];250;25000;25000;9.51900e+00;49;31;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.81837e-01;8.01297e-06
xor;me-hebbian-network;30;[2];250;25000;25000;9.52000e+00;49;29;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;-4.18974e-02;1.65889e-02
xor;me-hebbian-network;20;[2];250;25000;25000;9.52100e+00;41;25;1;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;4.89112e-01;9.30577e-06
xor;me-hebbian-network;7;[2];250;25000;25000;9.52300e+00;48;28;3;1.00000e+00;1.00000e+00;1.00000e+00;4;7.00000e-01;5.25880e-01;9.52026e-05
xor;me-hebbian-synapse;1;[2];250;25000;25000;8.50800e+00;97;68;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.56213e-01;1.91925e-02
xor;me-hebbian-synapse;2;[2];250;25000;25000;8.55100e+00;99;54;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.05365e-01;1.51415e-02
xor;me-hebbian-synapse;3;[2];250;25000;25000;9.16000e+00;100;66;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.90639e-01;1.29408e-02
xor;me-hebbian-synapse;4;[2];250;25000;25000;9.16300e+00;90;71;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;-5.00541e-02;1.21265e-02
xor;me-hebbian-synapse;5;[2];250;25000;25000;9.97500e+00;100;65;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.40599e-02;4.51959e-03
xor;me-hebbian-synapse;6;[2];250;25000;25000;1.03640e+01;94;75;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.71020e-02;9.96348e-03
xor;me-hebbian-synapse;8;[2];250;25000;25000;1.05070e+01;98;61;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.84761e-01;3.05655e-02
xor;me-hebbian-synapse;9;[2];250;25000;25000;1.03830e+01;98;74;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.03986e-01;1.52887e-02
xor;me-hebbian-synapse;7;[2];250;25000;25000;1.08190e+01;98;82;6;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;6.70459e-02;1.17614e-02
xor;me-hebbian-synapse;13;[2];250;25000;25000;1.13900e+01;100;67;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.28984e-01;1.16246e-02
xor;me-hebbian-synapse;15;[2];250;25000;25000;1.15220e+01;98;72;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.55469e-01;1.09955e-02
xor;me-hebbian-synapse;11;[2];250;25000;25000;1.15510e+01;94;68;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;-1.81152e-02;5.03937e-03
xor;me-hebbian-synapse;10;[2];250;25000;25000;1.15550e+01;95;74;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;-9.62138e-03;8.19826e-03
xor;me-hebbian-synapse;14;[2];250;25000;25000;1.23860e+01;99;73;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.23047e-02;1.43744e-02
xor;me-hebbian-synapse;12;[2];250;25000;25000;1.24110e+01;96;81;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.44426e-02;1.23131e-02
xor;me-hebbian-synapse;16;[2];250;25000;25000;1.25310e+01;97;66;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.72530e-02;3.07424e-02
xor;me-hebbian-synapse;17;[2];250;25000;25000;1.26740e+01;96;72;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.58309e-01;1.47868e-02
xor;me-hebbian-synapse;27;[2];250;25000;25000;1.36670e+01;94;75;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.59367e-02;2.48912e-03
xor;me-hebbian-synapse;19;[2];250;25000;25000;1.38420e+01;97;77;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.25541e-02;1.66478e-02
xor;me-hebbian-synapse;21;[2];250;25000;25000;1.43890e+01;96;57;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.38579e-01;1.65726e-02
xor;me-hebbian-synapse;18;[2];250;25000;25000;1.44120e+01;94;77;3;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.45848e-02;1.41937e-02
xor;me-hebbian-synapse;26;[2];250;25000;25000;1.54700e+01;99;64;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.44846e-03;4.81950e-03
xor;me-hebbian-synapse;23;[2];250;25000;25000;1.59060e+01;96;73;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.33329e-02;1.57468e-02
xor;me-hebbian-synapse;25;[2];250;25000;25000;1.59140e+01;99;43;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.23589e-01;1.95231e-02
xor;me-hebbian-synapse;24;[2];250;25000;25000;1.62030e+01;97;61;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.82340e-01;1.75330e-02
xor;me-hebbian-synapse;22;[2];250;25000;25000;1.63410e+01;99;56;7;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.27223e-01;1.72924e-02
xor;me-hebbian-synapse;20;[2];250;25000;25000;1.70500e+01;96;69;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;7.57725e-02;1.05337e-02
xor;me-hebbian-synapse;29;[2];250;25000;25000;1.70050e+01;100;75;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.51692e-01;1.49362e-02
xor;me-hebbian-synapse;30;[2];250;25000;25000;1.87590e+01;99;79;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.13990e-02;7.82332e-03
xor;me-hebbian-synapse;28;[2];250;25000;25000;1.93430e+01;97;74;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.76864e-01;1.33094e-02
xor;me-freeForm;2;[2];250;25000;25000;1.60822e+03;100;54;12;1.00000e+00;1.00000e+00;1.00000e+00;31;1.00000e+00;3.52622e-01;5.16310e-08
xor;me-freeForm;1;[2];250;25000;25000;1.60846e+03;100;92;5;1.00000e+00;1.00000e+00;1.00000e+00;87;1.00000e+00;1.77841e-01;3.71647e-10
xor;me-freeForm;3;[2];250;25000;25000;1.62026e+03;99;74;1;1.00000e+00;1.00000e+00;1.00000e+00;65;1.00000e+00;1.00055e-01;1.49275e-05
xor;me-freeForm;4;[2];250;25000;25000;1.62064e+03;100;1;40;1.00000e+00;1.00000e+00;1.00000e+00;78;9.50000e-01;5.21869e-01;2.36766e-01
xor;me-freeForm;5;[2];250;25000;25000;1.62754e+03;98;7;1;1.00000e+00;1.00000e+00;1.00000e+00;94;1.00000e+00;1.08474e+00;1.65360e-01
xor;me-freeForm;6;[2];250;25000;25000;1.63309e+03;100;54;20;1.00000e+00;1.00000e+00;1.00000e+00;72;1.00000e+00;1.95297e-01;5.55112e-17
xor;me-freeForm;7;[2];250;25000;25000;1.63520e+03;100;57;12;1.00000e+00;1.00000e+00;1.00000e+00;267;1.00000e+00;3.03146e-01;2.61454e-01
xor;me-freeForm;8;[2];250;25000;25000;1.63567e+03;99;32;1;1.00000e+00;1.00000e+00;1.00000e+00;248;1.00000e+00;6.32189e-01;5.30991e-13
xor;me-freeForm;9;[2];250;25000;25000;1.63683e+03;100;80;10;1.00000e+00;1.00000e+00;1.00000e+00;97;1.00000e+00;1.88295e-01;1.08085e-04
xor;me-freeForm;13;[2];250;25000;25000;1.64011e+03;100;29;42;1.00000e+00;1.00000e+00;1.00000e+00;88;1.00000e+00;5.22019e-01;9.46243e-08
xor;me-freeForm;10;[2];250;25000;25000;1.64068e+03;100;66;9;1.00000e+00;1.00000e+00;1.00000e+00;106;1.00000e+00;2.80132e-01;2.67808e-05
xor;me-freeForm;12;[2];250;25000;25000;1.64074e+03;100;15;2;1.00000e+00;1.00000e+00;1.00000e+00;13;1.00000e+00;1.25000e-01;5.55112e-17
xor;me-freeForm;14;[2];250;25000;25000;1.64172e+03;100;11;32;1.00000e+00;1.00000e+00;1.00000e+00;106;1.00000e+00;2.31697e-01;3.24115e-10
xor;me-freeForm;15;[2];250;25000;25000;1.64196e+03;97;21;48;1.00000e+00;1.00000e+00;1.00000e+00;53;1.00000e+00;5.15992e-01;7.75571e-04
xor;me-freeForm;11;[2];250;25000;25000;1.64393e+03;100;79;8;1.00000e+00;1.00000e+00;1.00000e+00;901;1.00000e+00;6.18788e-01;1.44458e-07
