n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	4.390e-01	4.939e-02	4.884e-01	4.268e-01	2.386e-01	4.894e-01	1.349e-01	1.250e-01	2.197e-01
2.000e+02	2.353e-01	2.089e-02	4.818e-01	3.913e-01	2.258e-01	5.119e-01	1.869e-01	1.250e-01	4.540e-01
3.000e+02	2.353e-01	2.089e-02	4.818e-01	4.781e-01	2.615e-01	8.046e-01	2.197e-01	1.546e-01	5.127e-01
4.000e+02	2.353e-01	2.089e-02	4.818e-01	6.816e-01	3.181e-01	8.224e-01	1.869e-01	1.349e-01	5.127e-01
5.000e+02	2.353e-01	2.089e-02	4.818e-01	6.816e-01	3.602e-01	8.523e-01	2.476e-01	1.751e-01	6.322e-01
6.000e+02	2.353e-01	2.089e-02	4.818e-01	6.702e-01	3.913e-01	8.523e-01	2.476e-01	1.766e-01	6.322e-01
7.000e+02	2.353e-01	2.089e-02	4.818e-01	6.702e-01	5.072e-01	8.167e-01	2.978e-01	1.778e-01	6.322e-01
8.000e+02	2.353e-01	2.089e-02	4.818e-01	6.589e-01	4.807e-01	8.167e-01	2.978e-01	1.789e-01	6.723e-01
9.000e+02	2.353e-01	2.089e-02	4.818e-01	5.960e-01	4.386e-01	7.642e-01	3.923e-01	1.789e-01	6.132e-01
1.000e+03	2.353e-01	2.089e-02	4.818e-01	5.960e-01	4.386e-01	7.642e-01	3.923e-01	1.789e-01	5.414e-01
1.100e+03	2.353e-01	2.089e-02	4.818e-01	5.809e-01	3.913e-01	6.589e-01	3.950e-01	1.869e-01	6.132e-01
1.200e+03	2.353e-01	2.089e-02	4.818e-01	5.627e-01	3.913e-01	6.095e-01	3.954e-01	1.869e-01	6.579e-01
