problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;me-hebbian-network;18;[8];250;25000;25000;2.32580e+01;60;11;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.77623e-01;4.87752e-02
xor;me-hebbian-network;10;[8];250;25000;25000;2.34210e+01;70;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;2.86914e-01;7.46144e-02
xor;me-hebbian-network;3;[8];250;25000;25000;2.34600e+01;60;8;3;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.69089e-01;5.04171e-02
xor;me-hebbian-network;29;[8];250;25000;25000;2.34780e+01;79;5;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;2.59120e-01;5.29622e-02
xor;me-hebbian-network;26;[8];250;25000;25000;2.34830e+01;55;3;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;2.83539e-01;1.23089e-01
xor;me-hebbian-network;7;[8];250;25000;25000;2.35010e+01;60;11;3;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.86698e-01;5.47852e-02
xor;me-hebbian-network;12;[8];250;25000;25000;2.35280e+01;55;11;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;3.02382e-01;1.03467e-01
xor;me-hebbian-network;27;[8];250;25000;25000;2.35400e+01;60;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.88278e-01;1.35790e-01
xor;me-hebbian-network;5;[8];250;25000;25000;2.35480e+01;53;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;2.79707e-01;1.22138e-01
xor;me-hebbian-network;28;[8];250;25000;25000;2.35830e+01;80;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;3.33345e-01;1.94154e-01
xor;me-hebbian-network;4;[8];250;25000;25000;2.35860e+01;53;2;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;3.05301e-01;1.58586e-01
xor;me-hebbian-network;24;[8];250;25000;25000;2.35970e+01;82;13;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.65082e-01;6.20097e-02
xor;me-hebbian-network;30;[8];250;25000;25000;2.35860e+01;81;12;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.78019e-01;5.74766e-02
xor;me-hebbian-network;8;[8];250;25000;25000;2.36030e+01;80;8;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;3.00112e-01;9.94678e-02
xor;me-hebbian-network;11;[8];250;25000;25000;2.35850e+01;53;12;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.68542e-01;4.82254e-02
xor;me-hebbian-network;20;[8];250;25000;25000;2.36070e+01;80;2;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.84091e-01;1.21581e-01
xor;me-hebbian-network;23;[8];250;25000;25000;2.36090e+01;80;5;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;3.01758e-01;1.65030e-01
xor;me-hebbian-network;14;[8];250;25000;25000;2.36130e+01;60;10;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.73482e-01;4.66057e-02
xor;me-hebbian-network;22;[8];250;25000;25000;2.36250e+01;81;5;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.66725e-01;4.57883e-02
xor;me-hebbian-network;1;[8];250;25000;25000;2.36360e+01;60;16;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.50000e-01;2.78787e-01;5.11541e-02
xor;me-hebbian-network;13;[8];250;25000;25000;2.36450e+01;89;9;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.77542e-01;8.20279e-02
xor;me-hebbian-network;25;[8];250;25000;25000;2.36420e+01;60;14;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.72247e-01;3.55116e-02
xor;me-hebbian-network;6;[8];250;25000;25000;2.36490e+01;80;13;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.90435e-01;9.03696e-02
xor;me-hebbian-network;17;[8];250;25000;25000;2.36560e+01;53;7;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.71273e-01;9.39749e-02
xor;me-hebbian-network;19;[8];250;25000;25000;2.36580e+01;79;10;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.00000e-01;2.75401e-01;7.57733e-02
