n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
1.000e+02	9.024e-11	0.000e+00	1.974e-02	1.257e-02	4.373e-03	2.410e-02	0.000e+00	0.000e+00	0.000e+00
2.000e+02	1.334e-06	0.000e+00	1.974e-02	1.381e-02	4.989e-03	2.661e-02	0.000e+00	0.000e+00	1.935e-16
3.000e+02	5.635e-03	0.000e+00	4.294e-02	1.561e-02	5.243e-03	2.661e-02	0.000e+00	0.000e+00	1.654e-01
4.000e+02	1.240e-02	0.000e+00	6.234e-02	1.936e-02	5.243e-03	2.661e-02	1.935e-16	0.000e+00	1.762e-01
5.000e+02	3.187e-02	6.815e-14	6.803e-02	1.936e-02	5.649e-03	2.937e-02	1.654e-01	0.000e+00	2.165e-01
6.000e+02	3.696e-02	1.282e-07	7.640e-02	1.936e-02	9.718e-03	2.937e-02	1.654e-01	0.000e+00	2.165e-01
7.000e+02	4.294e-02	1.282e-07	7.640e-02	2.162e-02	1.127e-02	3.398e-02	1.654e-01	0.000e+00	2.165e-01
8.000e+02	4.998e-02	1.240e-02	9.225e-02	2.056e-02	1.127e-02	3.148e-02	1.898e-01	1.935e-16	2.165e-01
9.000e+02	4.998e-02	1.240e-02	9.225e-02	2.056e-02	1.127e-02	3.148e-02	2.165e-01	6.549e-03	2.165e-01
1.000e+03	5.314e-02	2.535e-02	9.636e-02	1.936e-02	1.127e-02	2.937e-02	2.165e-01	6.549e-03	2.165e-01
1.100e+03	5.314e-02	3.187e-02	9.636e-02	1.856e-02	1.127e-02	2.661e-02	2.165e-01	1.654e-01	2.421e-01
1.200e+03	5.505e-02	3.307e-02	9.636e-02	1.856e-02	1.127e-02	2.661e-02	2.165e-01	1.654e-01	2.421e-01
1.300e+03	7.297e-02	3.696e-02	9.636e-02	1.856e-02	1.127e-02	2.661e-02	2.165e-01	1.654e-01	2.389e-01
1.400e+03	7.271e-02	3.696e-02	9.561e-02	1.856e-02	1.127e-02	2.661e-02	2.165e-01	1.654e-01	2.421e-01
1.500e+03	7.593e-02	4.588e-02	9.662e-02	1.842e-02	1.115e-02	2.447e-02	2.165e-01	1.898e-01	2.421e-01
1.600e+03	7.593e-02	4.588e-02	9.662e-02	1.832e-02	1.115e-02	2.241e-02	2.165e-01	1.898e-01	2.421e-01
1.700e+03	7.593e-02	4.294e-02	9.662e-02	1.832e-02	1.115e-02	2.241e-02	2.165e-01	1.898e-01	2.426e-01
1.800e+03	7.593e-02	4.294e-02	9.337e-02	1.756e-02	1.115e-02	2.241e-02	2.165e-01	1.898e-01	2.426e-01
1.900e+03	7.593e-02	4.294e-02	9.337e-02	1.756e-02	9.718e-03	2.241e-02	2.165e-01	1.708e-01	2.426e-01
2.000e+03	7.593e-02	4.294e-02	9.337e-02	1.756e-02	9.718e-03	2.241e-02	2.165e-01	1.654e-01	2.426e-01
2.100e+03	7.593e-02	4.294e-02	9.337e-02	1.756e-02	9.718e-03	2.241e-02	2.165e-01	1.654e-01	2.421e-01
2.200e+03	7.593e-02	4.294e-02	9.337e-02	1.756e-02	9.718e-03	2.241e-02	2.165e-01	1.654e-01	2.426e-01
2.300e+03	7.593e-02	4.294e-02	9.337e-02	1.832e-02	9.718e-03	2.447e-02	2.165e-01	1.654e-01	2.446e-01
2.400e+03	7.593e-02	4.294e-02	9.337e-02	1.832e-02	9.718e-03	2.447e-02	2.165e-01	1.654e-01	2.426e-01
2.500e+03	7.297e-02	4.294e-02	9.337e-02	1.832e-02	9.718e-03	2.447e-02	2.165e-01	1.654e-01	2.426e-01
2.600e+03	7.297e-02	4.294e-02	9.337e-02	1.832e-02	9.718e-03	2.447e-02	2.165e-01	1.708e-01	2.500e-01
2.700e+03	7.593e-02	4.294e-02	9.431e-02	1.832e-02	9.718e-03	2.447e-02	2.165e-01	1.708e-01	2.500e-01
2.800e+03	7.593e-02	4.294e-02	9.431e-02	1.832e-02	9.718e-03	2.447e-02	2.219e-01	1.708e-01	2.500e-01
2.900e+03	7.593e-02	4.294e-02	9.431e-02	1.832e-02	1.115e-02	2.447e-02	2.165e-01	1.654e-01	2.845e-01
3.000e+03	7.297e-02	4.294e-02	9.431e-02	1.832e-02	1.115e-02	2.447e-02	2.219e-01	1.708e-01	2.868e-01
3.100e+03	7.271e-02	4.294e-02	9.337e-02	1.832e-02	1.115e-02	2.447e-02	2.219e-01	2.055e-01	2.845e-01
3.200e+03	7.271e-02	4.294e-02	9.337e-02	1.832e-02	1.115e-02	2.447e-02	2.311e-01	2.138e-01	2.868e-01
3.300e+03	7.271e-02	4.294e-02	9.291e-02	1.756e-02	1.115e-02	2.447e-02	2.313e-01	2.165e-01	2.868e-01
3.400e+03	7.271e-02	4.294e-02	9.291e-02	1.756e-02	1.115e-02	2.447e-02	2.313e-01	2.165e-01	2.868e-01
3.500e+03	6.467e-02	4.156e-02	9.225e-02	1.756e-02	1.115e-02	2.447e-02	2.419e-01	2.165e-01	3.051e-01
3.600e+03	6.467e-02	4.156e-02	9.225e-02	1.832e-02	1.115e-02	2.661e-02	2.313e-01	2.165e-01	2.868e-01
3.700e+03	6.467e-02	4.156e-02	9.225e-02	1.832e-02	1.115e-02	2.661e-02	2.419e-01	2.165e-01	2.868e-01
3.800e+03	5.846e-02	3.933e-02	9.225e-02	1.832e-02	1.115e-02	2.661e-02	2.419e-01	2.165e-01	2.868e-01
3.900e+03	5.392e-02	3.933e-02	8.732e-02	1.832e-02	1.115e-02	2.661e-02	2.312e-01	2.157e-01	2.756e-01
4.000e+03	5.392e-02	3.933e-02	8.732e-02	1.832e-02	1.115e-02	2.661e-02	2.313e-01	2.138e-01	2.845e-01
4.100e+03	5.392e-02	3.933e-02	8.732e-02	1.832e-02	1.115e-02	2.661e-02	2.313e-01	2.138e-01	2.845e-01
4.200e+03	5.392e-02	3.933e-02	8.249e-02	1.756e-02	1.115e-02	2.661e-02	2.313e-01	2.138e-01	2.845e-01
4.300e+03	5.392e-02	3.933e-02	8.249e-02	1.756e-02	1.115e-02	2.661e-02	2.313e-01	2.138e-01	2.845e-01
4.400e+03	5.392e-02	3.933e-02	8.249e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.138e-01	2.845e-01
4.500e+03	5.392e-02	3.933e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.138e-01	2.845e-01
4.600e+03	5.392e-02	3.696e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.138e-01	2.845e-01
4.700e+03	5.392e-02	3.696e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.138e-01	2.845e-01
4.800e+03	5.392e-02	3.696e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.410e-01	2.157e-01	2.845e-01
4.900e+03	5.392e-02	3.696e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.157e-01	2.756e-01
5.000e+03	5.392e-02	3.696e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.157e-01	2.756e-01
5.100e+03	5.392e-02	3.696e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.205e-01	2.138e-01	2.567e-01
5.200e+03	5.392e-02	3.696e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.205e-01	2.138e-01	2.567e-01
5.300e+03	5.392e-02	3.696e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.205e-01	2.138e-01	2.567e-01
5.400e+03	5.832e-02	3.933e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.205e-01	2.138e-01	2.500e-01
5.500e+03	5.832e-02	3.933e-02	7.593e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.157e-01	2.500e-01
5.600e+03	5.832e-02	3.933e-02	7.271e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.157e-01	2.500e-01
5.700e+03	5.832e-02	3.748e-02	7.271e-02	1.756e-02	1.115e-02	2.661e-02	2.219e-01	2.157e-01	2.500e-01
5.800e+03	5.392e-02	3.696e-02	7.033e-02	1.756e-02	1.115e-02	2.661e-02	2.205e-01	2.138e-01	2.500e-01
5.900e+03	5.392e-02	3.696e-02	7.033e-02	1.756e-02	1.115e-02	2.661e-02	2.205e-01	2.138e-01	2.500e-01
6.000e+03	5.392e-02	3.696e-02	7.033e-02	1.756e-02	1.115e-02	2.661e-02	2.205e-01	2.138e-01	2.500e-01
6.100e+03	5.392e-02	3.696e-02	7.033e-02	1.756e-02	1.115e-02	2.447e-02	2.205e-01	2.138e-01	2.500e-01
6.200e+03	5.314e-02	3.696e-02	6.386e-02	1.756e-02	1.115e-02	2.447e-02	2.205e-01	2.138e-01	2.500e-01
6.300e+03	5.298e-02	3.683e-02	6.386e-02	1.756e-02	1.115e-02	2.447e-02	2.205e-01	2.138e-01	2.500e-01
6.400e+03	5.298e-02	3.683e-02	6.386e-02	1.750e-02	1.115e-02	2.241e-02	2.205e-01	2.138e-01	2.500e-01
6.500e+03	5.314e-02	3.696e-02	7.033e-02	1.750e-02	1.115e-02	2.241e-02	2.219e-01	2.138e-01	2.509e-01
6.600e+03	5.314e-02	3.696e-02	7.033e-02	1.750e-02	1.115e-02	2.241e-02	2.219e-01	2.138e-01	2.509e-01
6.700e+03	5.314e-02	3.696e-02	7.033e-02	1.750e-02	1.115e-02	2.241e-02	2.219e-01	2.138e-01	2.509e-01
6.800e+03	5.314e-02	3.696e-02	7.033e-02	1.750e-02	1.115e-02	2.241e-02	2.205e-01	1.912e-01	2.509e-01
6.900e+03	5.636e-02	3.696e-02	7.593e-02	1.750e-02	1.115e-02	2.241e-02	2.205e-01	1.912e-01	2.509e-01
