n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	5.000e-01	2.602e-01	5.000e-01	7.352e-01	4.988e-01	8.446e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	5.000e-01	5.736e-02	5.000e-01	8.457e-01	5.661e-01	9.719e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	2.738e-01	6.880e-02	5.000e-01	9.020e-01	4.992e-01	9.760e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	2.904e-01	2.007e-01	5.000e-01	8.184e-01	4.997e-01	9.760e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	2.560e-01	1.972e-01	5.000e-01	8.184e-01	5.661e-01	9.760e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	2.492e-01	1.972e-01	5.000e-01	8.012e-01	4.997e-01	9.641e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	2.296e-01	1.773e-01	5.000e-01	8.012e-01	4.992e-01	9.641e-01	5.000e-01	5.000e-01	5.000e-01
8.000e+02	2.591e-01	1.841e-01	3.517e-01	8.184e-01	4.817e-01	9.641e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	2.263e-01	1.841e-01	3.517e-01	8.184e-01	4.579e-01	9.641e-01	5.000e-01	5.000e-01	5.000e-01
1.000e+03	2.296e-01	2.007e-01	2.862e-01	8.184e-01	4.992e-01	9.641e-01	5.000e-01	5.000e-01	5.000e-01
1.100e+03	2.296e-01	2.007e-01	2.794e-01	8.184e-01	5.549e-01	9.641e-01	5.000e-01	5.000e-01	5.000e-01
1.200e+03	2.296e-01	2.106e-01	2.687e-01	8.184e-01	4.933e-01	9.641e-01	5.000e-01	5.000e-01	5.000e-01
1.300e+03	2.296e-01	2.106e-01	2.687e-01	8.184e-01	5.661e-01	9.641e-01	5.000e-01	5.000e-01	5.000e-01
