n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	4.999e-01	4.372e-01	5.000e-01	4.676e-01	3.413e-01	4.981e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	4.994e-01	4.931e-01	5.000e-01	4.423e-01	2.881e-01	4.976e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	4.999e-01	4.064e-01	5.000e-01	4.924e-01	3.593e-01	6.087e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	4.993e-01	4.547e-01	5.000e-01	4.980e-01	3.817e-01	7.978e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	5.000e-01	4.911e-01	5.000e-01	6.343e-01	4.446e-01	7.978e-01	5.000e-01	5.000e-01	5.000e-01
1.100e+03	4.956e-01	2.820e-01	5.000e-01	6.744e-01	4.999e-01	7.792e-01	5.000e-01	5.000e-01	5.000e-01
1.300e+03	4.996e-01	4.451e-01	5.000e-01	7.097e-01	4.994e-01	8.160e-01	5.000e-01	5.000e-01	5.000e-01
1.500e+03	4.998e-01	3.068e-01	5.000e-01	7.042e-01	5.000e-01	7.891e-01	5.000e-01	5.000e-01	5.000e-01
1.700e+03	4.999e-01	2.533e-01	5.000e-01	7.329e-01	5.000e-01	9.028e-01	5.000e-01	5.000e-01	9.942e-01
1.900e+03	5.000e-01	2.533e-01	5.000e-01	7.329e-01	5.000e-01	8.795e-01	5.000e-01	5.000e-01	9.952e-01
2.100e+03	4.999e-01	2.533e-01	5.000e-01	8.504e-01	5.762e-01	9.063e-01	5.000e-01	5.000e-01	5.000e-01
2.300e+03	5.000e-01	2.549e-01	5.000e-01	8.528e-01	5.000e-01	9.267e-01	5.000e-01	5.000e-01	5.000e-01
2.500e+03	5.000e-01	2.549e-01	5.000e-01	7.148e-01	5.673e-01	9.111e-01	5.000e-01	5.000e-01	8.877e-01
2.700e+03	5.000e-01	2.549e-01	5.000e-01	8.011e-01	5.196e-01	8.784e-01	5.000e-01	5.000e-01	1.000e+00
2.900e+03	5.000e-01	2.549e-01	5.000e-01	8.705e-01	5.149e-01	9.650e-01	5.000e-01	5.000e-01	1.000e+00
3.100e+03	5.000e-01	2.549e-01	5.000e-01	8.605e-01	5.749e-01	9.683e-01	5.000e-01	5.000e-01	9.952e-01
3.300e+03	4.998e-01	2.533e-01	5.000e-01	8.349e-01	6.317e-01	9.418e-01	5.000e-01	5.000e-01	1.000e+00
3.500e+03	5.000e-01	2.549e-01	5.000e-01	8.160e-01	5.000e-01	9.627e-01	5.000e-01	5.000e-01	1.000e+00
3.700e+03	4.995e-01	2.549e-01	5.000e-01	8.710e-01	6.538e-01	9.635e-01	5.000e-01	5.000e-01	1.000e+00
3.900e+03	5.000e-01	2.549e-01	5.000e-01	8.655e-01	7.578e-01	9.930e-01	5.000e-01	5.000e-01	1.000e+00
4.100e+03	5.000e-01	2.549e-01	5.000e-01	8.245e-01	7.591e-01	9.502e-01	5.000e-01	5.000e-01	1.000e+00
4.300e+03	5.000e-01	2.549e-01	5.000e-01	9.448e-01	8.822e-01	9.871e-01	5.000e-01	5.000e-01	1.000e+00
4.500e+03	5.000e-01	2.549e-01	5.000e-01	8.663e-01	6.072e-01	9.812e-01	5.000e-01	5.000e-01	1.000e+00
4.700e+03	5.000e-01	2.549e-01	5.000e-01	9.668e-01	7.683e-01	9.971e-01	5.000e-01	5.000e-01	1.000e+00
