n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	4.000e-01	3.651e-01	4.000e-01	6.348e-01	4.630e-01	6.498e-01	4.000e-01	2.000e-01	4.000e-01
3.000e+02	4.000e-01	3.990e-01	4.000e-01	6.302e-01	4.222e-01	6.496e-01	4.000e-01	3.000e-01	5.000e-01
5.000e+02	4.000e-01	3.252e-01	4.000e-01	6.395e-01	5.004e-01	6.500e-01	3.738e-01	3.000e-01	4.000e-01
7.000e+02	4.000e-01	3.999e-01	4.000e-01	6.500e-01	4.955e-01	8.136e-01	3.500e-01	2.831e-01	4.000e-01
9.000e+02	4.000e-01	4.000e-01	4.000e-01	7.748e-01	6.268e-01	9.277e-01	3.750e-01	3.000e-01	5.000e-01
1.100e+03	4.000e-01	3.589e-01	4.000e-01	8.012e-01	6.483e-01	9.339e-01	3.659e-01	2.934e-01	4.000e-01
1.300e+03	4.000e-01	3.998e-01	4.000e-01	8.012e-01	6.494e-01	9.626e-01	4.000e-01	2.934e-01	5.000e-01
1.500e+03	4.000e-01	3.749e-01	4.000e-01	8.408e-01	6.158e-01	9.671e-01	4.000e-01	3.500e-01	5.000e-01
1.700e+03	4.000e-01	3.914e-01	4.000e-01	8.524e-01	6.486e-01	9.945e-01	4.000e-01	3.500e-01	6.261e-01
1.900e+03	4.000e-01	3.930e-01	4.000e-01	8.461e-01	6.500e-01	9.876e-01	4.000e-01	2.500e-01	5.000e-01
2.100e+03	4.000e-01	3.910e-01	4.000e-01	9.277e-01	6.539e-01	9.931e-01	3.962e-01	2.000e-01	5.000e-01
2.300e+03	4.000e-01	4.000e-01	4.000e-01	9.094e-01	6.469e-01	9.997e-01	4.000e-01	2.000e-01	5.000e-01
2.500e+03	4.000e-01	3.930e-01	4.000e-01	8.727e-01	6.500e-01	9.920e-01	4.000e-01	2.297e-01	5.000e-01
2.700e+03	4.000e-01	3.930e-01	4.000e-01	9.023e-01	6.976e-01	9.865e-01	4.000e-01	2.835e-01	6.261e-01
2.900e+03	4.000e-01	3.999e-01	4.000e-01	9.491e-01	6.266e-01	9.987e-01	4.000e-01	3.019e-01	6.499e-01
3.100e+03	4.000e-01	4.000e-01	4.000e-01	9.430e-01	7.386e-01	9.998e-01	4.000e-01	3.000e-01	6.500e-01
