n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.consistency	2d.nav._.hebbian.network.best.quality.consistency.min	2d.nav._.hebbian.network.best.quality.consistency.max	2d.nav._.hebbian.synapse.best.quality.consistency	2d.nav._.hebbian.synapse.best.quality.consistency.min	2d.nav._.hebbian.synapse.best.quality.consistency.max	2d.nav._.freeForm.best.quality.consistency	2d.nav._.freeForm.best.quality.consistency.min	2d.nav._.freeForm.best.quality.consistency.max
1.000e+02	0.000e+00	0.000e+00	1.045e-03	1.069e+01	3.731e+00	1.300e+01	0.000e+00	0.000e+00	0.000e+00
2.000e+02	0.000e+00	0.000e+00	7.653e-04	1.300e+01	7.482e+00	5.106e+01	0.000e+00	0.000e+00	2.580e-06
3.000e+02	0.000e+00	0.000e+00	1.157e-08	4.193e+01	1.164e+01	9.069e+01	0.000e+00	0.000e+00	2.580e-06
4.000e+02	0.000e+00	0.000e+00	2.304e-09	6.114e+01	1.157e+01	9.400e+01	0.000e+00	0.000e+00	7.574e-06
5.000e+02	0.000e+00	0.000e+00	1.174e-07	6.114e+01	1.824e+01	9.400e+01	0.000e+00	0.000e+00	8.427e-06
6.000e+02	0.000e+00	0.000e+00	5.322e-05	7.823e+01	1.824e+01	1.084e+02	0.000e+00	0.000e+00	2.942e-04
7.000e+02	0.000e+00	0.000e+00	5.322e-05	7.823e+01	3.330e+01	1.084e+02	0.000e+00	0.000e+00	5.133e-05
8.000e+02	0.000e+00	0.000e+00	5.322e-05	8.458e+01	4.509e+01	1.132e+02	0.000e+00	0.000e+00	5.133e-05
9.000e+02	0.000e+00	0.000e+00	7.707e-01	8.687e+01	4.623e+01	1.513e+02	0.000e+00	0.000e+00	4.584e-03
1.000e+03	0.000e+00	0.000e+00	7.707e-01	9.400e+01	4.509e+01	1.569e+02	0.000e+00	0.000e+00	4.584e-03
1.100e+03	1.153e-05	0.000e+00	7.707e-01	1.109e+02	6.114e+01	1.569e+02	0.000e+00	0.000e+00	5.731e-04
1.200e+03	1.153e-05	0.000e+00	7.707e-01	1.132e+02	7.582e+01	1.651e+02	0.000e+00	0.000e+00	5.731e-04
1.300e+03	2.377e-05	0.000e+00	7.707e-01	1.194e+02	7.823e+01	1.879e+02	0.000e+00	0.000e+00	5.731e-04
1.400e+03	2.721e-05	0.000e+00	7.707e-01	1.132e+02	6.114e+01	1.879e+02	0.000e+00	0.000e+00	5.731e-04
1.500e+03	2.721e-05	0.000e+00	7.815e-01	1.142e+02	7.668e+01	1.885e+02	0.000e+00	0.000e+00	5.731e-04
1.600e+03	4.748e-05	0.000e+00	7.815e-01	1.206e+02	6.940e+01	1.933e+02	0.000e+00	0.000e+00	1.271e-04
1.700e+03	4.748e-05	0.000e+00	7.815e-01	1.569e+02	8.458e+01	1.954e+02	0.000e+00	0.000e+00	1.012e-01
1.800e+03	2.721e-05	0.000e+00	7.815e-01	1.206e+02	6.596e+01	1.945e+02	0.000e+00	0.000e+00	1.713e-02
1.900e+03	2.721e-05	0.000e+00	7.815e-01	1.206e+02	6.596e+01	1.954e+02	0.000e+00	0.000e+00	6.481e-01
