n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.increase	2d.nav._.hebbian.network.best.quality.increase.min	2d.nav._.hebbian.network.best.quality.increase.max	2d.nav._.hebbian.synapse.best.quality.increase	2d.nav._.hebbian.synapse.best.quality.increase.min	2d.nav._.hebbian.synapse.best.quality.increase.max	2d.nav._.freeForm.best.quality.increase	2d.nav._.freeForm.best.quality.increase.min	2d.nav._.freeForm.best.quality.increase.max
1.000e+02	3.660e-03	-1.863e-02	7.102e-02	2.654e+00	1.746e+00	5.334e+00	0.000e+00	0.000e+00	0.000e+00
2.000e+02	1.256e-01	-1.863e-02	2.183e-01	6.249e+00	2.654e+00	9.160e+00	0.000e+00	-4.712e-05	0.000e+00
3.000e+02	2.342e-01	-1.448e-02	1.362e+00	1.315e+01	6.249e+00	4.816e+01	0.000e+00	-5.702e-03	0.000e+00
4.000e+02	1.256e-01	-1.448e-02	1.362e+00	4.816e+01	2.725e+01	1.282e+02	0.000e+00	-1.334e-06	0.000e+00
5.000e+02	1.338e+00	-1.925e-03	1.444e+00	7.309e+01	2.725e+01	1.282e+02	0.000e+00	-1.334e-06	0.000e+00
6.000e+02	1.297e+00	1.256e-01	1.444e+00	9.933e+01	2.884e+01	1.863e+02	0.000e+00	-4.940e-02	0.000e+00
7.000e+02	1.297e+00	1.256e-01	5.010e+00	1.282e+02	9.422e+01	2.283e+02	0.000e+00	0.000e+00	1.279e-13
8.000e+02	1.338e+00	3.095e-01	5.958e+00	1.863e+02	9.422e+01	3.040e+02	0.000e+00	0.000e+00	1.279e-13
9.000e+02	1.297e+00	3.095e-01	5.958e+00	2.283e+02	9.422e+01	3.040e+02	1.279e-13	0.000e+00	1.228e-04
1.000e+03	1.297e+00	3.095e-01	5.958e+00	2.331e+02	1.833e+02	3.040e+02	0.000e+00	0.000e+00	4.414e-05
1.100e+03	1.297e+00	3.095e-01	5.958e+00	2.507e+02	2.274e+02	3.632e+02	0.000e+00	0.000e+00	4.344e-01
1.200e+03	1.297e+00	3.095e-01	5.958e+00	3.040e+02	2.283e+02	3.951e+02	1.279e-13	0.000e+00	4.344e-01
1.300e+03	2.279e+00	4.288e-01	5.958e+00	3.415e+02	2.331e+02	3.951e+02	1.279e-13	0.000e+00	4.344e-01
1.400e+03	2.279e+00	4.288e-01	5.958e+00	3.415e+02	2.331e+02	3.951e+02	1.279e-13	0.000e+00	3.690e-01
1.500e+03	2.279e+00	4.288e-01	5.958e+00	3.415e+02	2.609e+02	3.951e+02	1.512e-03	0.000e+00	3.690e-01
1.600e+03	2.279e+00	4.288e-01	5.958e+00	3.415e+02	2.609e+02	4.650e+02	0.000e+00	-8.353e-04	1.935e-02
1.700e+03	2.279e+00	1.278e+00	5.958e+00	3.661e+02	2.920e+02	4.736e+02	3.941e-01	0.000e+00	1.514e+00
1.800e+03	3.195e+00	1.297e+00	5.958e+00	3.661e+02	2.920e+02	4.736e+02	0.000e+00	-1.066e-14	4.055e-01
1.900e+03	3.195e+00	1.297e+00	5.958e+00	4.731e+02	3.661e+02	4.736e+02	9.948e-14	-8.353e-04	3.941e-01
2.000e+03	3.195e+00	1.278e+00	5.958e+00	4.731e+02	3.661e+02	4.736e+02	1.066e-13	0.000e+00	4.055e-01
2.100e+03	3.195e+00	1.278e+00	5.958e+00	4.731e+02	3.661e+02	4.736e+02	2.694e-01	0.000e+00	4.055e-01
2.200e+03	3.195e+00	1.278e+00	5.958e+00	4.731e+02	4.275e+02	4.736e+02	3.941e-01	0.000e+00	2.081e+01
2.300e+03	3.195e+00	1.278e+00	5.958e+00	4.650e+02	3.533e+02	4.736e+02	3.941e-01	0.000e+00	2.081e+01
2.400e+03	3.195e+00	1.278e+00	5.958e+00	4.650e+02	3.533e+02	4.736e+02	3.941e-01	0.000e+00	2.081e+01
2.500e+03	3.195e+00	1.278e+00	5.958e+00	4.650e+02	3.533e+02	4.736e+02	3.941e-01	0.000e+00	2.406e+01
2.600e+03	3.195e+00	1.297e+00	5.010e+00	4.650e+02	3.533e+02	4.736e+02	0.000e+00	0.000e+00	2.406e+01
2.700e+03	3.195e+00	1.297e+00	5.636e+00	4.650e+02	3.533e+02	4.736e+02	0.000e+00	0.000e+00	2.406e+01
