n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.fitness	2d.nav._.hebbian.network.best.quality.fitness.min	2d.nav._.hebbian.network.best.quality.fitness.max	2d.nav._.hebbian.synapse.best.quality.fitness	2d.nav._.hebbian.synapse.best.quality.fitness.min	2d.nav._.hebbian.synapse.best.quality.fitness.max	2d.nav._.freeForm.best.quality.fitness	2d.nav._.freeForm.best.quality.fitness.min	2d.nav._.freeForm.best.quality.fitness.max
1.000e+02	-3.735e+00	-3.784e+00	-3.720e+00	8.991e+00	-5.915e-02	2.136e+01	-3.557e+00	-3.720e+00	-3.353e+00
2.000e+02	-3.720e+00	-3.731e+00	-3.720e+00	1.635e+01	7.476e+00	2.756e+01	-3.437e+00	-3.720e+00	-3.184e+00
3.000e+02	-3.720e+00	-3.721e+00	-3.720e+00	3.675e+01	2.171e+01	6.056e+01	-3.249e+00	-3.523e+00	-3.029e+00
4.000e+02	-3.720e+00	-3.721e+00	-3.720e+00	4.508e+01	2.444e+01	8.583e+01	-3.210e+00	-3.497e+00	-2.954e+00
5.000e+02	-3.720e+00	-3.721e+00	-3.720e+00	5.601e+01	2.592e+01	9.809e+01	-3.034e+00	-3.315e+00	-2.890e+00
6.000e+02	-3.720e+00	-3.720e+00	-3.720e+00	5.651e+01	3.071e+01	9.809e+01	-3.025e+00	-3.251e+00	-2.801e+00
7.000e+02	-3.720e+00	-3.720e+00	-3.720e+00	6.276e+01	4.330e+01	1.145e+02	-2.915e+00	-3.066e+00	-2.598e+00
8.000e+02	-3.720e+00	-3.720e+00	-3.720e+00	6.785e+01	4.388e+01	1.145e+02	-2.823e+00	-3.009e+00	-2.438e+00
9.000e+02	-3.720e+00	-3.720e+00	-3.608e+00	7.770e+01	4.388e+01	1.150e+02	-2.713e+00	-3.008e+00	-2.300e-01
1.000e+03	-3.720e+00	-3.720e+00	-3.608e+00	8.061e+01	4.908e+01	1.150e+02	-2.688e+00	-2.957e+00	1.214e+00
1.100e+03	-3.720e+00	-3.720e+00	-3.298e+00	8.792e+01	6.354e+01	1.229e+02	-2.688e+00	-2.954e+00	1.214e+00
1.200e+03	-3.720e+00	-3.720e+00	-3.298e+00	1.150e+02	7.384e+01	1.863e+02	-2.688e+00	-2.914e+00	6.410e+00
1.300e+03	-3.720e+00	-3.720e+00	-3.298e+00	1.172e+02	8.051e+01	2.140e+02	-2.688e+00	-2.914e+00	6.410e+00
1.400e+03	-3.720e+00	-3.720e+00	-3.298e+00	1.321e+02	8.061e+01	2.430e+02	-2.684e+00	-2.914e+00	6.410e+00
1.500e+03	-3.720e+00	-3.720e+00	-3.044e+00	1.321e+02	8.095e+01	2.438e+02	-2.684e+00	-2.914e+00	6.410e+00
1.600e+03	-3.720e+00	-3.720e+00	-3.044e+00	1.598e+02	1.065e+02	2.438e+02	-2.618e+00	-2.914e+00	6.410e+00
1.700e+03	-3.720e+00	-3.720e+00	-3.044e+00	1.598e+02	1.150e+02	2.438e+02	-2.598e+00	-2.914e+00	6.410e+00
1.800e+03	-3.720e+00	-3.720e+00	-3.044e+00	2.144e+02	1.155e+02	2.730e+02	-2.598e+00	-2.914e+00	6.410e+00
1.900e+03	-3.720e+00	-3.720e+00	-3.044e+00	2.223e+02	1.169e+02	2.730e+02	-2.598e+00	-2.895e+00	6.410e+00
2.000e+03	-3.720e+00	-3.720e+00	-3.044e+00	2.314e+02	1.215e+02	3.386e+02	-2.598e+00	-2.864e+00	6.410e+00
2.100e+03	-3.720e+00	-3.720e+00	-3.044e+00	2.430e+02	1.236e+02	3.386e+02	-2.542e+00	-2.864e+00	6.410e+00
2.200e+03	-3.720e+00	-3.720e+00	-3.044e+00	2.430e+02	1.236e+02	3.386e+02	-2.542e+00	-2.864e+00	6.410e+00
2.300e+03	-3.720e+00	-3.720e+00	-3.044e+00	2.430e+02	1.236e+02	3.529e+02	-2.542e+00	-2.823e+00	6.410e+00
2.400e+03	-3.719e+00	-3.720e+00	-1.578e+00	2.430e+02	1.395e+02	3.529e+02	-2.542e+00	-2.823e+00	2.388e+01
2.500e+03	-3.719e+00	-3.720e+00	-1.578e+00	2.430e+02	1.395e+02	3.529e+02	-2.542e+00	-2.823e+00	2.388e+01
2.600e+03	-3.719e+00	-3.720e+00	-1.578e+00	2.430e+02	1.395e+02	3.529e+02	-2.437e+00	-2.823e+00	2.388e+01
2.700e+03	-3.707e+00	-3.720e+00	-1.416e+00	2.430e+02	1.395e+02	3.529e+02	-2.437e+00	-2.823e+00	2.388e+01
