n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	2.518e-01	-7.399e-03	5.000e-01	4.351e-01	2.991e-01	4.977e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.527e-01	-3.179e-02	5.000e-01	4.696e-01	2.676e-01	4.999e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	2.527e-01	-4.080e-02	5.000e-01	4.956e-01	2.004e-01	5.475e-01	5.000e-01	6.633e-02	5.000e-01
4.000e+02	2.527e-01	-4.080e-02	5.000e-01	5.064e-01	4.659e-01	7.169e-01	4.935e-01	3.490e-02	5.000e-01
5.000e+02	2.527e-01	-4.080e-02	5.000e-01	5.880e-01	4.265e-01	7.960e-01	1.640e-01	3.490e-02	5.000e-01
6.000e+02	2.527e-01	-4.080e-02	5.000e-01	5.920e-01	4.265e-01	8.516e-01	1.495e-01	3.490e-02	5.000e-01
7.000e+02	2.527e-01	-4.080e-02	5.000e-01	5.920e-01	4.432e-01	8.066e-01	1.380e-01	2.246e-06	4.994e-01
8.000e+02	2.527e-01	-4.080e-02	5.000e-01	5.919e-01	4.432e-01	8.066e-01	1.380e-01	1.678e-03	5.000e-01
9.000e+02	2.527e-01	-4.080e-02	5.000e-01	6.360e-01	4.265e-01	8.781e-01	3.088e-01	2.164e-02	5.000e-01
1.000e+03	2.615e-01	-4.080e-02	5.000e-01	5.939e-01	3.987e-01	7.169e-01	2.143e-01	3.490e-02	5.000e-01
1.100e+03	2.719e-01	-4.080e-02	5.000e-01	6.782e-01	2.741e-01	8.781e-01	1.301e-01	2.164e-02	4.999e-01
1.200e+03	2.527e-01	-4.080e-02	5.000e-01	6.782e-01	3.346e-01	8.928e-01	7.924e-02	1.014e-02	3.153e-01
1.300e+03	3.046e-01	-4.080e-02	5.000e-01	6.473e-01	2.920e-01	8.469e-01	1.167e-01	2.164e-02	4.488e-01
1.400e+03	3.046e-01	-4.080e-02	5.000e-01	6.473e-01	3.529e-01	8.928e-01	8.839e-02	2.164e-02	3.153e-01
1.500e+03	3.046e-01	-4.080e-02	5.000e-01	6.951e-01	4.432e-01	9.261e-01	1.301e-01	3.490e-02	4.566e-01
1.600e+03	3.046e-01	-4.080e-02	5.000e-01	6.782e-01	4.265e-01	8.928e-01	8.243e-02	2.164e-02	4.487e-01
1.700e+03	3.046e-01	-4.080e-02	5.000e-01	6.473e-01	4.265e-01	8.469e-01	7.924e-02	2.164e-02	1.425e-01
1.800e+03	3.046e-01	-4.080e-02	5.000e-01	6.440e-01	4.265e-01	8.066e-01	7.924e-02	2.164e-02	1.425e-01
1.900e+03	3.046e-01	-4.080e-02	5.000e-01	6.951e-01	4.432e-01	8.928e-01	7.924e-02	2.164e-02	1.425e-01
2.000e+03	3.046e-01	-4.080e-02	5.000e-01	7.169e-01	5.068e-01	9.646e-01	7.924e-02	2.164e-02	1.425e-01
2.100e+03	3.046e-01	-4.080e-02	5.000e-01	7.169e-01	5.395e-01	9.646e-01	6.106e-02	2.164e-02	1.407e-01
2.200e+03	3.046e-01	-4.080e-02	5.000e-01	6.845e-01	4.432e-01	9.261e-01	7.924e-02	2.164e-02	2.882e-01
