n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	2.930e-01	-2.424e-02	4.000e-01	5.761e-01	4.180e-01	6.449e-01	4.000e-01	4.000e-01	4.000e-01
2.000e+02	2.289e-01	-7.698e-02	4.000e-01	5.944e-01	3.464e-01	6.497e-01	4.000e-01	4.000e-01	4.199e-01
3.000e+02	2.289e-01	-7.698e-02	4.000e-01	6.137e-01	3.464e-01	6.676e-01	4.000e-01	3.378e-01	4.500e-01
4.000e+02	2.289e-01	-7.698e-02	4.000e-01	6.500e-01	5.939e-01	8.798e-01	4.000e-01	2.569e-01	4.800e-01
5.000e+02	2.289e-01	-7.698e-02	4.000e-01	6.512e-01	5.690e-01	8.484e-01	3.965e-01	2.130e-01	4.800e-01
6.000e+02	2.289e-01	-7.698e-02	4.000e-01	6.512e-01	4.488e-01	8.484e-01	4.000e-01	1.989e-01	4.800e-01
7.000e+02	2.289e-01	-7.698e-02	4.000e-01	6.512e-01	4.488e-01	9.098e-01	4.280e-01	2.671e-01	4.804e-01
8.000e+02	2.289e-01	-7.698e-02	4.000e-01	6.856e-01	4.488e-01	9.051e-01	4.311e-01	2.753e-01	4.973e-01
9.000e+02	2.289e-01	-7.698e-02	4.000e-01	6.676e-01	3.718e-01	9.051e-01	4.311e-01	3.336e-01	4.952e-01
1.000e+03	2.518e-01	-7.698e-02	4.000e-01	6.676e-01	3.718e-01	9.051e-01	4.289e-01	2.732e-01	4.791e-01
