n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
1.000e+02	9.902e-03	5.216e-05	1.559e-02	1.183e-02	4.323e-03	1.386e-02	1.654e-01	1.635e-07	1.983e-01
2.000e+02	1.123e-02	1.145e-04	1.623e-02	1.094e-02	5.275e-03	1.574e-02	1.083e-01	1.222e-09	3.522e-01
3.000e+02	1.123e-02	1.145e-04	1.623e-02	1.386e-02	5.938e-03	1.734e-02	2.218e-01	1.222e-09	4.540e-01
4.000e+02	1.123e-02	1.145e-04	1.623e-02	1.401e-02	6.264e-03	1.734e-02	1.654e-01	3.061e-07	3.522e-01
5.000e+02	1.137e-02	5.607e-04	1.702e-02	1.473e-02	7.396e-03	1.890e-02	6.157e-04	1.127e-10	3.270e-01
6.000e+02	1.137e-02	5.607e-04	1.702e-02	1.490e-02	1.069e-02	1.953e-02	1.654e-01	3.892e-08	4.074e-01
7.000e+02	1.137e-02	5.607e-04	1.702e-02	1.642e-02	1.306e-02	2.896e-02	1.654e-01	1.222e-09	4.074e-01
8.000e+02	1.137e-02	5.607e-04	1.702e-02	1.674e-02	1.306e-02	2.896e-02	1.654e-01	7.166e-09	3.870e-01
9.000e+02	1.137e-02	5.607e-04	1.702e-02	1.604e-02	1.069e-02	2.896e-02	3.449e-03	1.222e-09	4.074e-01
1.000e+03	1.137e-02	5.607e-04	1.702e-02	1.604e-02	1.222e-02	2.369e-02	6.157e-04	1.222e-09	3.870e-01
1.100e+03	1.137e-02	5.607e-04	1.702e-02	1.714e-02	1.306e-02	2.374e-02	3.449e-03	1.129e-08	4.074e-01
1.200e+03	1.137e-02	5.607e-04	1.702e-02	1.714e-02	1.306e-02	2.374e-02	6.157e-04	7.166e-09	4.074e-01
1.300e+03	1.137e-02	5.607e-04	1.702e-02	1.714e-02	1.306e-02	2.374e-02	7.375e-05	7.166e-09	3.870e-01
1.400e+03	1.137e-02	5.607e-04	1.702e-02	1.734e-02	1.306e-02	2.369e-02	7.375e-05	3.892e-08	2.639e-01
1.500e+03	1.123e-02	5.607e-04	1.623e-02	1.604e-02	1.220e-02	1.901e-02	6.070e-02	3.892e-08	2.639e-01
1.600e+03	1.123e-02	5.607e-04	1.623e-02	1.490e-02	1.205e-02	1.834e-02	7.989e-03	3.892e-08	2.365e-01
1.700e+03	1.137e-02	5.607e-04	1.702e-02	1.604e-02	1.222e-02	1.897e-02	7.989e-03	4.090e-08	2.188e-01
1.800e+03	1.137e-02	5.607e-04	1.753e-02	1.604e-02	1.222e-02	1.897e-02	6.369e-03	4.090e-08	2.168e-01
1.900e+03	1.137e-02	5.607e-04	1.753e-02	1.649e-02	1.222e-02	1.901e-02	6.369e-03	4.090e-08	2.188e-01
2.000e+03	1.137e-02	5.607e-04	1.753e-02	1.649e-02	1.222e-02	1.901e-02	1.801e-03	4.090e-08	2.188e-01
2.100e+03	1.137e-02	5.607e-04	1.753e-02	1.709e-02	1.222e-02	1.901e-02	6.459e-04	3.892e-08	2.168e-01
2.200e+03	1.137e-02	5.607e-04	1.753e-02	1.709e-02	1.222e-02	1.901e-02	6.459e-04	3.892e-08	2.168e-01
2.300e+03	1.137e-02	5.607e-04	1.753e-02	1.709e-02	1.222e-02	1.901e-02	1.620e-04	7.166e-09	2.168e-01
2.400e+03	1.350e-02	8.494e-03	1.838e-02	1.709e-02	1.222e-02	1.901e-02	1.620e-04	7.166e-09	2.168e-01
2.500e+03	1.350e-02	8.494e-03	1.838e-02	1.714e-02	1.222e-02	1.901e-02	1.620e-04	7.166e-09	2.168e-01
2.600e+03	1.137e-02	5.607e-04	1.753e-02	1.709e-02	1.220e-02	1.897e-02	1.035e-04	1.632e-13	2.415e-01
2.700e+03	1.137e-02	5.607e-04	1.753e-02	1.709e-02	1.220e-02	1.897e-02	7.375e-05	1.094e-13	2.168e-01
