n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	2.952e-01	3.850e-02	4.000e-01	5.754e-01	3.057e-01	6.489e-01	3.962e-01	2.061e-01	4.000e-01
2.000e+02	2.095e-01	9.074e-03	4.000e-01	5.591e-01	2.649e-01	6.489e-01	3.000e-01	1.000e-01	4.000e-01
3.000e+02	2.195e-01	1.173e-02	4.000e-01	6.359e-01	3.269e-01	6.506e-01	3.500e-01	5.085e-02	4.000e-01
4.000e+02	2.235e-01	1.128e-02	4.000e-01	6.500e-01	5.009e-01	9.313e-01	3.539e-01	2.000e-01	4.991e-01
5.000e+02	2.051e-01	-1.117e-03	4.000e-01	6.635e-01	5.724e-01	8.947e-01	3.250e-01	1.835e-01	4.934e-01
6.000e+02	1.817e-01	-1.247e-01	3.994e-01	6.556e-01	5.358e-01	8.740e-01	3.000e-01	5.020e-02	4.991e-01
7.000e+02	1.631e-01	-4.974e-02	3.991e-01	6.803e-01	5.541e-01	9.625e-01	3.000e-01	1.953e-02	4.991e-01
8.000e+02	1.671e-01	-3.242e-02	3.994e-01	7.388e-01	4.872e-01	9.288e-01	3.000e-01	9.998e-02	5.001e-01
9.000e+02	1.730e-01	-9.889e-03	4.000e-01	6.642e-01	5.542e-01	8.609e-01	3.552e-01	9.390e-02	8.750e-01
1.000e+03	1.870e-01	-8.339e-02	3.994e-01	6.428e-01	4.823e-01	7.794e-01	3.042e-01	2.910e-02	6.500e-01
1.100e+03	1.396e-01	-1.266e-01	3.994e-01	6.513e-01	5.171e-01	8.336e-01	2.987e-01	5.020e-02	5.000e-01
1.200e+03	1.913e-01	-1.005e-02	4.000e-01	6.639e-01	5.172e-01	8.454e-01	2.500e-01	2.910e-02	7.001e-01
1.300e+03	6.987e-02	-5.594e-02	3.992e-01	6.505e-01	5.169e-01	7.438e-01	3.500e-01	4.996e-02	7.500e-01
1.400e+03	1.782e-01	-7.822e-03	3.994e-01	6.336e-01	4.478e-01	7.138e-01	2.500e-01	2.910e-02	8.750e-01
1.500e+03	1.462e-01	-9.637e-02	3.942e-01	6.013e-01	4.886e-01	7.365e-01	2.958e-01	1.458e-02	7.001e-01
1.600e+03	1.745e-01	-8.511e-03	3.993e-01	6.511e-01	4.910e-01	7.761e-01	4.000e-01	3.809e-02	7.001e-01
1.700e+03	1.816e-01	1.195e-02	4.000e-01	5.983e-01	4.291e-01	7.835e-01	3.619e-01	7.772e-02	8.750e-01
1.800e+03	1.711e-01	-1.243e-01	3.942e-01	6.500e-01	4.825e-01	7.919e-01	4.500e-01	4.996e-02	8.750e-01
1.900e+03	2.022e-01	-5.640e-02	3.995e-01	5.863e-01	4.190e-01	7.898e-01	4.500e-01	1.000e-01	9.205e-01
2.000e+03	1.969e-01	-8.860e-02	3.989e-01	6.190e-01	4.486e-01	8.061e-01	4.500e-01	1.750e-01	8.418e-01
2.100e+03	1.942e-01	-1.011e-01	3.994e-01	6.090e-01	4.293e-01	7.673e-01	4.000e-01	1.319e-01	9.500e-01
2.200e+03	2.113e-01	3.563e-02	3.994e-01	6.571e-01	4.292e-01	7.795e-01	4.500e-01	1.977e-01	8.750e-01
2.300e+03	2.853e-01	2.637e-02	3.994e-01	6.610e-01	4.295e-01	8.245e-01	4.500e-01	1.750e-01	9.500e-01
2.400e+03	2.198e-01	-8.706e-02	4.000e-01	6.526e-01	4.426e-01	7.768e-01	4.500e-01	1.000e-01	9.500e-01
2.500e+03	1.897e-01	-1.260e-01	3.991e-01	6.500e-01	4.507e-01	8.188e-01	4.500e-01	1.750e-01	8.750e-01
2.600e+03	1.044e-01	-1.270e-01	3.563e-01	6.523e-01	4.483e-01	8.140e-01	4.500e-01	2.400e-01	8.750e-01
2.700e+03	1.900e-01	-1.253e-01	3.983e-01	6.220e-01	4.398e-01	7.803e-01	4.500e-01	1.000e-01	9.745e-01
2.800e+03	1.849e-01	-8.366e-02	3.716e-01	6.504e-01	4.425e-01	7.869e-01	5.378e-01	2.722e-01	9.999e-01
2.900e+03	2.116e-01	-1.015e-01	3.994e-01	6.753e-01	4.481e-01	7.747e-01	4.500e-01	2.382e-01	9.500e-01
3.000e+03	2.853e-01	-8.778e-02	4.000e-01	6.500e-01	4.488e-01	7.349e-01	7.999e-01	1.665e-01	1.000e+00
3.100e+03	3.098e-01	2.922e-02	4.000e-01	6.037e-01	4.478e-01	7.147e-01	8.695e-01	2.462e-01	1.000e+00
3.200e+03	2.739e-01	3.241e-02	3.995e-01	6.106e-01	4.295e-01	7.020e-01	5.378e-01	2.212e-01	1.000e+00
3.300e+03	2.148e-01	-4.797e-02	3.994e-01	6.182e-01	4.472e-01	7.670e-01	7.999e-01	2.486e-01	1.000e+00
3.400e+03	1.859e-01	-1.001e-01	3.573e-01	6.115e-01	4.481e-01	7.440e-01	7.999e-01	3.287e-01	1.000e+00
3.500e+03	1.914e-01	-1.293e-01	3.517e-01	5.988e-01	4.291e-01	7.361e-01	8.695e-01	4.000e-01	1.000e+00
3.600e+03	1.744e-01	-9.980e-02	3.557e-01	6.115e-01	4.291e-01	7.455e-01	7.471e-01	2.002e-01	1.000e+00
3.700e+03	1.777e-01	-1.335e-01	3.256e-01	5.973e-01	4.291e-01	7.443e-01	8.695e-01	4.000e-01	1.000e+00
3.800e+03	2.524e-01	-9.514e-02	3.367e-01	5.421e-01	4.200e-01	7.258e-01	8.500e-01	2.449e-01	1.000e+00
3.900e+03	2.433e-01	-9.702e-02	3.237e-01	6.096e-01	4.293e-01	7.422e-01	6.806e-01	2.339e-01	1.000e+00
4.000e+03	1.000e-01	-1.303e-01	2.956e-01	5.926e-01	4.293e-01	7.294e-01	8.750e-01	3.858e-01	1.000e+00
4.100e+03	2.106e-01	-1.287e-01	3.203e-01	5.949e-01	4.394e-01	7.732e-01	5.378e-01	8.328e-02	1.000e+00
4.200e+03	2.300e-01	-1.212e-01	3.263e-01	5.861e-01	4.008e-01	7.076e-01	5.153e-01	1.708e-01	1.000e+00
4.300e+03	2.330e-01	-1.244e-01	3.240e-01	5.756e-01	4.279e-01	7.412e-01	5.153e-01	2.963e-01	9.999e-01
4.400e+03	2.468e-01	-1.285e-01	3.548e-01	6.290e-01	4.925e-01	7.269e-01	8.500e-01	2.839e-01	1.000e+00
4.500e+03	1.395e-01	-1.269e-01	3.245e-01	6.037e-01	4.485e-01	7.662e-01	5.153e-01	1.500e-01	1.000e+00
4.600e+03	2.320e-01	-1.258e-01	3.506e-01	5.613e-01	3.859e-01	7.619e-01	8.049e-01	2.002e-01	1.000e+00
4.700e+03	2.317e-01	-1.268e-01	3.526e-01	5.991e-01	4.292e-01	7.255e-01	8.500e-01	2.002e-01	1.000e+00
4.800e+03	2.524e-01	-1.001e-01	3.791e-01	5.810e-01	4.198e-01	7.169e-01	8.500e-01	2.002e-01	1.000e+00
4.900e+03	2.413e-01	-1.001e-01	3.528e-01	6.074e-01	4.291e-01	7.335e-01	8.905e-01	3.362e-01	1.000e+00
5.000e+03	2.587e-01	-9.283e-04	3.785e-01	5.517e-01	4.158e-01	7.495e-01	8.500e-01	3.980e-01	1.000e+00
5.100e+03	2.366e-01	-1.000e-01	3.540e-01	5.824e-01	3.737e-01	7.279e-01	8.750e-01	2.830e-01	1.000e+00
5.200e+03	2.028e-01	-1.301e-01	3.555e-01	5.887e-01	4.289e-01	7.435e-01	8.750e-01	4.000e-01	1.000e+00
5.300e+03	2.321e-01	-1.256e-01	3.493e-01	5.862e-01	4.101e-01	6.852e-01	8.750e-01	3.983e-01	1.000e+00
5.400e+03	2.162e-01	-1.000e-01	3.543e-01	5.954e-01	4.295e-01	7.540e-01	8.500e-01	2.175e-01	1.000e+00
