n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	4.946e-01	8.221e-02	5.000e-01	4.854e-01	3.710e-01	4.995e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.747e-01	1.099e-01	5.000e-01	4.991e-01	4.007e-01	8.324e-01	5.000e-01	4.999e-01	5.000e-01
3.000e+02	2.166e-01	8.449e-02	5.000e-01	4.905e-01	2.425e-01	8.657e-01	5.000e-01	1.360e-01	5.000e-01
4.000e+02	1.864e-01	8.522e-02	3.905e-01	5.003e-01	3.445e-01	7.642e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	2.260e-01	9.846e-02	4.953e-01	5.611e-01	4.213e-01	8.681e-01	5.000e-01	9.607e-11	5.000e-01
6.000e+02	1.984e-01	8.135e-02	3.828e-01	5.076e-01	3.493e-01	7.141e-01	5.000e-01	0.000e+00	5.000e-01
7.000e+02	1.923e-01	1.174e-01	3.949e-01	5.067e-01	4.475e-01	8.080e-01	5.000e-01	0.000e+00	5.000e-01
8.000e+02	1.841e-01	1.125e-01	3.710e-01	5.078e-01	3.455e-01	8.454e-01	5.000e-01	3.497e-15	5.000e-01
9.000e+02	1.941e-01	9.626e-02	3.725e-01	5.057e-01	1.624e-01	7.708e-01	5.000e-01	3.497e-15	5.000e-01
1.000e+03	1.844e-01	1.171e-01	2.975e-01	5.875e-01	2.914e-01	9.228e-01	5.000e-01	2.811e-02	5.000e-01
1.100e+03	1.601e-01	4.733e-02	2.855e-01	5.743e-01	3.031e-01	8.597e-01	5.000e-01	0.000e+00	5.000e-01
1.200e+03	1.586e-01	7.369e-02	2.834e-01	5.078e-01	3.585e-01	8.311e-01	5.000e-01	3.497e-15	5.000e-01
1.300e+03	1.751e-01	8.106e-02	2.914e-01	4.978e-01	2.603e-01	8.248e-01	5.000e-01	1.388e-16	5.000e-01
1.400e+03	1.849e-01	7.800e-02	2.689e-01	5.358e-01	3.209e-01	7.730e-01	5.000e-01	3.497e-15	5.000e-01
1.500e+03	1.699e-01	7.402e-02	2.811e-01	4.995e-01	3.322e-01	7.559e-01	5.000e-01	0.000e+00	5.000e-01
1.600e+03	1.722e-01	7.317e-02	2.705e-01	5.009e-01	3.006e-01	7.534e-01	2.239e-01	0.000e+00	5.000e-01
1.700e+03	1.546e-01	7.114e-02	2.748e-01	4.981e-01	2.834e-01	7.912e-01	1.907e-05	-9.090e-03	5.000e-01
1.800e+03	1.572e-01	5.286e-02	2.798e-01	4.352e-01	2.610e-01	6.319e-01	5.000e-01	0.000e+00	7.248e-01
1.900e+03	1.705e-01	7.054e-02	3.001e-01	4.998e-01	2.637e-01	6.903e-01	1.862e-02	0.000e+00	5.000e-01
2.000e+03	1.844e-01	7.177e-02	2.500e-01	4.974e-01	2.863e-01	8.619e-01	5.000e-01	0.000e+00	5.000e-01
2.100e+03	1.661e-01	8.869e-02	2.565e-01	5.011e-01	2.864e-01	7.900e-01	4.993e-01	0.000e+00	5.000e-01
2.200e+03	1.725e-01	7.982e-02	2.884e-01	5.123e-01	3.216e-01	8.083e-01	5.000e-01	3.497e-15	6.435e-01
2.300e+03	1.654e-01	7.478e-02	2.711e-01	4.972e-01	2.618e-01	7.678e-01	5.000e-01	2.921e-12	1.000e+00
2.400e+03	1.593e-01	7.455e-02	2.608e-01	5.011e-01	2.428e-01	9.090e-01	5.000e-01	0.000e+00	5.000e-01
