n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	4.506e-01	5.583e-02	4.924e-01	4.840e-01	3.510e-01	5.342e-01	1.781e-01	-7.699e-03	4.249e-01
2.000e+02	1.286e-01	5.161e-02	4.903e-01	5.342e-01	4.108e-01	7.045e-01	1.346e-01	-1.095e-01	4.249e-01
3.000e+02	7.880e-02	4.327e-02	4.869e-01	6.329e-01	4.108e-01	8.483e-01	1.735e-01	-1.145e-01	3.862e-01
4.000e+02	7.880e-02	4.756e-02	4.781e-01	7.007e-01	4.108e-01	8.545e-01	1.864e-01	2.485e-02	4.360e-01
5.000e+02	7.701e-02	4.327e-02	4.506e-01	7.007e-01	4.845e-01	8.602e-01	1.903e-01	2.485e-02	4.688e-01
6.000e+02	6.691e-02	3.006e-02	3.595e-01	6.555e-01	4.648e-01	8.545e-01	2.437e-01	2.485e-02	4.688e-01
7.000e+02	6.691e-02	3.006e-02	3.595e-01	6.766e-01	4.845e-01	8.545e-01	2.667e-01	5.770e-02	4.784e-01
8.000e+02	6.691e-02	3.006e-02	3.595e-01	6.058e-01	3.850e-01	8.483e-01	2.667e-01	5.770e-02	4.755e-01
9.000e+02	5.983e-02	2.529e-02	2.763e-01	5.916e-01	3.850e-01	8.450e-01	2.992e-01	1.903e-01	4.688e-01
1.000e+03	5.907e-02	1.382e-02	1.286e-01	6.058e-01	3.850e-01	8.426e-01	2.992e-01	1.864e-01	4.359e-01
1.100e+03	5.569e-02	1.039e-02	7.880e-02	5.916e-01	3.583e-01	8.426e-01	3.802e-01	2.337e-01	4.784e-01
