n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
1.000e+02	3.896e-09	0.000e+00	1.686e-02	6.321e-03	2.816e-03	1.557e-02	2.135e-08	0.000e+00	3.819e-01
2.000e+02	1.578e-02	2.034e-09	6.472e-02	1.607e-02	1.097e-02	2.816e-02	1.405e-01	0.000e+00	3.819e-01
3.000e+02	2.811e-02	3.421e-07	8.849e-02	1.873e-02	1.204e-02	2.990e-02	1.654e-01	0.000e+00	3.819e-01
4.000e+02	5.268e-02	1.604e-03	9.922e-02	1.679e-02	1.204e-02	2.776e-02	1.767e-01	0.000e+00	4.872e-01
5.000e+02	7.934e-02	6.024e-03	9.922e-02	1.679e-02	1.204e-02	2.776e-02	2.120e-01	2.044e-11	4.913e-01
6.000e+02	8.668e-02	2.028e-02	1.144e-01	1.806e-02	1.374e-02	2.776e-02	1.654e-01	0.000e+00	4.074e-01
7.000e+02	8.849e-02	5.268e-02	1.161e-01	1.873e-02	1.421e-02	2.816e-02	1.396e-01	0.000e+00	4.074e-01
8.000e+02	8.888e-02	6.589e-02	1.116e-01	1.873e-02	1.374e-02	2.816e-02	2.120e-01	5.551e-17	4.154e-01
9.000e+02	7.934e-02	5.268e-02	1.014e-01	1.922e-02	1.374e-02	2.816e-02	2.165e-01	2.670e-07	4.154e-01
1.000e+03	7.763e-02	5.268e-02	9.673e-02	1.922e-02	1.374e-02	2.816e-02	1.396e-01	9.590e-09	4.154e-01
1.100e+03	7.763e-02	5.301e-02	9.769e-02	1.922e-02	1.374e-02	2.816e-02	3.656e-03	3.103e-16	4.154e-01
1.200e+03	7.763e-02	5.301e-02	9.769e-02	1.922e-02	1.374e-02	2.816e-02	1.830e-03	3.103e-16	4.154e-01
1.300e+03	7.934e-02	5.495e-02	1.001e-01	1.873e-02	1.097e-02	2.776e-02	1.784e-07	0.000e+00	4.074e-01
1.400e+03	7.763e-02	5.301e-02	1.002e-01	1.873e-02	1.097e-02	2.776e-02	1.784e-07	0.000e+00	4.112e-01
1.500e+03	7.763e-02	5.301e-02	1.031e-01	1.873e-02	1.250e-02	2.776e-02	3.734e-06	0.000e+00	4.112e-01
1.600e+03	7.934e-02	5.301e-02	1.033e-01	1.873e-02	1.250e-02	2.776e-02	3.332e-08	0.000e+00	4.038e-01
1.700e+03	7.934e-02	5.301e-02	1.031e-01	1.873e-02	1.250e-02	2.816e-02	3.332e-08	4.472e-19	4.038e-01
1.800e+03	8.684e-02	5.301e-02	1.233e-01	1.873e-02	1.250e-02	2.816e-02	3.332e-08	4.472e-19	3.056e-01
1.900e+03	8.684e-02	5.301e-02	1.233e-01	1.873e-02	1.250e-02	2.816e-02	3.332e-08	4.472e-19	3.056e-01
2.000e+03	8.684e-02	5.863e-02	1.236e-01	1.873e-02	1.250e-02	2.816e-02	3.332e-08	4.472e-19	3.056e-01
2.100e+03	7.934e-02	5.268e-02	1.236e-01	1.873e-02	1.250e-02	2.816e-02	9.590e-09	0.000e+00	2.165e-01
2.200e+03	7.763e-02	5.505e-02	1.002e-01	1.873e-02	1.250e-02	2.816e-02	7.894e-10	0.000e+00	2.165e-01
2.300e+03	7.184e-02	5.268e-02	1.002e-01	1.873e-02	1.250e-02	2.816e-02	7.894e-10	0.000e+00	2.165e-01
2.400e+03	7.184e-02	5.268e-02	1.002e-01	1.873e-02	1.250e-02	2.816e-02	3.987e-10	0.000e+00	2.165e-01
