n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	5.000e-01	2.567e-01	5.000e-01	7.026e-01	4.752e-01	8.274e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.796e-01	2.462e-01	5.000e-01	7.331e-01	5.007e-01	9.006e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	2.665e-01	2.343e-01	5.000e-01	8.296e-01	5.151e-01	9.552e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	2.698e-01	2.390e-01	5.000e-01	8.307e-01	4.998e-01	9.534e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	2.698e-01	2.448e-01	4.999e-01	8.294e-01	5.049e-01	9.950e-01	5.000e-01	1.438e-05	5.000e-01
6.000e+02	2.560e-01	2.408e-01	3.095e-01	7.007e-01	5.004e-01	9.649e-01	5.000e-01	3.798e-01	5.000e-01
7.000e+02	2.533e-01	2.371e-01	2.723e-01	7.841e-01	4.023e-01	9.829e-01	5.000e-01	4.910e-01	5.000e-01
8.000e+02	2.503e-01	2.393e-01	2.700e-01	6.975e-01	4.995e-01	9.567e-01	5.000e-01	2.468e-02	5.000e-01
9.000e+02	2.503e-01	2.389e-01	2.698e-01	6.688e-01	4.009e-01	9.814e-01	5.000e-01	1.355e-05	5.000e-01
1.000e+03	2.457e-01	2.361e-01	2.551e-01	5.001e-01	2.973e-01	8.094e-01	5.000e-01	5.045e-09	5.000e-01
1.100e+03	2.441e-01	2.287e-01	2.565e-01	7.955e-01	4.945e-01	9.732e-01	5.000e-01	2.951e-02	5.000e-01
1.200e+03	2.457e-01	2.287e-01	2.545e-01	7.518e-01	3.984e-01	9.853e-01	5.000e-01	4.782e-05	5.000e-01
1.300e+03	2.442e-01	2.289e-01	2.551e-01	8.208e-01	4.972e-01	9.373e-01	5.000e-01	2.911e-05	5.000e-01
1.400e+03	2.457e-01	2.288e-01	2.551e-01	5.224e-01	3.230e-01	9.409e-01	5.000e-01	3.045e-05	5.000e-01
1.500e+03	2.551e-01	2.368e-01	3.169e-01	7.638e-01	3.803e-01	9.370e-01	5.000e-01	1.726e-06	5.000e-01
1.600e+03	2.503e-01	2.311e-01	2.911e-01	5.000e-01	2.679e-01	9.604e-01	5.000e-01	1.045e-04	5.000e-01
1.700e+03	2.430e-01	2.274e-01	2.565e-01	6.783e-01	3.189e-01	9.516e-01	5.000e-01	1.736e-02	5.000e-01
1.800e+03	2.442e-01	2.287e-01	2.707e-01	5.000e-01	2.896e-01	9.088e-01	5.000e-01	1.522e-01	5.000e-01
1.900e+03	2.442e-01	2.237e-01	2.670e-01	5.000e-01	2.918e-01	9.701e-01	5.000e-01	0.000e+00	5.000e-01
2.000e+03	2.442e-01	2.287e-01	2.670e-01	5.004e-01	3.698e-01	9.612e-01	5.000e-01	4.189e-06	5.000e-01
2.100e+03	2.394e-01	2.116e-01	2.508e-01	5.131e-01	3.300e-01	9.511e-01	5.000e-01	9.558e-03	5.000e-01
2.200e+03	2.468e-01	2.311e-01	3.155e-01	6.541e-01	3.203e-01	9.550e-01	5.000e-01	1.802e-01	5.000e-01
2.300e+03	2.394e-01	2.097e-01	2.565e-01	7.792e-01	3.071e-01	9.575e-01	5.000e-01	1.789e-03	5.000e-01
2.400e+03	2.370e-01	2.097e-01	2.468e-01	6.200e-01	3.034e-01	9.518e-01	5.000e-01	2.613e-02	5.000e-01
2.500e+03	2.349e-01	2.097e-01	2.508e-01	5.974e-01	3.011e-01	9.514e-01	5.000e-01	1.124e-01	5.000e-01
2.600e+03	2.394e-01	2.116e-01	2.696e-01	6.599e-01	3.478e-01	9.674e-01	5.000e-01	3.888e-01	5.000e-01
2.700e+03	2.398e-01	2.097e-01	2.508e-01	7.515e-01	3.945e-01	9.838e-01	5.000e-01	9.870e-02	5.000e-01
2.800e+03	2.423e-01	2.211e-01	2.591e-01	5.338e-01	2.910e-01	9.555e-01	5.000e-01	8.762e-02	5.000e-01
2.900e+03	2.398e-01	2.255e-01	2.524e-01	5.100e-01	3.755e-01	9.549e-01	5.000e-01	1.925e-02	5.000e-01
3.000e+03	2.442e-01	2.323e-01	2.700e-01	6.341e-01	3.386e-01	9.604e-01	5.000e-01	1.789e-03	5.000e-01
3.100e+03	2.398e-01	2.286e-01	2.568e-01	7.636e-01	3.444e-01	9.778e-01	5.000e-01	2.319e-02	5.000e-01
3.200e+03	2.442e-01	2.336e-01	2.798e-01	7.479e-01	3.663e-01	9.663e-01	5.000e-01	1.682e-04	5.000e-01
3.300e+03	2.336e-01	2.030e-01	2.442e-01	5.143e-01	3.578e-01	9.398e-01	5.000e-01	5.024e-02	5.000e-01
3.400e+03	2.442e-01	2.088e-01	2.700e-01	4.906e-01	1.855e-01	8.466e-01	5.000e-01	1.540e-02	5.000e-01
3.500e+03	2.370e-01	2.005e-01	2.462e-01	5.509e-01	2.206e-01	9.517e-01	5.000e-01	1.466e-03	5.000e-01
3.600e+03	2.420e-01	2.132e-01	2.480e-01	5.911e-01	2.923e-01	9.809e-01	5.000e-01	1.535e-01	5.000e-01
3.700e+03	2.446e-01	2.212e-01	2.700e-01	4.998e-01	2.454e-01	9.536e-01	5.000e-01	3.835e-02	5.000e-01
3.800e+03	2.406e-01	2.116e-01	2.707e-01	4.118e-01	2.292e-01	9.530e-01	5.000e-01	1.789e-03	5.000e-01
3.900e+03	2.442e-01	2.132e-01	2.632e-01	4.220e-01	2.684e-01	7.375e-01	5.000e-01	3.957e-07	5.000e-01
4.000e+03	2.423e-01	2.167e-01	2.568e-01	5.000e-01	2.749e-01	8.030e-01	5.000e-01	1.466e-03	5.000e-01
4.100e+03	2.423e-01	2.211e-01	2.568e-01	4.922e-01	3.354e-01	9.608e-01	5.000e-01	0.000e+00	5.000e-01
4.200e+03	2.465e-01	2.289e-01	2.777e-01	6.043e-01	3.043e-01	9.573e-01	5.000e-01	1.466e-03	5.000e-01
4.300e+03	2.379e-01	2.132e-01	2.651e-01	4.127e-01	2.122e-01	8.314e-01	5.000e-01	3.957e-07	5.000e-01
4.400e+03	2.397e-01	2.212e-01	2.542e-01	5.012e-01	2.553e-01	9.541e-01	5.000e-01	3.304e-06	5.000e-01
4.500e+03	2.408e-01	2.316e-01	2.547e-01	5.557e-01	2.569e-01	9.529e-01	5.000e-01	5.797e-05	5.000e-01
4.600e+03	2.397e-01	2.169e-01	2.669e-01	5.698e-01	3.065e-01	9.767e-01	5.000e-01	2.132e-05	5.000e-01
