n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	4.521e-01	3.026e-01	4.906e-01	7.133e-01	4.825e-01	8.156e-01	1.662e-01	1.127e-01	4.143e-01
2.000e+02	3.567e-01	2.981e-01	4.546e-01	7.814e-01	6.660e-01	8.370e-01	1.800e-01	1.305e-01	4.258e-01
3.000e+02	3.197e-01	2.857e-01	4.546e-01	7.814e-01	7.043e-01	8.403e-01	1.800e-01	1.305e-01	3.702e-01
4.000e+02	3.166e-01	2.857e-01	4.546e-01	7.973e-01	7.313e-01	8.639e-01	2.627e-01	1.322e-01	4.307e-01
5.000e+02	3.086e-01	2.857e-01	4.372e-01	7.973e-01	7.313e-01	8.639e-01	1.873e-01	4.950e-02	4.307e-01
6.000e+02	3.062e-01	2.864e-01	3.238e-01	7.835e-01	7.178e-01	8.536e-01	2.285e-01	1.135e-01	5.661e-01
7.000e+02	3.070e-01	2.857e-01	3.312e-01	7.814e-01	6.842e-01	8.370e-01	2.175e-01	1.135e-01	5.171e-01
8.000e+02	3.056e-01	2.857e-01	3.200e-01	7.814e-01	6.571e-01	8.370e-01	1.786e-01	8.626e-02	5.268e-01
9.000e+02	3.063e-01	2.857e-01	3.225e-01	7.515e-01	6.302e-01	8.214e-01	2.285e-01	8.626e-02	5.716e-01
1.000e+03	3.010e-01	2.839e-01	3.373e-01	7.515e-01	6.302e-01	8.214e-01	1.786e-01	5.857e-02	5.166e-01
1.100e+03	3.063e-01	2.854e-01	3.373e-01	7.515e-01	6.302e-01	8.214e-01	1.575e-01	5.857e-02	4.896e-01
1.200e+03	3.070e-01	2.892e-01	3.373e-01	7.515e-01	6.302e-01	8.214e-01	1.575e-01	5.857e-02	4.211e-01
1.300e+03	3.070e-01	2.892e-01	3.373e-01	7.421e-01	5.954e-01	8.214e-01	1.343e-01	4.950e-02	4.092e-01
1.400e+03	3.070e-01	2.857e-01	3.373e-01	7.421e-01	5.954e-01	8.214e-01	1.405e-01	7.696e-02	4.092e-01
1.500e+03	3.075e-01	2.854e-01	3.543e-01	7.313e-01	5.799e-01	8.156e-01	1.343e-01	5.857e-02	4.092e-01
