n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
1.000e+02	9.647e-03	4.297e-05	1.427e-02	8.104e-03	3.843e-03	1.344e-02	8.978e-03	2.178e-09	2.164e-01
2.000e+02	1.148e-02	4.297e-05	1.465e-02	9.525e-03	5.197e-03	1.424e-02	7.697e-02	1.010e-08	2.544e-01
3.000e+02	1.148e-02	4.297e-05	1.465e-02	9.691e-03	5.384e-03	1.424e-02	2.165e-01	2.402e-06	3.793e-01
4.000e+02	1.148e-02	4.297e-05	1.465e-02	1.144e-02	7.733e-03	1.783e-02	1.835e-01	1.311e-06	3.818e-01
5.000e+02	1.148e-02	4.297e-05	1.465e-02	1.308e-02	7.866e-03	1.834e-02	1.654e-01	1.373e-08	3.635e-01
6.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	8.203e-03	1.947e-02	3.400e-02	1.373e-08	2.544e-01
7.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	9.525e-03	2.203e-02	3.029e-03	1.430e-07	2.544e-01
8.000e+02	1.148e-02	4.297e-05	1.465e-02	1.424e-02	9.525e-03	1.947e-02	1.598e-04	1.430e-07	2.448e-01
9.000e+02	1.148e-02	4.297e-05	1.465e-02	1.610e-02	9.525e-03	2.247e-02	2.689e-05	2.099e-08	2.165e-01
1.000e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.125e-02	2.203e-02	2.689e-05	6.914e-08	2.448e-01
1.100e+03	1.148e-02	4.297e-05	1.543e-02	1.438e-02	1.125e-02	1.947e-02	2.689e-05	6.914e-08	2.448e-01
1.200e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.125e-02	2.203e-02	2.689e-05	2.099e-08	1.654e-01
1.300e+03	1.148e-02	4.297e-05	1.543e-02	1.498e-02	1.144e-02	2.203e-02	2.689e-05	1.503e-08	1.654e-01
1.400e+03	1.148e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	2.203e-02	2.344e-05	5.002e-08	1.633e-01
1.500e+03	1.148e-02	4.297e-05	1.543e-02	1.725e-02	1.125e-02	2.331e-02	1.879e-05	3.370e-08	3.313e-02
1.600e+03	1.148e-02	4.297e-05	1.543e-02	1.755e-02	1.250e-02	2.399e-02	3.223e-06	5.002e-08	3.313e-02
1.700e+03	1.148e-02	4.297e-05	1.543e-02	1.755e-02	1.250e-02	2.399e-02	2.225e-06	3.370e-08	1.598e-04
1.800e+03	1.148e-02	4.297e-05	1.543e-02	1.725e-02	1.250e-02	2.331e-02	1.187e-06	1.503e-08	6.278e-05
1.900e+03	1.148e-02	4.297e-05	1.543e-02	1.635e-02	1.228e-02	2.331e-02	2.225e-06	4.377e-09	6.865e-05
2.000e+03	1.148e-02	4.297e-05	1.543e-02	1.590e-02	1.125e-02	2.203e-02	1.187e-06	4.377e-09	6.278e-05
2.100e+03	1.162e-02	4.297e-05	1.571e-02	1.590e-02	1.125e-02	1.800e-02	2.225e-06	4.713e-10	6.278e-05
2.200e+03	1.162e-02	4.297e-05	1.571e-02	1.635e-02	1.167e-02	2.331e-02	2.225e-06	1.214e-09	6.278e-05
2.300e+03	1.162e-02	4.297e-05	1.571e-02	1.624e-02	1.167e-02	2.203e-02	2.225e-06	1.214e-09	6.278e-05
2.400e+03	1.162e-02	4.297e-05	1.543e-02	1.624e-02	1.167e-02	2.203e-02	2.225e-06	4.377e-09	6.278e-05
2.500e+03	1.162e-02	4.297e-05	1.543e-02	1.589e-02	1.125e-02	1.779e-02	1.187e-06	4.377e-09	6.278e-05
2.600e+03	1.162e-02	4.297e-05	1.571e-02	1.589e-02	1.125e-02	1.779e-02	1.187e-06	4.377e-09	6.278e-05
2.700e+03	1.162e-02	4.297e-05	1.571e-02	1.589e-02	1.125e-02	1.779e-02	1.187e-06	4.377e-09	6.278e-05
2.800e+03	1.148e-02	4.297e-05	1.543e-02	1.589e-02	1.125e-02	1.787e-02	1.187e-06	4.377e-09	6.278e-05
2.900e+03	1.148e-02	4.297e-05	1.543e-02	1.590e-02	1.125e-02	1.787e-02	1.187e-06	1.214e-09	6.278e-05
3.000e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	1.187e-06	1.214e-09	6.278e-05
3.100e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	2.225e-06	1.214e-09	6.865e-05
3.200e+03	1.131e-02	4.297e-05	1.543e-02	1.577e-02	1.125e-02	1.787e-02	2.225e-06	1.214e-09	6.865e-05
3.300e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	2.225e-06	1.214e-09	6.865e-05
3.400e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	3.456e-06	4.377e-09	1.038e-02
3.500e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	3.456e-06	4.377e-09	1.038e-02
3.600e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.761e-02	2.225e-06	2.709e-09	6.865e-05
3.700e+03	1.131e-02	4.297e-05	1.543e-02	1.464e-02	1.118e-02	1.688e-02	1.430e-07	2.709e-09	6.278e-05
3.800e+03	1.131e-02	4.297e-05	1.543e-02	1.446e-02	1.074e-02	1.688e-02	5.862e-08	1.214e-09	5.607e-05
3.900e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.074e-02	1.688e-02	5.002e-08	1.163e-09	2.344e-05
4.000e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.074e-02	1.688e-02	5.002e-08	1.163e-09	2.344e-05
4.100e+03	1.131e-02	4.297e-05	1.556e-02	1.464e-02	1.074e-02	1.725e-02	2.450e-08	1.125e-09	2.344e-05
4.200e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.725e-02	2.450e-08	1.010e-09	2.344e-05
4.300e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	7.910e-09	3.655e-10	1.879e-05
4.400e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	7.910e-09	3.655e-10	1.879e-05
4.500e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	7.910e-09	3.655e-10	1.879e-05
4.600e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.594e-02	9.585e-09	3.655e-10	1.879e-05
4.700e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	9.585e-09	3.655e-10	1.879e-05
4.800e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	9.585e-09	3.655e-10	1.879e-05
4.900e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	9.585e-09	2.091e-10	1.879e-05
5.000e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	7.910e-09	2.292e-11	1.879e-05
5.100e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	7.910e-09	2.292e-11	2.489e-06
5.200e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	7.910e-09	2.292e-11	2.489e-06
5.300e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	7.910e-09	2.292e-11	2.489e-06
5.400e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	2.450e-08	2.292e-11	6.278e-05
5.500e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	9.585e-09	2.292e-11	6.278e-05
5.600e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	9.585e-09	2.292e-11	6.278e-05
5.700e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	2.450e-08	2.292e-11	1.933e-03
5.800e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	2.450e-08	2.292e-11	1.933e-03
5.900e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	2.450e-08	2.292e-11	1.933e-03
6.000e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	2.450e-08	2.292e-11	1.933e-03
6.100e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	2.450e-08	2.292e-11	1.933e-03
6.200e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	2.450e-08	2.292e-11	3.342e-03
6.300e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	2.450e-08	2.292e-11	3.342e-03
6.400e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.701e-02	2.450e-08	2.292e-11	1.933e-03
6.500e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.701e-02	2.450e-08	2.292e-11	1.933e-03
6.600e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.471e-04
6.700e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.471e-04
6.800e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.471e-04
6.900e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.471e-04
7.000e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
7.100e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
7.200e+03	1.148e-02	6.728e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
7.300e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
7.400e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
7.500e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
7.600e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
7.700e+03	1.148e-02	1.988e-05	1.556e-02	1.337e-02	9.781e-03	1.688e-02	4.641e-08	2.292e-11	1.933e-03
7.800e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.860e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
7.900e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.860e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
8.000e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
8.100e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
8.200e+03	1.148e-02	1.988e-05	1.556e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	1.933e-03
8.300e+03	1.131e-02	1.988e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	1.933e-03
8.400e+03	1.131e-02	1.988e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	1.933e-03
8.500e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	1.933e-03
8.600e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	1.933e-03
8.700e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	1.933e-03
8.800e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	3.342e-03
8.900e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	3.342e-03
9.000e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	3.342e-03
9.100e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	4.641e-08	2.292e-11	3.342e-03
9.200e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
9.300e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
9.400e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.860e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
9.500e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.860e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
9.600e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
9.700e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
9.800e+03	1.131e-02	6.728e-05	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
9.900e+03	1.131e-02	2.629e-04	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
1.000e+04	1.131e-02	2.629e-04	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
1.010e+04	1.131e-02	2.629e-04	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
1.020e+04	1.131e-02	2.629e-04	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
1.030e+04	1.131e-02	2.629e-04	1.543e-02	1.344e-02	9.781e-03	1.701e-02	2.450e-08	2.292e-11	3.342e-03
1.040e+04	1.131e-02	2.629e-04	1.543e-02	1.337e-02	9.781e-03	1.688e-02	2.450e-08	2.292e-11	3.342e-03
1.050e+04	1.131e-02	2.629e-04	1.543e-02	1.337e-02	9.781e-03	1.688e-02	4.641e-08	2.091e-10	3.342e-03
1.060e+04	1.131e-02	2.629e-04	1.543e-02	1.344e-02	9.781e-03	1.688e-02	1.430e-07	2.091e-10	3.997e-03
1.070e+04	9.647e-03	2.629e-04	1.543e-02	1.344e-02	9.781e-03	1.688e-02	1.430e-07	2.091e-10	3.997e-03
1.080e+04	9.647e-03	2.629e-04	1.543e-02	1.344e-02	9.781e-03	1.688e-02	1.430e-07	2.091e-10	3.997e-03
1.090e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.997e-03
1.100e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.997e-03
1.110e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.997e-03
1.120e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.997e-03
1.130e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.997e-03
1.140e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.342e-03
1.150e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.342e-03
1.160e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.342e-03
1.170e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.342e-03
1.180e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.342e-03
1.190e+04	8.461e-03	2.629e-04	1.543e-02	1.344e-02	9.860e-03	1.688e-02	4.641e-08	2.091e-10	3.342e-03
1.200e+04	8.461e-03	2.629e-04	1.543e-02	1.344e-02	9.860e-03	1.688e-02	4.641e-08	2.091e-10	3.342e-03
1.210e+04	8.461e-03	2.629e-04	1.543e-02	1.344e-02	9.860e-03	1.688e-02	4.641e-08	2.091e-10	3.342e-03
1.220e+04	8.461e-03	2.629e-04	1.543e-02	1.344e-02	9.860e-03	1.688e-02	4.641e-08	2.091e-10	3.342e-03
1.230e+04	8.461e-03	2.629e-04	1.543e-02	1.417e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.342e-03
1.240e+04	8.461e-03	2.629e-04	1.543e-02	1.344e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.342e-03
1.250e+04	8.461e-03	2.629e-04	1.488e-02	1.344e-02	9.860e-03	1.701e-02	4.641e-08	2.091e-10	3.342e-03
