problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;me-hebbian-network;12;[2];250;25000;25000;1.79890e+01;55;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;3.04470e-01;1.69523e-02
xor;me-hebbian-network;30;[2];250;25000;25000;1.80320e+01;54;9;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.86250e-01;8.84114e-03
xor;me-hebbian-network;3;[2];250;25000;25000;1.81250e+01;56;40;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;-2.55057e-02;5.07400e-03
xor;me-hebbian-network;7;[2];250;25000;25000;1.81250e+01;54;2;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.95688e-01;3.10827e-03
xor;me-hebbian-network;29;[2];250;25000;25000;1.81310e+01;79;13;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.50000e-01;3.58384e-01;3.63863e-02
xor;me-hebbian-network;25;[2];250;25000;25000;1.81610e+01;57;10;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.65568e-01;2.10614e-03
xor;me-hebbian-network;20;[2];250;25000;25000;1.82070e+01;55;8;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.62508e-01;2.89409e-06
xor;me-hebbian-network;13;[2];250;25000;25000;1.82170e+01;77;12;3;1.00000e+00;1.00000e+00;1.00000e+00;4;5.50000e-01;3.09962e-01;1.66481e-02
xor;me-hebbian-network;26;[2];250;25000;25000;1.82240e+01;54;5;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.47427e-01;1.76318e-02
xor;me-hebbian-network;11;[2];250;25000;25000;1.82430e+01;55;37;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;5.17131e-01;7.87886e-08
xor;me-hebbian-network;4;[2];250;25000;25000;1.82560e+01;54;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.45122e-01;5.27587e-04
xor;me-hebbian-network;1;[2];250;25000;25000;1.82490e+01;56;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;5.41430e-01;6.87620e-08
xor;me-hebbian-network;6;[2];250;25000;25000;1.82510e+01;54;39;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;5.11673e-01;1.96684e-08
xor;me-hebbian-network;2;[2];250;25000;25000;1.82640e+01;53;36;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;4.13074e-01;2.67495e-06
xor;me-hebbian-network;14;[2];250;25000;25000;1.82790e+01;57;2;5;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.54847e-01;5.17887e-04
xor;me-hebbian-network;16;[2];250;25000;25000;1.82870e+01;55;7;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.50887e-01;6.72837e-05
xor;me-hebbian-network;19;[2];250;25000;25000;1.82940e+01;56;6;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.33939e-01;1.53591e-03
xor;me-hebbian-network;24;[2];250;25000;25000;1.83180e+01;55;3;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;-1.70634e-02;1.01424e-02
xor;me-hebbian-network;5;[2];250;25000;25000;1.83290e+01;52;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.50000e-01;3.01870e-01;1.10927e-02
xor;me-hebbian-network;28;[2];250;25000;25000;1.83290e+01;55;40;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;-4.32720e-02;1.54318e-02
xor;me-hebbian-network;8;[2];250;25000;25000;1.83370e+01;56;7;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.96646e-01;1.48789e-02
xor;me-hebbian-network;9;[2];250;25000;25000;1.83420e+01;53;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;3.14265e-01;1.89240e-02
xor;me-hebbian-network;23;[2];250;25000;25000;1.83550e+01;55;8;3;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.45945e-01;5.10246e-03
xor;me-hebbian-network;10;[2];250;25000;25000;1.83530e+01;55;39;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;-1.00777e-01;2.03798e-02
xor;me-hebbian-network;17;[2];250;25000;25000;1.83560e+01;54;37;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;3.43546e-01;1.16227e-02
xor;me-hebbian-network;15;[2];250;25000;25000;1.83390e+01;53;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.14425e-01;1.73788e-03
xor;me-hebbian-network;18;[2];250;25000;25000;1.83440e+01;55;37;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;-7.70623e-02;1.75229e-02
xor;me-hebbian-network;22;[2];250;25000;25000;1.83590e+01;55;8;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.56974e-01;1.29533e-02
xor;me-hebbian-network;21;[2];250;25000;25000;1.83640e+01;78;8;3;1.00000e+00;1.00000e+00;1.00000e+00;4;5.50000e-01;3.85474e-01;9.55500e-02
xor;me-hebbian-network;27;[2];250;25000;25000;1.83780e+01;56;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;1.95763e-01;7.86251e-02
xor;me-hebbian-synapse;1;[2];250;25000;25000;1.83370e+01;98;63;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.61031e-02;1.07355e-02
xor;me-hebbian-synapse;5;[2];250;25000;25000;1.84370e+01;97;69;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;7.13382e-02;1.70134e-02
xor;me-hebbian-synapse;4;[2];250;25000;25000;1.84670e+01;92;60;3;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.37102e-02;8.87664e-03
xor;me-hebbian-synapse;3;[2];250;25000;25000;1.85090e+01;97;70;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.48880e-02;1.04912e-02
xor;me-hebbian-synapse;6;[2];250;25000;25000;1.85140e+01;92;68;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.18308e-01;1.46847e-02
xor;me-hebbian-synapse;7;[2];250;25000;25000;1.85230e+01;100;67;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.46139e-02;1.28643e-02
xor;me-hebbian-synapse;9;[2];250;25000;25000;1.85600e+01;100;76;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.32338e-01;1.29119e-02
xor;me-hebbian-synapse;2;[2];250;25000;25000;1.86810e+01;97;67;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.74109e-01;1.58890e-02
xor;me-hebbian-synapse;23;[2];250;25000;25000;1.84340e+01;100;74;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.90297e-01;2.78958e-02
xor;me-hebbian-synapse;8;[2];250;25000;25000;1.85860e+01;98;58;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.95127e-01;1.58114e-02
xor;me-hebbian-synapse;12;[2];250;25000;25000;1.85660e+01;97;77;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;8.96135e-02;1.38821e-02
xor;me-hebbian-synapse;14;[2];250;25000;25000;1.85980e+01;97;77;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;5.38566e-02;1.25141e-02
xor;me-hebbian-synapse;26;[2];250;25000;25000;1.96640e+01;100;78;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.05102e-02;1.76937e-02
xor;me-hebbian-synapse;27;[2];250;25000;25000;1.96770e+01;100;65;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.67463e-01;1.11825e-02
xor;me-hebbian-synapse;17;[2];250;25000;25000;1.99290e+01;97;76;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.13696e-02;1.03971e-02
xor;me-hebbian-synapse;18;[2];250;25000;25000;1.99140e+01;100;64;4;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;6.48668e-02;1.82106e-02
xor;me-hebbian-synapse;16;[2];250;25000;25000;1.99930e+01;100;61;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.58298e-02;9.18764e-03
xor;me-hebbian-synapse;20;[2];250;25000;25000;1.99660e+01;100;50;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.96023e-01;3.46993e-02
xor;me-hebbian-synapse;15;[2];250;25000;25000;2.29260e+01;99;68;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;2.84745e-01;3.08164e-02
xor;me-hebbian-synapse;13;[2];250;25000;25000;2.29420e+01;100;67;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;4.73466e-01;1.41694e-02
xor;me-hebbian-synapse;25;[2];250;25000;25000;2.28400e+01;100;65;3;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;1.17261e-01;4.81363e-03
xor;me-hebbian-synapse;11;[2];250;25000;25000;2.29830e+01;100;65;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.92606e-01;5.37958e-03
xor;me-hebbian-synapse;21;[2];250;25000;25000;2.28760e+01;100;65;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;8.03327e-02;7.21351e-03
xor;me-hebbian-synapse;29;[2];250;25000;25000;2.27960e+01;100;70;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.64431e-01;1.34368e-02
xor;me-hebbian-synapse;10;[2];250;25000;25000;2.29720e+01;94;74;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.93737e-02;1.87093e-02
xor;me-hebbian-synapse;28;[2];250;25000;25000;2.53150e+01;97;72;2;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;9.35858e-02;1.46583e-02
xor;me-hebbian-synapse;22;[2];250;25000;25000;2.53710e+01;100;70;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;3.86109e-01;6.89483e-03
xor;me-hebbian-synapse;30;[2];250;25000;25000;2.53360e+01;98;79;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e+00;8.16316e-02;1.93138e-02
