problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;me-hebbian-network;8;[2, 2];250;25000;25000;2.08250e+01;50;40;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;3.47778e-02;6.34239e-02
xor;me-hebbian-network;13;[2, 2];250;25000;25000;2.12780e+01;49;43;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;2.05860e-03;1.51527e-02
xor;me-hebbian-network;1;[2, 2];250;25000;25000;2.13190e+01;50;41;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;7.88547e-02;2.89843e-02
xor;me-hebbian-network;18;[2, 2];250;25000;25000;2.13490e+01;48;43;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.06949e-02;1.96436e-02
xor;me-hebbian-network;23;[2, 2];250;25000;25000;2.13590e+01;50;42;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;7.05768e-02;4.82199e-02
xor;me-hebbian-network;4;[2, 2];250;25000;25000;2.13160e+01;51;44;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.66570e-01;8.10306e-03
xor;me-hebbian-network;12;[2, 2];250;25000;25000;2.13660e+01;48;39;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;2.47688e-02;1.77422e-02
xor;me-hebbian-network;10;[2, 2];250;25000;25000;2.13580e+01;49;40;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;8.86937e-02;6.15954e-02
xor;me-hebbian-network;27;[2, 2];250;25000;25000;2.13750e+01;48;40;3;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;6.94419e-02;1.40364e-02
xor;me-hebbian-network;7;[2, 2];250;25000;25000;2.14510e+01;48;39;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.92736e-01;1.08863e-04
xor;me-hebbian-network;15;[2, 2];250;25000;25000;2.14190e+01;48;39;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;6.07668e-02;1.29507e-02
xor;me-hebbian-network;25;[2, 2];250;25000;25000;2.14620e+01;49;39;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.54501e-02;1.19108e-02
xor;me-hebbian-network;3;[2, 2];250;25000;25000;2.14760e+01;51;45;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.35637e-02;1.12648e-02
xor;me-hebbian-network;5;[2, 2];250;25000;25000;2.14780e+01;51;43;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;1.38600e-01;2.97978e-02
xor;me-hebbian-network;11;[2, 2];250;25000;25000;2.14920e+01;48;39;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;3.35202e-02;1.49758e-02
xor;me-hebbian-network;14;[2, 2];250;25000;25000;2.15030e+01;50;39;11;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;6.05956e-02;1.25373e-02
xor;me-hebbian-network;26;[2, 2];250;25000;25000;2.14970e+01;50;40;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;9.88852e-02;1.50295e-02
xor;me-hebbian-network;24;[2, 2];250;25000;25000;2.15090e+01;51;43;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;1.31814e-01;1.00771e-02
xor;me-hebbian-network;28;[2, 2];250;25000;25000;2.14710e+01;50;40;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;1.60797e-02;1.36648e-02
xor;me-hebbian-network;17;[2, 2];250;25000;25000;2.15100e+01;49;41;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;2.73683e-01;4.70649e-02
xor;me-hebbian-network;6;[2, 2];250;25000;25000;2.15140e+01;47;38;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;7.25949e-03;7.57378e-03
xor;me-hebbian-network;16;[2, 2];250;25000;25000;2.15160e+01;48;39;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;-1.26028e-03;7.82855e-03
xor;me-hebbian-network;30;[2, 2];250;25000;25000;2.15210e+01;47;40;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;1.04695e-02;1.62965e-02
xor;me-hebbian-network;19;[2, 2];250;25000;25000;2.15200e+01;49;40;9;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;1.28138e-02;7.99864e-03
xor;me-hebbian-network;21;[2, 2];250;25000;25000;2.15220e+01;51;39;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;3.62103e-01;3.89318e-02
xor;me-hebbian-network;2;[2, 2];250;25000;25000;2.15290e+01;50;39;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;4.97129e-01;2.11258e-07
xor;me-hebbian-network;22;[2, 2];250;25000;25000;2.15530e+01;48;40;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;1.12111e-02;7.33514e-03
