n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	4.508e-01	2.932e-01	5.019e-01	7.578e-01	5.078e-01	8.652e-01	1.750e-01	1.250e-01	4.250e-01
2.000e+02	4.374e-01	3.056e-01	4.617e-01	8.357e-01	6.187e-01	8.705e-01	1.805e-01	1.250e-01	5.250e-01
3.000e+02	3.296e-01	2.932e-01	4.729e-01	8.357e-01	6.747e-01	8.705e-01	3.667e-01	1.250e-01	5.250e-01
4.000e+02	3.138e-01	2.929e-01	4.540e-01	8.357e-01	7.105e-01	8.705e-01	1.367e-01	1.250e-01	5.250e-01
5.000e+02	3.055e-01	2.922e-01	4.484e-01	8.357e-01	7.105e-01	8.705e-01	3.996e-01	1.250e-01	5.750e-01
6.000e+02	2.992e-01	2.922e-01	3.296e-01	8.360e-01	7.105e-01	9.191e-01	4.750e-01	1.263e-01	6.750e-01
7.000e+02	2.988e-01	2.918e-01	3.138e-01	8.360e-01	7.105e-01	9.191e-01	4.750e-01	1.263e-01	6.842e-01
8.000e+02	2.988e-01	2.896e-01	3.138e-01	8.360e-01	7.105e-01	9.191e-01	4.750e-01	2.750e-01	6.955e-01
9.000e+02	3.015e-01	2.903e-01	3.138e-01	8.357e-01	6.747e-01	8.705e-01	5.250e-01	2.750e-01	7.452e-01
1.000e+03	3.018e-01	2.925e-01	3.155e-01	8.357e-01	6.747e-01	8.705e-01	4.525e-01	1.252e-01	6.619e-01
1.100e+03	3.015e-01	2.903e-01	3.058e-01	8.357e-01	6.517e-01	8.705e-01	4.525e-01	1.250e-01	7.452e-01
1.200e+03	2.994e-01	2.903e-01	3.055e-01	8.357e-01	6.482e-01	8.705e-01	4.738e-01	1.252e-01	7.452e-01
1.300e+03	2.960e-01	2.892e-01	3.036e-01	8.122e-01	6.482e-01	8.666e-01	4.738e-01	1.252e-01	7.452e-01
1.400e+03	2.943e-01	2.808e-01	3.036e-01	7.962e-01	6.104e-01	8.666e-01	3.787e-01	1.250e-01	6.250e-01
1.500e+03	2.932e-01	2.808e-01	3.026e-01	7.962e-01	6.323e-01	8.666e-01	4.525e-01	1.251e-01	6.250e-01
1.600e+03	2.932e-01	2.808e-01	3.026e-01	7.962e-01	6.104e-01	8.666e-01	4.525e-01	1.251e-01	6.250e-01
1.700e+03	2.932e-01	2.788e-01	3.026e-01	7.962e-01	6.104e-01	8.666e-01	4.525e-01	1.251e-01	6.250e-01
1.800e+03	2.904e-01	2.788e-01	3.018e-01	7.962e-01	6.104e-01	8.666e-01	4.525e-01	1.250e-01	6.250e-01
1.900e+03	2.904e-01	2.788e-01	3.026e-01	7.962e-01	6.104e-01	8.666e-01	4.525e-01	1.250e-01	6.250e-01
2.000e+03	2.904e-01	2.788e-01	3.026e-01	7.926e-01	5.919e-01	8.666e-01	5.000e-01	1.250e-01	6.250e-01
2.100e+03	2.904e-01	2.788e-01	3.026e-01	7.926e-01	5.725e-01	8.666e-01	5.068e-01	1.252e-01	6.250e-01
2.200e+03	2.904e-01	2.788e-01	3.026e-01	7.926e-01	5.725e-01	8.666e-01	4.330e-01	1.252e-01	6.250e-01
2.300e+03	2.903e-01	2.788e-01	3.026e-01	7.926e-01	5.725e-01	8.666e-01	3.787e-01	1.252e-01	6.250e-01
2.400e+03	2.892e-01	2.781e-01	2.960e-01	7.926e-01	5.919e-01	8.666e-01	3.787e-01	1.252e-01	6.250e-01
2.500e+03	2.892e-01	2.781e-01	2.988e-01	7.926e-01	5.919e-01	8.666e-01	3.959e-01	1.252e-01	6.250e-01
2.600e+03	2.893e-01	2.788e-01	2.994e-01	7.781e-01	5.919e-01	8.652e-01	4.330e-01	1.255e-01	6.250e-01
2.700e+03	2.885e-01	2.788e-01	2.988e-01	7.578e-01	5.571e-01	8.652e-01	4.330e-01	1.255e-01	6.562e-01
2.800e+03	2.885e-01	2.788e-01	2.988e-01	7.578e-01	5.571e-01	8.652e-01	4.250e-01	1.252e-01	6.250e-01
2.900e+03	2.885e-01	2.788e-01	2.988e-01	7.578e-01	5.571e-01	8.652e-01	4.250e-01	1.252e-01	8.250e-01
3.000e+03	2.885e-01	2.788e-01	2.988e-01	7.578e-01	5.571e-01	8.652e-01	4.330e-01	1.252e-01	8.250e-01
3.100e+03	2.885e-01	2.788e-01	2.960e-01	7.578e-01	5.919e-01	8.652e-01	4.330e-01	1.255e-01	7.604e-01
3.200e+03	2.863e-01	2.788e-01	2.960e-01	7.578e-01	5.919e-01	8.652e-01	4.250e-01	1.255e-01	6.821e-01
3.300e+03	2.863e-01	2.788e-01	2.960e-01	7.578e-01	5.919e-01	8.652e-01	4.250e-01	1.255e-01	6.821e-01
3.400e+03	2.863e-01	2.788e-01	2.983e-01	7.578e-01	5.919e-01	8.652e-01	4.221e-01	1.255e-01	6.821e-01
3.500e+03	2.877e-01	2.788e-01	2.983e-01	7.578e-01	5.919e-01	8.652e-01	4.250e-01	1.256e-01	6.821e-01
3.600e+03	2.877e-01	2.788e-01	2.983e-01	7.105e-01	5.571e-01	8.652e-01	4.250e-01	1.256e-01	8.250e-01
3.700e+03	2.867e-01	2.779e-01	2.983e-01	7.105e-01	5.571e-01	8.652e-01	4.221e-01	1.256e-01	8.250e-01
3.800e+03	2.867e-01	2.779e-01	2.983e-01	7.105e-01	5.533e-01	8.652e-01	4.221e-01	1.256e-01	8.250e-01
3.900e+03	2.867e-01	2.779e-01	2.983e-01	7.105e-01	5.533e-01	8.652e-01	4.221e-01	1.256e-01	8.255e-01
4.000e+03	2.863e-01	2.778e-01	2.983e-01	7.105e-01	5.485e-01	8.652e-01	4.221e-01	1.256e-01	8.255e-01
4.100e+03	2.863e-01	2.778e-01	2.983e-01	7.105e-01	5.485e-01	8.652e-01	4.221e-01	1.256e-01	8.255e-01
4.200e+03	2.863e-01	2.778e-01	2.969e-01	7.105e-01	5.485e-01	8.652e-01	4.221e-01	1.256e-01	8.255e-01
4.300e+03	2.863e-01	2.778e-01	2.940e-01	7.105e-01	5.485e-01	8.652e-01	4.330e-01	1.255e-01	8.255e-01
4.400e+03	2.858e-01	2.778e-01	2.940e-01	7.105e-01	5.485e-01	8.652e-01	4.221e-01	1.252e-01	8.255e-01
4.500e+03	2.858e-01	2.778e-01	2.969e-01	7.105e-01	5.485e-01	8.652e-01	4.221e-01	1.255e-01	7.750e-01
4.600e+03	2.858e-01	2.778e-01	2.969e-01	7.105e-01	5.485e-01	8.652e-01	4.221e-01	1.255e-01	7.750e-01
4.700e+03	2.863e-01	2.778e-01	2.969e-01	7.105e-01	5.485e-01	8.652e-01	4.221e-01	1.255e-01	8.255e-01
4.800e+03	2.858e-01	2.775e-01	3.008e-01	7.105e-01	5.485e-01	8.652e-01	4.330e-01	1.256e-01	8.255e-01
4.900e+03	2.858e-01	2.775e-01	3.008e-01	7.105e-01	5.485e-01	8.652e-01	4.221e-01	1.256e-01	6.592e-01
5.000e+03	2.858e-01	2.775e-01	2.969e-01	7.105e-01	5.485e-01	8.652e-01	4.330e-01	1.256e-01	7.454e-01
5.100e+03	2.867e-01	2.775e-01	3.028e-01	7.105e-01	5.485e-01	8.652e-01	5.636e-01	1.412e-01	7.454e-01
5.200e+03	2.867e-01	2.770e-01	3.028e-01	7.105e-01	5.485e-01	8.652e-01	5.636e-01	1.412e-01	7.454e-01
5.300e+03	2.867e-01	2.770e-01	3.028e-01	7.105e-01	5.485e-01	8.652e-01	5.293e-01	1.412e-01	7.454e-01
5.400e+03	2.867e-01	2.770e-01	3.028e-01	7.105e-01	5.485e-01	8.652e-01	5.293e-01	1.412e-01	7.454e-01
5.500e+03	2.827e-01	2.770e-01	3.028e-01	7.105e-01	5.485e-01	8.652e-01	5.636e-01	1.412e-01	7.994e-01
5.600e+03	2.827e-01	2.770e-01	3.028e-01	6.871e-01	5.269e-01	8.652e-01	5.636e-01	1.412e-01	7.994e-01
5.700e+03	2.841e-01	2.770e-01	2.969e-01	6.871e-01	5.269e-01	8.652e-01	5.293e-01	1.250e-01	7.454e-01
5.800e+03	2.841e-01	2.770e-01	2.969e-01	6.871e-01	5.269e-01	8.652e-01	5.636e-01	1.250e-01	7.994e-01
5.900e+03	2.841e-01	2.770e-01	2.969e-01	6.871e-01	5.485e-01	8.652e-01	5.636e-01	1.250e-01	7.994e-01
6.000e+03	2.841e-01	2.770e-01	2.969e-01	6.871e-01	5.485e-01	8.652e-01	5.293e-01	1.585e-01	7.994e-01
