problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
xor;me-hebbian-network;12;[2];250;25000;25000;1.12720e+01;58;37;2;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;7.47377e-02;1.13747e-02
xor;me-hebbian-network;26;[2];250;25000;25000;1.13060e+01;57;41;3;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;7.94737e-02;1.83779e-02
xor;me-hebbian-network;5;[2];250;25000;25000;1.12750e+01;84;8;2;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;1.01593e+00;2.88913e-02
xor;me-hebbian-network;6;[2];250;25000;25000;1.12830e+01;76;12;2;1.00000e+00;1.00000e+00;1.00000e+00;4;5.50000e-01;3.85907e-01;8.07408e-02
xor;me-hebbian-network;28;[2];250;25000;25000;1.12640e+01;57;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;9.61103e-01;7.86462e-02
xor;me-hebbian-network;21;[2];250;25000;25000;1.13210e+01;58;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;5.50000e-01;3.04487e-01;1.01158e-02
xor;me-hebbian-network;24;[2];250;25000;25000;1.12840e+01;56;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;2.14237e-02;2.19061e-02
xor;me-hebbian-network;29;[2];250;25000;25000;1.12880e+01;83;4;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;1.03919e+00;2.22548e-03
xor;me-hebbian-network;22;[2];250;25000;25000;1.12880e+01;69;5;2;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;9.95035e-01;8.14311e-02
xor;me-hebbian-network;27;[2];250;25000;25000;1.12870e+01;58;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;8.88428e-01;8.46738e-02
xor;me-hebbian-network;13;[2];250;25000;25000;1.12920e+01;82;14;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.50000e-01;3.56362e-01;6.07143e-02
xor;me-hebbian-network;2;[2];250;25000;25000;1.12920e+01;92;7;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;7.57072e-01;7.68807e-02
xor;me-hebbian-network;11;[2];250;25000;25000;1.12970e+01;53;36;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.50000e-01;5.10405e-01;6.38836e-08
xor;me-hebbian-network;19;[2];250;25000;25000;1.12940e+01;55;3;1;1.00000e+00;1.00000e+00;1.00000e+00;4;5.00000e-01;5.42884e-01;3.48378e-03
xor;me-hebbian-network;25;[2];250;25000;25000;1.12930e+01;86;6;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;1.04677e+00;1.56245e-02
xor;me-hebbian-network;9;[2];250;25000;25000;1.12970e+01;58;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;6.50000e-01;2.39464e-03;1.04196e-03
xor;me-hebbian-network;23;[2];250;25000;25000;1.13000e+01;87;4;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;1.05197e+00;4.84294e-06
xor;me-hebbian-network;20;[2];250;25000;25000;1.13010e+01;59;1;2;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;1.01301e+00;1.60771e-02
xor;me-hebbian-network;14;[2];250;25000;25000;1.13030e+01;77;5;2;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e+00;1.05345e+00;1.77201e-07
