n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	3.607e-01	8.096e-02	4.999e-01	4.017e-01	2.714e-01	4.741e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	3.100e-01	3.771e-02	5.000e-01	4.383e-01	1.628e-01	4.979e-01	5.000e-01	3.979e-01	5.000e-01
3.000e+02	2.881e-01	3.730e-02	5.000e-01	4.926e-01	2.588e-01	6.000e-01	5.000e-01	4.998e-01	5.000e-01
4.000e+02	2.968e-01	3.959e-02	5.000e-01	5.000e-01	4.486e-01	8.063e-01	5.000e-01	4.404e-01	5.000e-01
5.000e+02	2.339e-01	3.326e-04	4.996e-01	6.251e-01	4.959e-01	8.686e-01	5.000e-01	6.087e-06	5.000e-01
6.000e+02	2.408e-01	1.338e-03	5.000e-01	6.803e-01	4.993e-01	8.649e-01	5.000e-01	3.920e-01	5.000e-01
7.000e+02	2.275e-01	-6.234e-04	4.996e-01	6.805e-01	4.868e-01	8.966e-01	5.000e-01	7.451e-02	5.000e-01
8.000e+02	2.099e-01	2.274e-12	4.993e-01	7.106e-01	4.995e-01	9.262e-01	5.000e-01	9.172e-02	5.000e-01
9.000e+02	2.170e-01	-8.562e-04	4.995e-01	5.357e-01	4.430e-01	8.695e-01	5.000e-01	1.564e-01	5.000e-01
1.000e+03	2.279e-01	-1.527e-03	5.000e-01	5.400e-01	4.832e-01	7.238e-01	5.000e-01	4.994e-01	5.000e-01
