n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.increase	2d.nav._.hebbian.network.best.quality.increase.min	2d.nav._.hebbian.network.best.quality.increase.max	2d.nav._.hebbian.synapse.best.quality.increase	2d.nav._.hebbian.synapse.best.quality.increase.min	2d.nav._.hebbian.synapse.best.quality.increase.max	2d.nav._.freeForm.best.quality.increase	2d.nav._.freeForm.best.quality.increase.min	2d.nav._.freeForm.best.quality.increase.max
1.000e+02	2.110e-02	-4.927e-02	1.257e+00	9.430e+00	3.195e+00	2.139e+01	0.000e+00	0.000e+00	4.960e-05
2.000e+02	6.533e-02	-8.089e-03	4.943e-01	2.139e+01	1.016e+01	3.704e+01	0.000e+00	0.000e+00	7.278e-03
3.000e+02	1.674e-01	1.018e-02	1.124e+00	4.100e+01	2.541e+01	6.406e+01	0.000e+00	0.000e+00	1.301e-02
4.000e+02	1.674e-01	2.958e-02	1.081e+00	4.430e+01	2.862e+01	8.954e+01	0.000e+00	0.000e+00	2.694e-02
5.000e+02	1.316e-01	1.072e-02	7.668e-01	5.964e+01	3.011e+01	1.018e+02	1.026e-03	0.000e+00	7.347e-02
6.000e+02	1.080e-01	1.762e-02	8.699e-01	6.019e+01	3.938e+01	1.018e+02	8.853e-05	0.000e+00	1.360e-01
7.000e+02	1.674e-01	7.391e-03	1.301e+00	6.560e+01	4.445e+01	1.181e+02	9.727e-05	0.000e+00	1.360e-01
8.000e+02	1.080e-01	6.476e-03	1.426e+00	7.457e+01	4.445e+01	1.181e+02	1.462e-04	0.000e+00	1.256e+00
9.000e+02	1.080e-01	6.100e-03	2.109e+00	8.341e+01	4.429e+01	1.238e+02	7.347e-02	0.000e+00	1.440e+00
1.000e+03	1.730e-01	2.714e-02	2.109e+00	8.789e+01	5.336e+01	1.238e+02	1.360e-01	0.000e+00	1.440e+00
1.100e+03	5.450e-01	1.762e-02	3.388e+00	9.101e+01	6.560e+01	1.310e+02	1.360e-01	0.000e+00	1.440e+00
1.200e+03	7.969e-01	1.812e-02	3.388e+00	1.182e+02	7.942e+01	1.886e+02	7.347e-02	0.000e+00	1.440e+00
1.300e+03	7.969e-01	1.812e-02	3.388e+00	1.262e+02	8.774e+01	2.129e+02	7.347e-02	0.000e+00	1.326e+00
1.400e+03	5.450e-01	7.391e-03	3.388e+00	1.341e+02	8.341e+01	2.349e+02	1.360e-01	0.000e+00	1.440e+00
1.500e+03	5.450e-01	7.391e-03	3.388e+00	1.341e+02	8.774e+01	2.363e+02	2.095e-02	0.000e+00	1.440e+00
1.600e+03	7.033e-01	2.279e-02	4.732e+00	1.656e+02	1.102e+02	2.363e+02	4.933e-01	0.000e+00	1.440e+00
1.700e+03	3.475e-01	2.651e-03	4.732e+00	1.656e+02	1.182e+02	2.363e+02	2.095e-02	0.000e+00	1.440e+00
