problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→fitness;best→quality→increase;best→quality→consistency
2d-nav;hebbian-network;6;1;100;100;2.66600e+00;100;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;7.10244e-02;0.00000e+00
2d-nav;hebbian-network;5;1;100;100;3.48000e+00;100;5;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-1.68097e-02;0.00000e+00
2d-nav;hebbian-network;9;1;100;100;4.28200e+00;100;1;41;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72321e+00;-5.70184e-03;3.59694e-11
2d-nav;hebbian-network;1;1;100;100;5.31900e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-5.95492e-02;0.00000e+00
2d-nav;hebbian-network;3;1;100;100;6.26100e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72121e+00;-1.21833e-01;2.93316e-10
2d-nav;hebbian-network;7;1;100;100;7.19500e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72609e+00;8.33748e-03;1.56805e-07
2d-nav;hebbian-network;10;1;100;100;8.28000e+00;100;2;46;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;7.94145e-02;0.00000e+00
2d-nav;hebbian-network;4;1;100;100;9.05600e+00;100;2;48;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-1.86305e-02;0.00000e+00
2d-nav;hebbian-network;2;1;100;100;9.99500e+00;100;3;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;3.66033e-03;0.00000e+00
2d-nav;hebbian-network;8;1;100;100;1.06980e+01;100;1;47;1.00000e+00;1.00000e+00;1.00000e+00;4;-1.63935e+00;5.95762e+00;5.75990e-02
2d-nav;hebbian-network;6;2;200;200;1.13930e+01;100;6;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;2.18323e-01;0.00000e+00
2d-nav;hebbian-network;5;2;200;200;1.22820e+01;100;6;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-2.66511e+00;0.00000e+00
2d-nav;hebbian-network;9;2;200;200;1.31100e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72025e+00;1.64451e-01;0.00000e+00
2d-nav;hebbian-network;1;2;200;200;1.39010e+01;100;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-1.89921e-02;0.00000e+00
2d-nav;hebbian-network;3;2;200;200;1.44190e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71630e+00;-1.44771e-02;8.60825e-03
2d-nav;hebbian-network;7;2;200;200;1.54680e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.68391e+00;1.25629e-01;5.79595e-01
2d-nav;hebbian-network;10;2;200;200;1.63360e+01;100;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;7.94145e-02;0.00000e+00
2d-nav;hebbian-network;4;2;200;200;1.71440e+01;100;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-1.86305e-02;0.00000e+00
2d-nav;hebbian-network;2;2;200;200;1.78980e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.51915e+00;1.36157e+00;1.05523e+00
2d-nav;hebbian-network;8;2;200;200;1.84850e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-1.63935e+00;5.95762e+00;5.75990e-02
2d-nav;hebbian-network;6;3;300;300;1.90070e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.49268e+00;1.44364e+00;1.72997e-01
2d-nav;hebbian-network;5;3;300;300;1.94100e+01;100;7;3;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-5.09048e-02;0.00000e+00
2d-nav;hebbian-network;9;3;300;300;1.97930e+01;100;2;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72025e+00;3.00842e-01;0.00000e+00
2d-nav;hebbian-network;1;3;300;300;2.01500e+01;100;4;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-5.91211e-03;0.00000e+00
2d-nav;hebbian-network;3;3;300;300;2.03990e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71630e+00;-1.44771e-02;8.60825e-03
2d-nav;hebbian-network;7;3;300;300;2.08160e+01;100;1;3;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.68391e+00;1.25629e-01;5.79595e-01
2d-nav;hebbian-network;10;3;300;300;2.12670e+01;100;4;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;2.34249e-01;0.00000e+00
2d-nav;hebbian-network;4;3;300;300;2.16460e+01;100;4;2;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-5.04614e-02;0.00000e+00
2d-nav;hebbian-network;2;3;300;300;2.19210e+01;100;1;12;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.51915e+00;1.36157e+00;1.05523e+00
2d-nav;hebbian-network;8;3;300;300;2.24610e+01;100;1;9;1.00000e+00;1.00000e+00;1.00000e+00;4;-1.63935e+00;5.95762e+00;5.75990e-02
2d-nav;hebbian-network;6;4;400;400;2.26920e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.49268e+00;1.44364e+00;1.72997e-01
2d-nav;hebbian-network;5;4;400;400;2.30420e+01;100;8;3;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-2.10097e-01;0.00000e+00
2d-nav;hebbian-network;9;4;400;400;2.33870e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72024e+00;-1.92526e-03;8.26041e-06
2d-nav;hebbian-network;1;4;400;400;2.38670e+01;100;4;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-5.91211e-03;0.00000e+00
