n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	3.420e-01	9.146e-02	5.000e-01	4.407e-01	3.753e-01	4.963e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	1.807e-01	8.103e-02	5.000e-01	4.888e-01	2.207e-01	5.475e-01	5.000e-01	9.025e-08	5.000e-01
3.000e+02	1.700e-01	7.467e-02	3.061e-01	5.000e-01	2.598e-01	6.073e-01	5.000e-01	8.562e-09	5.000e-01
4.000e+02	1.743e-01	7.467e-02	3.061e-01	5.000e-01	2.455e-01	6.724e-01	5.000e-01	1.030e-09	5.000e-01
5.000e+02	1.431e-01	6.632e-02	2.921e-01	5.000e-01	3.878e-01	9.201e-01	5.000e-01	8.327e-17	5.000e-01
6.000e+02	1.700e-01	6.632e-02	2.921e-01	5.000e-01	2.007e-01	9.204e-01	5.000e-01	8.327e-17	5.000e-01
7.000e+02	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.890e-01	6.543e-01	5.000e-01	8.327e-17	5.000e-01
8.000e+02	1.700e-01	6.632e-02	2.921e-01	4.405e-01	2.341e-01	7.272e-01	5.000e-01	8.327e-17	5.000e-01
9.000e+02	1.700e-01	6.632e-02	2.921e-01	4.405e-01	2.007e-01	7.921e-01	5.000e-01	8.327e-17	5.000e-01
1.000e+03	1.700e-01	6.632e-02	2.921e-01	4.405e-01	2.007e-01	7.965e-01	5.000e-01	8.327e-17	5.000e-01
1.100e+03	1.700e-01	6.632e-02	2.921e-01	4.409e-01	3.115e-01	8.046e-01	5.000e-01	8.327e-17	5.000e-01
1.200e+03	1.700e-01	6.632e-02	2.921e-01	5.329e-01	3.402e-01	8.046e-01	5.000e-01	8.327e-17	9.820e-01
1.300e+03	1.700e-01	6.632e-02	2.921e-01	5.660e-01	3.402e-01	8.397e-01	5.000e-01	2.100e-02	9.820e-01
1.400e+03	1.700e-01	6.632e-02	2.921e-01	4.455e-01	3.168e-01	8.397e-01	5.000e-01	8.327e-17	9.820e-01
1.500e+03	1.700e-01	6.632e-02	2.921e-01	7.220e-01	3.115e-01	8.397e-01	5.000e-01	7.994e-15	9.078e-01
1.600e+03	1.700e-01	6.632e-02	2.921e-01	6.289e-01	3.115e-01	8.322e-01	5.000e-01	9.164e-14	9.820e-01
1.700e+03	1.700e-01	6.632e-02	2.921e-01	5.184e-01	3.168e-01	8.322e-01	5.000e-01	0.000e+00	9.820e-01
1.800e+03	1.700e-01	6.632e-02	2.921e-01	5.726e-01	3.115e-01	8.322e-01	5.000e-01	7.994e-15	8.634e-01
1.900e+03	1.700e-01	6.632e-02	2.921e-01	5.726e-01	3.115e-01	8.322e-01	5.000e-01	2.055e-09	1.000e+00
2.000e+03	1.700e-01	6.632e-02	2.921e-01	5.726e-01	3.115e-01	8.322e-01	5.000e-01	5.495e-03	1.000e+00
2.100e+03	1.700e-01	6.632e-02	2.921e-01	5.726e-01	3.115e-01	8.322e-01	5.000e-01	2.055e-09	1.000e+00
2.200e+03	1.700e-01	6.632e-02	2.921e-01	5.726e-01	3.115e-01	8.322e-01	5.000e-01	2.055e-09	8.634e-01
2.300e+03	1.700e-01	6.632e-02	2.921e-01	5.726e-01	3.115e-01	8.322e-01	5.000e-01	5.495e-03	9.975e-01
2.400e+03	1.700e-01	6.632e-02	2.921e-01	5.184e-01	2.288e-01	8.059e-01	5.000e-01	1.552e-07	9.975e-01
2.500e+03	1.700e-01	6.632e-02	2.921e-01	5.133e-01	2.007e-01	7.587e-01	5.000e-01	2.055e-09	9.975e-01
2.600e+03	1.700e-01	6.632e-02	2.921e-01	4.455e-01	1.866e-01	7.587e-01	5.000e-01	0.000e+00	9.998e-01
2.700e+03	1.700e-01	6.632e-02	2.921e-01	4.455e-01	1.866e-01	7.587e-01	4.999e-01	2.055e-09	9.975e-01
2.800e+03	1.700e-01	6.632e-02	2.921e-01	4.455e-01	1.866e-01	7.587e-01	4.998e-01	0.000e+00	9.975e-01
2.900e+03	1.700e-01	6.632e-02	2.921e-01	4.455e-01	1.866e-01	7.587e-01	4.999e-01	0.000e+00	9.999e-01
3.000e+03	1.700e-01	6.632e-02	2.921e-01	4.455e-01	1.866e-01	7.587e-01	5.000e-01	2.400e-07	9.999e-01
3.100e+03	1.700e-01	6.632e-02	2.921e-01	4.718e-01	1.866e-01	7.587e-01	4.998e-01	3.948e-21	1.000e+00
3.200e+03	1.700e-01	6.632e-02	2.921e-01	4.718e-01	2.007e-01	7.587e-01	4.998e-01	6.512e-20	1.000e+00
3.300e+03	1.700e-01	6.632e-02	2.921e-01	5.423e-01	2.105e-01	7.587e-01	5.000e-01	2.400e-07	9.999e-01
3.400e+03	1.700e-01	6.632e-02	2.921e-01	5.726e-01	3.115e-01	7.587e-01	5.000e-01	1.304e-04	9.980e-01
3.500e+03	1.700e-01	6.632e-02	2.921e-01	4.718e-01	2.105e-01	7.587e-01	5.000e-01	1.304e-04	9.980e-01
3.600e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.587e-01	5.000e-01	1.304e-04	9.980e-01
3.700e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.587e-01	5.000e-01	1.304e-04	9.999e-01
3.800e+03	1.700e-01	6.632e-02	2.921e-01	5.298e-01	2.157e-01	7.371e-01	5.000e-01	2.400e-07	9.999e-01
3.900e+03	1.700e-01	6.632e-02	2.921e-01	5.565e-01	2.105e-01	7.371e-01	5.000e-01	2.400e-07	1.000e+00
4.000e+03	1.700e-01	6.632e-02	2.921e-01	5.565e-01	2.105e-01	7.371e-01	5.000e-01	2.400e-07	1.000e+00
4.100e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	2.400e-07	1.000e+00
4.200e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	2.400e-07	1.000e+00
