n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	5.000e-01	2.515e-01	5.000e-01	7.093e-01	4.956e-01	8.731e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	5.000e-01	2.703e-01	5.000e-01	8.563e-01	5.712e-01	9.287e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	3.216e-01	2.489e-01	5.000e-01	8.619e-01	5.821e-01	9.321e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	2.803e-01	2.500e-01	5.000e-01	8.619e-01	6.200e-01	9.321e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	2.668e-01	2.483e-01	5.000e-01	8.619e-01	6.200e-01	9.321e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	2.573e-01	2.441e-01	3.216e-01	8.657e-01	6.200e-01	9.540e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	2.551e-01	2.431e-01	2.997e-01	8.619e-01	5.821e-01	9.321e-01	5.000e-01	5.000e-01	5.000e-01
8.000e+02	2.573e-01	2.459e-01	2.776e-01	8.619e-01	5.821e-01	9.321e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	2.483e-01	2.343e-01	2.620e-01	7.172e-01	5.762e-01	9.287e-01	5.000e-01	5.000e-01	5.000e-01
1.000e+03	2.483e-01	2.322e-01	2.602e-01	7.662e-01	5.821e-01	9.321e-01	5.000e-01	5.000e-01	5.000e-01
