n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.000e+02	6.917e-05	4.556e-06	9.260e-03	7.977e-03	3.433e-03	1.424e-02	1.654e-01	1.222e-09	1.662e-01
3.000e+02	1.734e-04	1.790e-05	2.582e-03	1.131e-02	6.038e-03	1.485e-02	1.654e-01	1.635e-07	2.239e-01
5.000e+02	7.708e-05	2.156e-07	5.687e-03	8.965e-03	2.328e-03	1.485e-02	1.496e-01	1.635e-07	2.125e-01
7.000e+02	1.840e-04	1.545e-06	6.046e-03	9.545e-03	4.947e-03	1.485e-02	5.565e-02	1.635e-07	2.165e-01
9.000e+02	2.062e-05	1.571e-07	3.178e-03	1.050e-02	6.680e-03	1.970e-02	1.654e-01	2.179e-07	2.421e-01
1.100e+03	2.068e-03	2.124e-05	1.374e-02	1.624e-02	9.771e-03	2.675e-02	1.654e-01	1.039e-06	3.802e-01
1.300e+03	2.457e-04	3.339e-06	6.868e-03	9.969e-03	2.442e-03	1.950e-02	2.157e-01	7.378e-05	3.802e-01
1.500e+03	7.736e-05	4.017e-08	9.197e-03	1.707e-02	5.558e-03	2.185e-02	1.712e-01	1.039e-06	3.954e-01
1.700e+03	8.672e-05	7.707e-09	1.014e-02	8.816e-03	8.315e-04	2.135e-02	1.662e-01	1.821e-07	3.802e-01
1.900e+03	3.950e-05	1.981e-09	1.014e-02	6.136e-03	2.971e-03	1.839e-02	2.165e-01	1.136e-06	4.154e-01
2.100e+03	9.353e-05	5.763e-07	9.647e-03	9.622e-03	5.237e-03	1.586e-02	2.165e-01	3.619e-06	4.154e-01
