n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
1.000e+02	4.670e-01	3.459e-01	5.116e-01	4.580e-01	3.798e-01	5.334e-01	2.750e-01	1.753e-01	5.765e-01
3.000e+02	4.571e-01	4.014e-01	4.731e-01	4.484e-01	3.188e-01	5.276e-01	3.446e-01	1.750e-01	6.265e-01
5.000e+02	4.529e-01	3.627e-01	4.835e-01	5.093e-01	3.861e-01	5.652e-01	4.133e-01	1.880e-01	6.265e-01
7.000e+02	4.443e-01	3.988e-01	4.720e-01	5.135e-01	3.976e-01	7.762e-01	4.133e-01	1.894e-01	7.282e-01
9.000e+02	4.496e-01	3.743e-01	4.616e-01	5.654e-01	4.825e-01	7.824e-01	5.650e-01	2.026e-01	7.247e-01
1.100e+03	4.273e-01	3.094e-01	4.395e-01	6.426e-01	5.248e-01	7.795e-01	2.750e-01	1.881e-01	6.382e-01
1.300e+03	4.252e-01	3.324e-01	4.707e-01	7.071e-01	5.221e-01	8.272e-01	2.750e-01	1.900e-01	6.382e-01
1.500e+03	4.170e-01	3.203e-01	4.603e-01	6.883e-01	5.085e-01	7.762e-01	3.250e-01	1.900e-01	6.382e-01
1.700e+03	4.045e-01	3.112e-01	4.545e-01	7.071e-01	5.322e-01	8.770e-01	3.500e-01	2.208e-01	8.120e-01
1.900e+03	3.720e-01	3.094e-01	4.175e-01	7.057e-01	5.419e-01	8.629e-01	5.488e-01	2.105e-01	8.120e-01
2.100e+03	4.371e-01	3.112e-01	4.699e-01	8.228e-01	5.891e-01	9.038e-01	4.594e-01	2.208e-01	6.340e-01
2.300e+03	4.244e-01	3.268e-01	4.544e-01	8.228e-01	5.145e-01	8.750e-01	5.750e-01	2.250e-01	7.214e-01
2.500e+03	3.851e-01	3.112e-01	4.300e-01	7.389e-01	5.322e-01	9.159e-01	5.750e-01	2.750e-01	7.214e-01
2.700e+03	3.828e-01	3.094e-01	4.395e-01	7.828e-01	5.347e-01	8.836e-01	3.827e-01	2.049e-01	8.028e-01
2.900e+03	3.865e-01	3.271e-01	4.436e-01	8.273e-01	5.057e-01	9.680e-01	3.784e-01	2.750e-01	6.471e-01
3.100e+03	3.915e-01	3.254e-01	4.331e-01	8.474e-01	5.799e-01	9.651e-01	5.256e-01	2.785e-01	8.028e-01
3.300e+03	3.783e-01	3.112e-01	4.537e-01	8.978e-01	5.877e-01	9.352e-01	5.069e-01	2.785e-01	6.417e-01
3.500e+03	3.869e-01	3.178e-01	4.500e-01	7.811e-01	5.228e-01	8.980e-01	5.750e-01	2.785e-01	8.120e-01
3.700e+03	3.711e-01	3.094e-01	4.321e-01	8.530e-01	6.276e-01	9.428e-01	4.000e-01	2.750e-01	6.489e-01
3.900e+03	3.692e-01	3.112e-01	3.982e-01	8.550e-01	7.025e-01	9.525e-01	5.261e-01	2.750e-01	8.250e-01
4.100e+03	3.712e-01	3.132e-01	4.064e-01	8.336e-01	7.681e-01	9.391e-01	5.482e-01	2.785e-01	8.028e-01
4.300e+03	3.462e-01	3.131e-01	4.018e-01	8.980e-01	8.492e-01	9.571e-01	5.186e-01	2.750e-01	6.382e-01
4.500e+03	3.564e-01	3.131e-01	4.278e-01	8.538e-01	6.193e-01	9.650e-01	4.237e-01	2.750e-01	7.247e-01
4.700e+03	3.658e-01	3.094e-01	4.071e-01	9.423e-01	7.442e-01	9.747e-01	4.777e-01	2.750e-01	6.340e-01
4.900e+03	3.651e-01	3.131e-01	4.111e-01	9.118e-01	8.435e-01	9.806e-01	5.750e-01	3.250e-01	6.741e-01
5.100e+03	3.731e-01	3.094e-01	4.170e-01	9.321e-01	7.110e-01	9.777e-01	5.069e-01	2.750e-01	6.564e-01
